CD4	CD8	Monocyte	Neutrophil	naive_B_cell	NK_cell	memory_B_cell	Plasmocyte	Platelet	Macrophage
AASS	0.0201231060606061	0.0255772646536412	0.00339694892224075	0.000354777672658467	0.0571683787405092	0.00807847663012118	0.0304449648711944	0.0225409836065574	0.0125523012552301	0.00204918032786885
AATK	0.00307765151515152	0.00532859680284192	0.0481749119881416	0.149243140964995	0.00267976775346137	0.0161569532602424	0.00117096018735363	0.00819672131147541	0.104602510460251	0.0348360655737705
ABCB9	0.0187026515151515	0.00923623445825933	0.0106849484281391	0.00413907284768212	0.0138454667262171	0.0121177149451818	0.0140515222482436	0.618852459016393	0.00418410041841004	0.00409836065573771
ABCD2	0.0965909090909091	0.0539964476021314	0.000308813538385523	0.000827814569536424	0.00312639571237159	0.00778995960761685	0.0163934426229508	0.127049180327869	0.00418410041841004	0.00204918032786885
ABCF2-H2BE1	0.021780303030303	0.0127886323268206	0.0067938978444815	0.000236518448438978	0.00491290754801251	0.0051933064050779	0.0128805620608899	0.00204918032786885	0.00418410041841004	0.00409836065573771
ABI3	0.0613162878787879	0.252575488454707	0.256129948736953	0.00130085146641438	0.0187583742742296	0.339007501442585	0.0608899297423888	0.168032786885246	0.0125523012552301	0.286885245901639
ABLIM1	0.373579545454545	0.30088809946714	0.0101290840590451	0.00709555345316935	0.225547119249665	0.270917484131564	0.285714285714286	0.055327868852459	0.301255230125523	0.00819672131147541
AC004057.1	0.107244318181818	0.027708703374778	0.0208140324871842	0.00189214758751183	0.0433229120142921	0.0132717830351991	0.0468384074941452	0.0840163934426229	0.0251046025104603	0.00614754098360656
AC073115.7	0.0120738636363636	0.0120781527531083	6.17627076771046e-05	0.000118259224219489	0.00357302367128182	0.00288517022504328	0.00468384074941452	0.00204918032786885	0.00418410041841004	0.00204918032786885
ACAA2	0.190577651515152	0.293428063943162	0.318448520783151	0.00153736991485336	0.0634211701652523	0.33467974610502	0.165105386416862	0.452868852459016	0.0502092050209205	0.129098360655738
ACP5	0.0980113636363636	0.0529307282415631	0.165462293866963	0.00153736991485336	0.0482358195623046	0.0438545874206578	0.344262295081967	0.377049180327869	0.00836820083682008	0.127049180327869
ACSL1	0.0333806818181818	0.0468916518650089	0.742511271694151	0.90054399243141	0.0312639571237159	0.0640507789959608	0.0737704918032787	0.258196721311475	0.0585774058577406	0.364754098360656
ACSL6	0.176373106060606	0.0646536412078153	0.00481749119881416	0.00307473982970672	0.00401965163019205	0.00750144258511252	0.00351288056206089	0.00409836065573771	0.00418410041841004	0.00204918032786885
ADA2	0.168797348484848	0.192184724689165	0.837378790686184	0.0133632923368023	0.13756141134435	0.195614541257934	0.186182669789227	0.559426229508197	0.0125523012552301	0.725409836065574
ADAM19	0.112926136363636	0.0341030195381883	0.202952257426966	0.192762535477767	0.258597588209022	0.0124062319676861	0.347775175644028	0.711065573770492	0.0125523012552301	0.055327868852459
