CD4	CD8	Erythrocyte	Macrophage	memory_B_cell	Monocyte	naive_B_cell	Neutrophil	NK_cell	Plasmocyte	Platelet
AASS	0.1479640152	0.5374777975	0.0009538344	0.0020491803	0.7213114754	0.0045086777	0.4577936579	0.0004730369	0.090305828	0.0245901639	0.0209205021
AATK	0.006392045	0.006039076	0.004101488	0.034836066	0.00234192	0.073497622	0.003126396	0.171712394	0.017599538	0.014344262	0.146443515
ABCB9	0.104876894	0.009591474	0.003147654	0.004098361	0.015222482	0.012043728	0.014292095	0.004257332	0.028563185	2.737704918	0.0041841
ABCD2	0.4353693182	0.5786856128	0.0003815338	0	0.256440281	0.0008646779	0.0031263957	0.0013008515	0.0083669937	0.1741803279	0
ABCF2.H2BE1	0.6953125	0.1239786856	0.0002861503	0.0040983607	0.0140515222	0.1369896856	0.0133988388	0.0003547777	0.0051933064	0.0020491803	0.0041841004
ABI3	2.200757576	4.314387211	0.010206028	0.393442623	0.914519906	1.120004941	0.033050469	0.005794702	1.532025389	0.237704918	0.012552301
ABLIM1	9.72845644	3.23907638	0.0166921	0.01434426	3.73302108	0.02513742	3.02813756	0.00910596	2.68291979	0.09221311	11.64016736
AC004057.1	1.359375	0.251865009	0.001335368	0.006147541	0.430913349	0.079982706	0.29968736	0.001892148	0.051933064	0.096311475	0.054393305
AC073115.7	0.9888731	0.5197158	9.538344e-05	0	0.004683841	0.0001235254	0.0223314	0	0.06231968	0	0
ACAA2	5.915246212	8.071758437	0.009729111	0.141393443	1.259953162	0.574516707	1.524341224	0.016438032	2.665608771	1.157786885	0.058577406
ACP5	3.062026515	0.061101243	0.949637543	0.168032787	6.176814988	0.39688716	1.049129075	0.006622517	0.049336411	0.668032787	0.008368201
ACSL1	0.32907197	0.08383659	0.85177413	0.48565574	0.1088993	3.58353406	0.05582849	5.78784295	0.13473745	0.55532787	0.23849372
ACSL6	1.294507576	0.193250444	0.219191148	0.00204918	0.003512881	0.00821444	0.004019652	0.003902554	0.109636469	0.008196721	0
ADA2	3.34422348	3.88596803	0.03948874	1.45696721	1.3618267	5.37249089	0.56721751	0.20222327	0.88690133	1.39754098	0.0251046
ADAM19	4.713778409	1.151687389	0.008775277	0.06147541	3.430913349	0.411401396	2.734256364	0.237109745	0.035487594	2.581967213	0.016736402
ADAM28	0.009232955	0.160923623	0.004673789	0.05942623	20.908665105	0.604842196	20.423403305	0.002601703	0.369301789	0.610655738	0.0041841
ADAMTS6	0.181344697	0.0994671403	0.0014307516	0.006147541	0.4168618267	0.0224816256	0.2581509603	0.0003547777	0.0080784766	0.0983606557	0.0251046025
ADCY3	0.21046402	0.12539964	0.00276612	0.06762295	0.23302108	0.21721944	0.18133095	0.05522706	0.14627813	0.2602459	0.08786611
ADRB2	0.308238636	5.413143872	0.004387638	0.028688525	2.949648712	0.192020258	0.017865118	0.037015137	2.452106174	0.094262295	0.020920502
ADTRP	6.0182291667	0.0156305506	0.0017169019	0.0020491803	0.0058548009	0.0020999321	0.0031263957	0.0004730369	0.0011540681	0.2131147541	0
