NK_cell	CD4	CD8	memory_B_cell	naive_B_cell	Neutrophil	Monocyte	Plasmocyte
ABCB9	0.08296817	0.08289452	0.0529484	0.07710513	0.07348247	0.02637422	0.03417271	3.045807
ABCF1	1.1035127	0.6965548	1.0536841	0.6808244	0.4720476	0.145401	0.550093	1.3531724
ABHD17A	2.749705	0.9441566	2.362304	0.8356466	0.5931325	0.3828863	0.7139793	0.6921843
AC006129.2	1.072596	1.162985	1.06959	1.052182	1.103047	0	0.03792773	0.6850102
ACBD3	0.6303674	0.3858971	0.6871712	1.1901786	1.0364132	0.3018417	0.747278	1.6395606
ACSL1	0.1459252	0.1081569	0.123272	0.1672269	0.09842553	1.8101192	1.4943773	0.1147949
ACTN4	1.319648	0.3191616	1.143664	0.339267	0.2829916	0.859189	1.108466	0.8137549
ADAM10	1.179584	0.6841584	1.080366	0.7331012	0.6383696	0.8812683	1.543701	0.7943344
ADCY7	1.261179	0.3213115	1.066183	0.4030272	0.2194362	0.2957476	0.8923957	0.2922925
ADTRP	0.01035596	2.10274571	0.08642843	0.05210688	0.02843727	0	0.001297249	0.3395149
AIF1	0.1487339	0.2759076	0.1620083	0.07025938	0.0411523	1.2326742	3.1210471	0.1506754
AIM2	0.01149715	0.06844621	0.0216695	2.62708017	0.17910634	0.14893936	0.02979614	0.64352981
AKNA	1.65667	0.711885	1.5626945	0.7816337	0.6761155	0.4701797	0.7323429	0.4210185
AKR7A2	0.5680287	0.4936564	0.5199606	0.3493018	0.383244	0.1350644	0.5118419	0.45382
AKT3	0.8381113	0.6609536	0.9516592	0.4621693	0.5380068	0	0.1074701	0.08117399
ALDH2	0.09574422	0.04884728	0.0713719	0.1070125	0.1568802	0.3733751	2.236203	0.05729147
ANAPC5	1.162137	0.9739686	1.22087	1.104008	0.8515888	0.4251825	0.9743779	2.017246
ANK3	0.0626088	1.34827099	0.17902661	0.5161792	0.07202278	0.007191596	0.01223351	0.0210241
ANKLE2	0.7681652	0.7595913	0.7532018	0.8091165	0.655002	0.3879115	0.7755643	0.7513065
ANKRD12	1.6579	1.952751	1.68348	1.812779	1.596499	0.7621409	0.8288055	1.252696
ANKRD36BP2	0.02283461	0.51611767	0.04069195	0.1397827	0.07929514	0	0.02097155	2.44981555
ANO9	0.07639554	0.42448804	0.2964718	0.17681833	0.04794318	0.0220666	0.008808857	0.06559543
ANXA2	0.6016298	0.4060905	0.5653261	0.6171817	0.1636704	0.0284939	1.815073	1.279888
APLP2	0.6549723	0.3295312	0.5690555	0.3501228	0.9552888	0.894901	2.240339	0.2399522
ARHGAP25	1.1407671	0.5660725	1.1558024	1.4686255	0.4949512	0.7262889	0.4500131	0.3768138
ARHGAP9	1.918791	0.5497658	1.706944	0.4593323	0.4548823	1.304146	0.7122043	0.2064987
ARID5B	0.5137412	1.4458566	0.6109689	1.3511766	1.338154	0.05924992	0.07948267	0.6871158
ARIH2	1.201089	0.7179088	1.092493	0.7007879	0.6181698	0.2165006	0.6293096	0.8749394
ARL4C	3.0650769	1.7549568	2.9000886	0.427372	0.392643	0	0.1006457	0.8953348
ARL6IP5	1.641637	1.9377543	1.6531712	1.5293304	0.9576634	1.1618822	1.7053157	0.7750636
ATF6B	0.9421782	0.6650477	0.8401079	0.8299338	0.8737964	0.3360414	0.6981922	0.6122588
ATM	2.404595	1.859387	2.346077	1.701954	1.601316	0.5704164	0.6446422	0.5854223
ATP2B1.AS1	1.16543	0.4185776	1.068108	0.9094263	1.266488	0.4894141	0.8164021	0.4030528
ATP5F1A	0.9659092	1.275243	1.037985	1.080535	0.7690941	0.4487509	1.541737	2.195027
BACH2	0.2648859	0.6952042	0.3724686	0.9461475	2.4945808	0.01112399	0.01704517	0.1486165
BANK1	0.04495394	0.01514326	0.03588184	3.7552181	2.9704221	0.007287703	0.09464401	0.4170708
BAX	1.325659	0.9170314	1.281174	1.095883	0.9355457	0.3924719	1.134196	0.9583975
BAZ1B	0.9091585	0.7615191	0.982056	0.9708767	0.8959114	0.2574608	0.6864565	1.5399598
BAZ2A	1.018955	0.8263027	1.042267	0.9828497	1.077647	0.7004517	1.046553	0.9361522
BBX	0.949732	0.9179545	0.9862621	1.4885484	1.226844	0.187736	0.4908279	0.4109036
BCL9L	1.140862	0.7218037	1.0603	0.2817934	0.2093313	0.02363885	0.1979053	0.06552893
BFAR	0.7518426	0.8152819	0.7296669	0.6873127	0.5775789	0.2490162	0.6531839	0.7108216
BHLHE40	0.8606453	0.2536827	0.8835325	0.07922828	0.0638398	0.04042793	0.1604461	0.02799148
BHLHE41	0.004058122	0.002352486	0.001946661	0.796794	0.1838602	0.006828152	0.00724962	1.056759
BICD2	0.4480463	0.3458584	0.4100314	0.6814303	0.8021086	0.7772622	1.2350325	0.497817
BLK	0.0273879	0.06552521	0.02612127	3.1199059	2.23616812	0.004244307	0.0224694	0.5811788
BRD7	1.420401	0.904964	1.286378	1.073465	0.8986207	0.2493128	1.00395	1.123824
BRI3	0.5129802	0.6382193	0.5156815	0.5094828	0.5742021	2.1703797	2.2767424	0.3532965
BST2	1.086806	0.4687521	1.008036	0.4533032	0.4793161	0.1174965	1.161025	0.9277432
BTG1	2.365294	2.364917	2.412563	2.395256	2.780827	1.208979	1.107799	0.6608895
BUB3	1.0700066	1.0762628	1.1749529	1.0124595	0.7015617	0.2516091	0.4776446	1.374191
C11orf58	1.5504454	1.4522504	1.4813757	1.5198573	1.519196	0.7870705	1.3819495	1.4783697
C12orf57	0.9951742	1.666115	1.100848	1.103246	1.037351	0.1190334	0.2320377	0.9321288
C1GALT1	0.8605057	0.5480008	0.8555853	0.8160198	0.7246018	0.4914967	0.4119535	0.948336
C1orf21	1.8595631	0.02714207	1.5589711	0.01675175	0.0210306	0	0.02299386	0.03442483
C9orf16	1.5876115	1.2780695	1.6183382	1.182714	0.8452371	1.4794858	1.3472488	1.0646004
CALM3	1.055978	1.078394	1.084561	0.7953457	0.5772252	1.072961	1.478922	1.632184
CAMK4	0.01492472	2.06608505	0.3213283	0.2445112	0.05600279	0.00370343	0.006608771	0.2572896
CAPG	0.1396529	0.2082873	0.1426659	0.9090683	0.289458	1.3146397	1.7910857	0.3571158
CARMIL1	0.02286227	0.1242574	0.03552829	0.69079619	1.5952759	0	0.04117221	0.3751702
CASP4	1.029429	0.7074006	1.02383	0.8407924	0.6794912	0.6527543	1.027142	0.6571406
CCAR1	0.8677592	0.6850602	0.8684016	0.7212197	0.7426789	0.2485824	0.7753019	1.2172855
CCDC88A	0.2402836	0.1255969	0.2066617	0.2279277	0.1679452	0.1304075	2.4041378	0.6091779
CCL3	1.31554	0.02851445	0.9635479	0.06110017	0.08176691	0.04134483	0.1081122	0.1861868
CCL5	2.933609	0.3613178	2.97639	0.3874526	0.3165499	0.3103389	0.2925955	0.2145656
CCNB2	0.0398426	0.0516447	0.120174	0.01889864	0.02577422	0.2013424	0.014281	2.043984
CCNT1	0.9228413	0.6624357	0.8644081	0.5695428	0.5128905	0.286412	0.3615535	0.3686362
CD160	2.7811128	0.04315176	2.4259808	0.02934069	0.02137529	0	0.01506848	0.0645205
CD1C	0.01311836	0	0	1.96229258	0.20709949	0	0.11770336	0.04829976
CD2	1.1680232	1.7051944	1.5987305	0.007690513	0.01035796	0	0.03505424	0.0245371
CD200	0.003158975	0.03854887	0.006528172	0.25967786	1.05900873	0	0.008517586	0.01423854
CD247	3.4978053	1.189643	2.8848466	0.09655703	0.04730726	0	0.05259973	0.05291783
