CD4	CD8	MemoryB	Monocyte	NaiveB	Neutrophil	NK	Plasmocyte
ABCB9	0	0	0	0	0	0	0	1
ABCF1	0	1	0	0	0	0	0	0
ABHD17A	0	0	0	0	0	0	1	0
AC006129.2	0	0	0	0	0	0	1	0
ACBD3	0	0	0	1	0	0	0	0
ACSL1	0	0	0	1	0	0	0	0
ACTN4	0	0	0	0	0	0	1	0
ADAM10	0	0	0	0	0	0	1	0
ADCY7	0	0	0	0	0	0	1	0
ADTRP	1	1	0	0	0	0	0	0
AIF1	0	0	0	1	0	0	0	0
AIM2	0	0	1	0	1	0	0	0
AKNA	0	0	0	0	0	0	1	0
AKR7A2	0	0	0	1	0	0	0	0
AKT3	0	0	0	0	0	0	1	0
ALDH2	0	0	0	1	0	0	0	0
ANAPC5	0	0	0	0	0	0	1	0
ANK3	1	1	0	0	0	0	0	0
ANKLE2	0	0	0	0	0	0	1	0
ANKRD12	0	0	0	0	0	0	1	0
ANKRD36BP2	0	0	0	0	0	0	0	1
ANO9	0	1	0	0	0	0	1	0
ANXA2	0	0	0	1	0	0	0	0
APLP2	0	0	0	1	0	0	0	0
ARHGAP25	0	0	1	0	1	0	0	0
ARHGAP9	0	0	0	0	0	0	1	0
ARID5B	1	1	0	0	0	0	0	0
ARIH2	0	0	0	0	0	0	1	0
ARL4C	0	1	0	0	0	1	0	0
ARL6IP5	0	0	0	0	0	0	1	0
ATF6B	0	1	0	0	0	0	0	0
ATM	0	0	0	0	0	0	1	0
ATP2B1.AS1	0	0	0	0	0	0	1	0
ATP5F1A	0	0	0	1	0	0	0	0
BACH2	0	0	1	0	1	0	0	0
BANK1	0	0	1	0	0	0	0	0
BAX	0	1	0	0	0	0	0	0
BAZ1B	0	0	0	0	0	0	1	0
BAZ2A	0	0	0	0	0	0	1	0
BBX	0	1	0	0	0	0	0	0
BCL9L	0	1	0	0	0	0	0	0
BFAR	0	1	0	0	0	0	1	0
BHLHE40	0	0	0	0	0	0	1	0
BHLHE41	0	0	1	0	0	0	0	1
BICD2	0	0	0	1	0	0	0	0
BLK	0	0	1	0	0	0	0	0
BRD7	0	0	0	0	0	0	1	0
BRI3	0	0	0	1	0	0	0	0
BST2	0	1	0	0	0	0	0	0
BTG1	0	0	0	0	0	0	1	0
BUB3	0	0	0	0	0	0	1	0
C11orf58	0	0	0	0	0	0	1	0
C12orf57	0	0	0	0	0	0	1	0
C1GALT1	0	0	0	0	0	0	1	0
C1orf21	1	0	0	0	0	0	0	0
C9orf16	0	0	0	0	0	0	1	0
CALM3	0	0	0	1	0	0	0	0
CAMK4	0	1	0	0	0	0	1	0
CAPG	0	0	0	1	0	0	0	0
CARMIL1	0	0	1	0	1	0	0	0
CASP4	0	1	0	0	0	0	0	0
CCAR1	0	1	0	0	0	0	0	0
CCDC88A	0	0	0	1	0	0	0	0
CCL3	0	0	0	0	0	0	1	0
CCL5	0	1	0	1	0	0	1	0
CCNB2	1	1	0	0	0	0	0	0
CCNT1	0	0	0	0	0	0	1	0
CD160	0	0	0	1	0	0	0	0
CD1C	0	0	0	0	1	0	0	0
CD2	0	0	0	0	0	0	1	0
CD200	0	0	1	0	1	0	0	0
CD247	0	0	0	1	0	0	1	0
CD27	0	1	0	0	0	0	1	0
CD28	1	0	0	0	0	0	0	0
