,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
BANK1,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.00019809985850010098,2.8299979785728713e-05
CD74,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.00019809985850010098,2.8299979785728713e-05
CD79A,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.00019809985850010098,2.8299979785728713e-05
HLA.DRA,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.00019405700424499688,3.961172011777929e-05
HLA.DPB1,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.00019405700424499688,3.961172011777929e-05
HLA.DPA1,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.00019405700424499688,3.961172011777929e-05
RALGPS2,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.00019001414998989275,4.800623443314296e-05
CD37,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,0.0,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.00017788558722458048,6.568860646562327e-05
CD52,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,0.0,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.00016171417020416405,8.085708510208204e-05
RPLP2,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,0.0,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.00014958560743885178,8.86667159873107e-05
