,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
CD79A,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0004042854255104103,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0004042854255104103,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.00020214271275520508,5.717459318265999e-05
CD74,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.00019405700424499688,3.961172011777929e-05
VCAN,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,0.0,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.00016171417020416405,8.085708510208204e-05
CSTA,0.0,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,0.0,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.00015362846169395588,8.633174248660852e-05
ANXA1,0.0,0.0,0.00020214271275520532,0.0,0.0,0.00020214271275520532,0.0,0.00020214271275520532,0.0,0.0,-0.0002021427127552051,0.0,0.0,0.00020214271275520532,-0.0002021427127552051,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,0.00020214271275520532,-0.0002021427127552051,-0.0002021427127552051,0.0,0.0,0.0,0.00020214271275520532,-0.0002021427127552051,-0.0002021427127552051,0.0,0.0,-0.0004042854255104103,-0.0002021427127552051,-0.0002021427127552051,0.0,-0.0002021427127552051,-0.0002021427127552051,0.0,0.0,-0.0002021427127552051,0.0,0.0,0.0,-0.0002021427127552051,0.00020214271275520532,0.00020214271275520532,0.0,0.00020214271275520532,0.0,0.00020214271275520532,0.00020214271275520532,-2.425712553062457e-05,0.0001546887121059955
VPREB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002021427127552051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002021427127552051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.085708510208205e-06,3.9611720117779295e-05
TCL1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002021427127552051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002021427127552051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.085708510208205e-06,3.9611720117779295e-05
CD22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002021427127552051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002021427127552051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.085708510208205e-06,3.9611720117779295e-05
CTSW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002021427127552051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002021427127552051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.085708510208205e-06,3.96117201177793e-05
CD37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002021427127552051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002021427127552051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.085708510208205e-06,3.9611720117779295e-05
RALGPS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002021427127552051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0428542551041025e-06,2.829997978572871e-05
LINC00926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002021427127552051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0428542551041025e-06,2.829997978572871e-05
STX7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLRB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
