,genes,importance
173,CD74,0.05007270796049991
613,MS4A1,0.04860035621761181
174,CD79A,0.03767197155120407
1133,TNFRSF13C,0.03171591272702755
470,IGHM,0.030546700733094227
465,IGHD,0.030012040010881626
799,RALGPS2,0.02930789401815268
166,CD37,0.02790256738399818
545,LINC00926,0.02775052230631298
89,BANK1,0.027453881440846782
441,HLA.DRA,0.026712396173812308
21,AFF3,0.025971113134899384
439,HLA.DQB1,0.022738904486317348
160,CD22,0.020898646705326852
435,HLA.DPA1,0.020584380553386385
175,CD79B,0.020280727430627983
436,HLA.DPB1,0.019411386142235282
708,PAX5,0.017056591021670436
103,BLK,0.01704636140204675
1102,TCL1A,0.016022599705636003
695,P2RX5,0.015132484966348095
437,HLA.DQA1,0.014164272677072072
349,FCER2,0.012028183569285531
1205,VPREB3,0.011950858460990527
355,FCRL1,0.010795581704381314
657,NIBAN3,0.01075865060160684
884,RPL18A,0.00989536051673808
226,COBLL1,0.009711894115075968
442,HLA.DRB1,0.009699649769331405
472,IGKC,0.009567195978135367
170,CD52,0.008881539138889791
553,LINC02397,0.008455465953467736
487,IRF8,0.007834635885204243
94,BCL11A,0.007764148421553703
1052,SPIB,0.0070959799535527356
878,RPL13,0.006305854902372246
1083,SWAP70,0.006218244771844955
357,FCRL5,0.005955342634258333
356,FCRL2,0.005354566645653188
1069,STAG3,0.005256507793695686
921,RPLP2,0.005102751992578427
937,RPS27,0.005078214548541351
924,RPS11,0.005061301128509679
1058,SRGN,0.004555345477079361
944,RPS5,0.0045040532419241925
935,RPS23,0.0039946256227077325
473,IGLC2,0.003976423912025381
879,RPL13A,0.003971774580851419
474,IGLC3,0.003721924406999899
227,COL19A1,0.0036934059734844787
391,GNG7,0.003677234924967223
1140,TP53INP1,0.0036471334301032836
12,ADAM28,0.003145362020044412
929,RPS18,0.003090974662710318
104,BLNK,0.0030005986460892742
947,RPS8,0.002939727545937457
876,RPL11,0.002907195562385514
899,RPL32,0.0028974934504210114
432,HLA.DMB,0.002817524914118497
179,CD83,0.0027840571041396625
883,RPL18,0.0026850963788229566
886,RPL19,0.002658725084589034
296,EBF1,0.002620645573044646
1078,STRBP,0.0025307845416550423
51,ANXA1,0.0025217888404032852
938,RPS27A,0.0024688118242535487
341,FAM177B,0.0024430813884823367
358,FCRLA,0.002300882630013564
918,RPL9,0.002265790037082975
385,GIMAP7,0.0022538153122458574
751,PLPP5,0.0022345534298414244
945,RPS6,0.002201097630961691
433,HLA.DOA,0.0020304943660383393
96,BCL7A,0.001971361984032166
565,LTB,0.0018568554877419873
1101,TCF4,0.0018188425454998326
942,RPS3A,0.0018037403618057293
901,RPL34,0.0017983808323111298
940,RPS29,0.0017964112538707
458,ID2,0.0017852472690712425
917,RPL8,0.0017625366992240154
582,MARCHF1,0.001717474081246611
927,RPS16,0.0016913134760686826
738,PKIG,0.001677049463547629
113,BTG1,0.0016691549064809335
594,MEF2C,0.001597209463358214
162,CD247,0.0015704230260678825
932,RPS20,0.0015369767592972989
344,FAM30A,0.001526786536236162
158,CD2,0.0015029503523988706
462,IFT57,0.0014997515709771092
707,PAWR,0.0014825341267792492
413,GZMA,0.0014441517720984922
514,KLRB1,0.0014377553010580574
939,RPS28,0.0013986096621247366
1116,TLE1,0.0013701538889930348
431,HLA.DMA,0.0013649675904378721
649,NETO1,0.0013508875037556787
518,KLRD1,0.0012916300827214653
909,RPL39,0.001277169845319599
248,CTSW,0.0012764518087910544
253,CXCR4,0.0012697266856483793
