,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
CH507-513H4.5,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0008996212121212176,0.0001420454545454565
EEF1A1P5,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0008996212121212176,0.00014204545454545652
RPL21P28,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0008901515151515204,0.00015386436372416803
RPL13AP5,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0008522727272727321,0.000189393939393942
RPL7P1,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,0.0,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.0008428030303030351,0.00021780303030303276
MAPK1,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.0014204545454545511,-0.0009469696969697031,0.0,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.0014204545454545511,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,0.0,-0.0009469696969697031,-0.00047348484848484806,-0.0014204545454545511,0.0,-0.00047348484848484806,-0.00047348484848484806,0.0,-0.00047348484848484806,0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,0.0,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,0.0,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0005965909090909111,0.0003882575757575782
KLRD1,-0.00047348484848484806,-0.00047348484848484806,-0.0018939393939393992,-0.0014204545454545511,0.0,0.0014204545454545442,0.0009469696969696961,-0.0009469696969697031,-0.0014204545454545511,-0.00047348484848484806,0.00047348484848484806,0.00047348484848484806,-0.0009469696969697031,-0.0014204545454545511,-0.00047348484848484806,-0.0009469696969697031,0.0,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,0.0,0.00047348484848484806,-0.00047348484848484806,0.0,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,0.0,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,0.0,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,0.00047348484848484806,-0.0014204545454545511,0.0,-0.0009469696969697031,-0.0014204545454545511,0.0,-0.00047348484848484806,-0.00047348484848484806,0.00047348484848484806,-0.0014204545454545511,-0.0005113636363636388,0.0006685364619213199
HOPX,-0.00047348484848484806,0.0,-0.0009469696969697031,-0.0018939393939393992,-0.00047348484848484806,0.00047348484848484806,0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.0014204545454545511,-0.0009469696969697031,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.0009469696969697031,0.0,-0.0014204545454545511,-0.0009469696969697031,-0.00047348484848484806,0.0,0.0,-0.00047348484848484806,0.0,0.00047348484848484806,-0.00047348484848484806,0.0,0.0,0.0,-0.00047348484848484806,-0.00047348484848484806,0.00047348484848484806,0.0,-0.0014204545454545511,0.00047348484848484806,-0.0009469696969697031,-0.0014204545454545511,-0.00047348484848484806,-0.00047348484848484806,0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.0014204545454545511,-0.0009469696969697031,0.0,-0.0009469696969697031,-0.0005113636363636386,0.0005825210795162787
EEF1A1P6,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,0.0,-0.00047348484848484806,0.0,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,0.0,0.0,0.0,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,0.0,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,-0.000482954545454546,0.00024124506066017205
TMSB4XP8,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,0.0,-0.00047348484848484806,0.0,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,0.0,0.0,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,0.0,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,0.0,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.00047348484848484806,-0.0009469696969697031,-0.0009469696969697031,-0.00047348484848484806,-0.00047348484848484806,-0.0004734848484848489,0.0002319592559453782
