,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
NKG7,-0.0014513788098693761,-0.005805515239477501,0.0,-0.004354136429608125,-0.005805515239477501,-0.004354136429608125,-0.004354136429608125,-0.007256894049346877,-0.0029027576197387522,-0.0029027576197387522,-0.004354136429608125,-0.007256894049346877,-0.005805515239477501,-0.0014513788098693761,-0.0029027576197387522,-0.005805515239477501,0.0,0.0,-0.0029027576197387522,-0.0014513788098693761,0.0,-0.004354136429608125,-0.007256894049346877,-0.004354136429608125,-0.005805515239477501,-0.0014513788098693761,-0.005805515239477501,-0.007256894049346877,-0.0014513788098693761,-0.0014513788098693761,-0.007256894049346877,-0.004354136429608125,-0.0029027576197387522,-0.0029027576197387522,-0.004354136429608125,-0.005805515239477501,-0.005805515239477501,-0.0014513788098693761,-0.0029027576197387522,-0.004354136429608125,-0.004354136429608125,0.0029027576197387522,-0.007256894049346877,-0.0014513788098693761,-0.004354136429608125,-0.0029027576197387522,-0.004354136429608125,-0.007256894049346877,-0.007256894049346877,-0.004354136429608125,-0.003860667634252539,0.0023868011681476577
KLRD1,0.0,-0.005805515239477501,0.0,-0.0029027576197387522,-0.007256894049346877,-0.004354136429608125,-0.004354136429608125,-0.004354136429608125,-0.0014513788098693761,-0.0029027576197387522,-0.004354136429608125,-0.007256894049346877,-0.005805515239477501,-0.0014513788098693761,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,0.0014513788098693761,-0.0029027576197387522,-0.0029027576197387522,0.0,-0.004354136429608125,-0.005805515239477501,-0.005805515239477501,-0.005805515239477501,-0.0029027576197387522,-0.007256894049346877,-0.005805515239477501,-0.0029027576197387522,-0.0014513788098693761,-0.007256894049346877,-0.004354136429608125,-0.0029027576197387522,-0.004354136429608125,-0.004354136429608125,-0.005805515239477501,-0.007256894049346877,-0.0014513788098693761,-0.0014513788098693761,-0.004354136429608125,-0.004354136429608125,0.0029027576197387522,-0.005805515239477501,-0.0014513788098693761,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.007256894049346877,-0.007256894049346877,-0.004354136429608125,-0.0037445573294629885,0.0023598187618812942
GNLY,-0.0014513788098693761,-0.0029027576197387522,-0.0014513788098693761,-0.004354136429608125,-0.004354136429608125,-0.0029027576197387522,-0.0029027576197387522,-0.005805515239477501,-0.0014513788098693761,-0.0029027576197387522,-0.004354136429608125,-0.005805515239477501,-0.005805515239477501,-0.0014513788098693761,-0.0014513788098693761,-0.005805515239477501,-0.0029027576197387522,0.0,-0.0029027576197387522,0.0,0.0014513788098693761,-0.004354136429608125,-0.005805515239477501,-0.005805515239477501,-0.004354136429608125,0.0,-0.005805515239477501,-0.004354136429608125,-0.0029027576197387522,-0.0014513788098693761,-0.004354136429608125,-0.004354136429608125,-0.0014513788098693761,-0.004354136429608125,-0.004354136429608125,-0.004354136429608125,-0.0029027576197387522,-0.0014513788098693761,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,0.0029027576197387522,-0.005805515239477501,0.0014513788098693761,-0.0029027576197387522,-0.0014513788098693761,-0.0029027576197387522,-0.005805515239477501,-0.007256894049346877,-0.004354136429608125,-0.0031349782293178512,0.0021597765152671427
CTSW,-0.0014513788098693761,-0.0014513788098693761,-0.0029027576197387522,-0.004354136429608125,-0.004354136429608125,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,-0.0029027576197387522,0.0,0.0,-0.0014513788098693761,-0.0029027576197387522,-0.0014513788098693761,0.0,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,0.0,-0.0014513788098693761,-0.004354136429608125,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,-0.005805515239477501,-0.0029027576197387522,-0.004354136429608125,-0.0029027576197387522,-0.0029027576197387522,-0.004354136429608125,-0.0029027576197387522,-0.004354136429608125,-0.0014513788098693761,-0.0029027576197387522,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,0.0,-0.004354136429608125,-0.0014513788098693761,-0.0029027576197387522,-0.0014513788098693761,-0.004354136429608125,-0.0029027576197387522,-0.0023802612481857765,0.001354067203447384
CST7,0.0014513788098693761,-0.0014513788098693761,0.0,-0.0029027576197387522,-0.004354136429608125,-0.0029027576197387522,0.0,-0.0029027576197387522,-0.004354136429608125,0.0,-0.0029027576197387522,-0.0014513788098693761,-0.004354136429608125,-0.0029027576197387522,-0.0029027576197387522,-0.004354136429608125,-0.0014513788098693761,0.0,-0.0029027576197387522,0.0,-0.0014513788098693761,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.0014513788098693761,0.0,-0.0014513788098693761,-0.004354136429608125,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.0014513788098693761,-0.0029027576197387522,-0.0029027576197387522,-0.0014513788098693761,-0.0029027576197387522,-0.004354136429608125,-0.0029027576197387522,0.0014513788098693761,-0.0029027576197387522,0.0,-0.004354136429608125,0.0,-0.0029027576197387522,-0.0029027576197387522,-0.0014513788098693761,-0.0029027576197387522,-0.0022060957910014513,0.0015150059042902623
CCL5,0.0,-0.0014513788098693761,0.0,-0.0029027576197387522,-0.004354136429608125,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,-0.0029027576197387522,-0.0014513788098693761,0.0014513788098693761,-0.0014513788098693761,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.0014513788098693761,0.0,-0.004354136429608125,-0.0014513788098693761,0.0,-0.004354136429608125,-0.0029027576197387522,-0.0029027576197387522,0.0014513788098693761,-0.0014513788098693761,-0.0029027576197387522,-0.0014513788098693761,0.0,-0.0029027576197387522,-0.004354136429608125,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.0014513788098693761,-0.0029027576197387522,-0.004354136429608125,0.0,-0.0029027576197387522,-0.0029027576197387522,-0.0014513788098693761,0.0,0.0,-0.0014513788098693761,-0.004354136429608125,0.0014513788098693761,-0.004354136429608125,0.0,-0.0029027576197387522,-0.004354136429608125,-0.002002902757619738,0.0016392229786351808
PRF1,0.0014513788098693761,-0.0029027576197387522,0.0,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.005805515239477501,-0.0014513788098693761,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.005805515239477501,-0.0014513788098693761,-0.0029027576197387522,0.0,0.0,0.0,-0.0014513788098693761,-0.0014513788098693761,0.0,-0.004354136429608125,-0.0029027576197387522,-0.0029027576197387522,-0.004354136429608125,0.0,-0.0029027576197387522,-0.0014513788098693761,0.0,-0.0014513788098693761,-0.005805515239477501,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,0.0029027576197387522,-0.0029027576197387522,0.0014513788098693761,-0.0014513788098693761,0.0014513788098693761,-0.0029027576197387522,-0.004354136429608125,-0.005805515239477501,-0.0029027576197387522,-0.001973875181422351,0.0018981460347485411
RCAN3,0.0,0.0,0.0,-0.0014513788098693761,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,0.0,0.0,-0.0014513788098693761,-0.0029027576197387522,0.0,-0.0029027576197387522,-0.0014513788098693761,-0.0029027576197387522,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,0.0,-0.0029027576197387522,-0.0029027576197387522,0.0,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,0.0,-0.0014513788098693761,0.0,-0.0029027576197387522,0.0,-0.0029027576197387522,-0.0014513788098693761,-0.0029027576197387522,-0.0029027576197387522,-0.0016255442670537012,0.0010720572024742754
FGFBP2,0.0014513788098693761,0.0,0.0,-0.0029027576197387522,-0.0014513788098693761,-0.0029027576197387522,-0.0014513788098693761,-0.0029027576197387522,-0.004354136429608125,0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.004354136429608125,-0.0014513788098693761,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,0.0,-0.0029027576197387522,0.0014513788098693761,0.0014513788098693761,-0.004354136429608125,0.0,-0.0014513788098693761,-0.0029027576197387522,0.0,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.0029027576197387522,0.0,-0.0014513788098693761,-0.0029027576197387522,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.0029027576197387522,0.0014513788098693761,-0.004354136429608125,0.0,-0.004354136429608125,-0.0014513788098693761,-0.004354136429608125,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.0015965166908563132,0.001596516690856313
PTGDR,-0.0014513788098693761,0.0,0.0,-0.0029027576197387522,0.0,-0.0014513788098693761,-0.0014513788098693761,-0.0029027576197387522,0.0,-0.0029027576197387522,-0.004354136429608125,-0.0014513788098693761,-0.0029027576197387522,0.0,0.0014513788098693761,0.0014513788098693761,0.0,0.0,-0.0014513788098693761,-0.0029027576197387522,0.0,-0.0029027576197387522,-0.0014513788098693761,0.0,-0.0014513788098693761,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,-0.0014513788098693761,-0.0029027576197387522,0.0,-0.0014513788098693761,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,-0.0029027576197387522,-0.0029027576197387522,-0.0014513788098693761,-0.0014513788098693761,-0.0029027576197387522,-0.0029027576197387522,0.0029027576197387522,-0.004354136429608125,-0.0014513788098693761,-0.0014513788098693761,0.0,-0.0029027576197387522,-0.0029027576197387522,-0.0029027576197387522,-0.004354136429608125,-0.0015674891146589258,0.0015316001112653606
