,genes,importance
1914,NKG7,0.026366718189432294
1485,KLRD1,0.024902635017203013
2163,PRF1,0.023608834559058014
1199,GZMA,0.02330609104715321
1131,GNLY,0.022679877531604796
645,CST7,0.018621468281275536
514,CD8A,0.017436776501563413
1201,GZMB,0.015461651389943808
1486,KLRF1,0.015301463618839673
750,CTSW,0.015252441391195562
2265,RCAN3,0.015163504512943323
1280,HOPX,0.013893804129451803
3759,ZEB2,0.013396675394048754
1729,MAL,0.01253079293206446
3643,TYROBP,0.012282075935391892
468,CCL5,0.01216976862408582
3317,SOCS3,0.011523349655884009
1708,LTB,0.011338526813071525
1002,FCER1G,0.011253723082525502
1527,LDHB,0.01123406886564998
3407,SYNE1,0.010719004302272173
466,CCL4,0.010715570142074351
875,EFHD2,0.010351375444249774
602,CMC1,0.010191917379180588
1006,FCGR3A,0.010076642087917264
844,DUSP2,0.010074078559970468
515,CD8B,0.009918448752002254
3124,SAMD3,0.009573976226367225
507,CD63,0.009125768417623532
1020,FGFBP2,0.008765017817087006
1359,IL2RB,0.007903640262139447
1748,MATK,0.007355068983976763
1089,GAS5,0.007176756151843301
3345,SPON2,0.007110542982604095
2194,PTGDR,0.006951205971721953
1851,MYC,0.006830256198315286
2098,PLEK,0.006800024069631614
1363,IL7R,0.006759354003058578
596,CLIC3,0.006557923520739421
501,CD3G,0.006540751747518723
246,AREG,0.006283622526456183
1158,GPR183,0.0058640852616071056
500,CD3D,0.005668560566779231
508,CD7,0.005560040329986681
3174,SESN3,0.005557132565929981
1370,INPP4B,0.00550758291065593
1362,IL6ST,0.005501024412318017
1184,GSTP1,0.005284355785461321
1204,GZMM,0.005152714929685827
3609,TSHZ2,0.004983094041947155
482,CCR7,0.004900407987079059
389,C1orf21,0.004862263488327853
3563,TRAT1,0.004855222601690649
2202,PTPN12,0.004753507785603241
3115,RUNX3,0.004671908322113538
1737,MAP3K8,0.004555833367104424
2078,PIP4K2A,0.004450439232035414
1794,MIR23AHG,0.004402400178881376
1645,LINC02446,0.004341803965146768
421,CAMK4,0.004233280668690355
882,EIF3E,0.004217948810318059
1531,LEF1,0.004108748366712134
3559,TRAC,0.003912237676249618
2167,PRKCQ.AS1,0.003461651408550562
11,ABHD17A,0.0033759920506391482
534,CEBPD,0.003342091798674433
1715,LYAR,0.003182080113730788
542,CEP78,0.0030751359943466225
493,CD28,0.003035594680620241
1849,MYBL1,0.0029949760455668913
796,DIP2A,0.002950236909790518
137,ADGRG1,0.0028453263004503747
1857,MYO1F,0.002824781149791398
328,BCL11B,0.0028160926208552306
1379,IQGAP1,0.002743132395307355
1776,METRNL,0.002731446085810704
217,AOAH,0.0027116985268670975
489,CD247,0.002619286508213355
148,ADTRP,0.0025579557232299085
2026,PDE3B,0.002544021382294309
1397,ITGB2,0.0025394838824470485
1176,GSAP,0.0025220560693194646
502,CD4,0.0024603548693973277
203,ANK3,0.002459685338445208
3417,SYTL3,0.0024521612701732002
1997,PARP8,0.002441854311028265
1760,MCTP2,0.002418045405659739
1202,GZMH,0.0024056081820847315
1739,MAPK1,0.0023161614371240155
264,ARID5B,0.002286229536230254
490,CD27,0.002198404637749493
230,AP3M2,0.0021116243684104535
3558,TRABD2A,0.0020996228210993536
3068,RPS17,0.00207552300163448
485,CD160,0.0020376700210905474
1928,NOSIP,0.0020169963059798574
1132,GNPTAB,0.0020105960812538595
3495,TMEM123,0.0019882325290875055
1025,FHIT,0.0019700692155320736
1147,GPATCH8,0.0018926720338366691
787,DGKA,0.0018721689938111137
2219,PYHIN1,0.0017525635247384456
347,BIRC3,0.0016226133678029907
1391,ITGA4,0.0016224610679983556
3445,TCF7,0.0016194380512087824
463,CCL3,0.0015920295860512585
1128,GNG2,0.0015906308021900646
757,CXXC5,0.001518513637877967
1161,GPR65,0.001516159050628989
2250,RASSF1,0.0014976466838184264
234,APMAP,0.0014934987304388312
2075,PIM1,0.0014818916239326572
1479,KLRB1,0.0014738728215119687
3678,VAV3,0.001437829471804838
329,BCL2,0.0014298060236802104
177,AKNA,0.001429088742087732
3723,XCL2,0.001390866367742049
242,AQP3,0.0013784710434756112
256,ARHGAP9,0.0013688204755140483
3120,S1PR5,0.0013627303369821075
2146,PPP1R15A,0.0013610796800765806
377,C12orf75,0.0013434899715502261
2333,RNASET2,0.0013407540501504402
3166,SERINC5,0.0013269825617854875
3214,SLAMF7,0.0013159161350180418
3675,UTRN,0.0013075821987001098
2166,PRKCA,0.0012875986457793844
1683,LPCAT1,0.0012865525834489997
238,APOBEC3G,0.001272298893475113
946,FAM102A,0.0012321837941023307
2296,RIC3,0.00119722229454464
1393,ITGAL,0.0011727007198394472
3544,TOB1,0.0011668848549829583
1203,GZMK,0.0011663868005755335
3256,SLC9A3R1,0.0011514453256297652
3467,TGFB1,0.001138070206242956
3485,TLE1,0.0011329929567942742
113,ACTN4,0.0011199038579021092
3523,TMIGD2,0.0010988139056328388
1885,NCR3,0.0010960978243842333
1336,IGFBP7,0.0010909023202754638
2001,PAXX,0.0010868493804894715
3437,TBX21,0.0010748736234422395
1489,KLRK1.AS1,0.001071486453090376
577,CHRM3.AS2,0.0010653305239967722
822,DPP4,0.0010438609944228218
511,CD81,0.00103763028443786
3736,YPEL1,0.0010312458927690968
1317,ID2,0.001018915344680687
3556,TPST2,0.0009940293889534272
3577,TRDC,0.0009901823112574341
3581,TRGC2,0.0009803400742989944
3432,TBC1D4,0.0009504775287463688
1115,GK5,0.0009425408673276433
1398,ITK,0.0009171329228938153
1897,NELL2,0.0009108761403272233
1976,OSTF1,0.0009011029719905621
3539,TNFSF8,0.0008736971613510451
1888,NDFIP1,0.0008603920703933349
2028,PDE4B,0.0008494744704100583
817,DOK2,0.0008460767753252908
1878,NCAM1,0.000837503493011175
748,CTSD,0.0008318828787170739
1394,ITGAM,0.0008059235601563801
2160,PRCD,0.0008017607330310557
625,COTL1,0.0007869152952675427
559,CH17.189H20.1,0.0007773324071524175
3402,SUSD3,0.0007760778224355658
2206,PTPN4,0.0007636409351530831
423,CAPN12,0.0007515739405523632
1358,IL2RA,0.0007499580505953328
1178,GSE1,0.0007489246362478772
3184,SGK1,0.0007474773912069536
3190,SH2D1B,0.0007451424871765017
3416,SYTL2,0.0007125984361146193
244,ARAP2,0.0006951990735894547
1023,FGR,0.0006938822570929411
2109,PLP2,0.0006926233198356392
1395,ITGAX,0.0006827025737241069
3343,SPOCK2,0.0006704722542734643
1684,LPGAT1,0.0006641649909954915
1299,HSH2D,0.0006633636341037616
505,CD5,0.0006567685702756007
1487,KLRG1,0.0006564238560330631
640,CRTAM,0.0006516072150530847
1252,HLA.DPB1,0.0006459871209034203
667,CTBP2,0.0006303974371763374
1011,FCRL6,0.0006258161461172824
1090,GAS7,0.0006239744940379961
788,DGKD,0.0006210068989195956
1761,MDFIC,0.0006061389347565054
3203,SIPA1,0.0005994253015687592
3633,TTN,0.0005968608087796409
272,ARPC5L,0.0005871045550234534
1303,HSPB1,0.0005698294850882497
795,DHRS7,0.0005677728402581748
999,FBXO32,0.0005663469764084625
2690,RP11.425L10.1,0.0005591202742341021
3613,TSPAN32,0.000558062866495182
941,F2R,0.0005566347410275552
569,CHD9,0.00055160596803523
2911,RP11.864N7.2,0.0005442211798454696
1860,MYOM2,0.0005441864368476013
2235,RAB8B,0.0005344407311645159
744,CTLA4,0.0005320172313466144
2138,PPA1,0.0005312807866783436
1557,LINC00402,0.0005310588430049658
1045,FOSL2,0.0005245265187128411
