,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
TRAF3IP3,-0.00019953441968739542,-0.0001330229464582642,-0.0002660458929165284,-0.0001330229464582642,-0.0001330229464582642,-0.00019953441968739542,-0.00019953441968739542,-0.00019953441968739542,-0.0002660458929165284,-0.0002660458929165284,-0.00019953441968739542,-0.0001330229464582642,-0.0002660458929165284,-0.00019953441968739542,-0.00019953441968739542,-0.0002660458929165284,-0.00019953441968739542,-0.00019953441968739542,-0.00019953441968739542,-0.00019953441968739542,-0.0002660458929165284,-0.0002660458929165284,-0.00019953441968739542,-0.00019953441968739542,-0.0001330229464582642,-0.00019953441968739542,-0.00019953441968739542,-0.0002660458929165284,-0.0001330229464582642,-0.00019953441968739542,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0002660458929165284,-0.00019953441968739542,-0.00019953441968739542,-0.0001330229464582642,-0.00019953441968739542,-0.0001330229464582642,-0.0002660458929165284,-0.0001330229464582642,-0.0001330229464582642,-0.0002660458929165284,-0.00019953441968739542,-0.00019953441968739542,-0.00019953441968739542,-0.00019953441968739542,-0.0001330229464582642,-0.00019953441968739542,-0.00019288327236448267,5.021506109258891e-05
FYN,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.00019953441968739542,-0.00019953441968739542,-0.0001330229464582642,-0.0002660458929165284,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.00019953441968739542,-0.00019953441968739542,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0002660458929165284,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.00019953441968739542,-0.00019953441968739542,-0.00019953441968739542,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,0.0,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0002660458929165284,-6.651147322913296e-05,-0.0001330229464582642,-0.0002660458929165284,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001436647821749253,5.2134134864689985e-05
SLC38A1,-0.0001330229464582642,-0.00019953441968739542,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.00019953441968739542,-0.00019953441968739542,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.00019953441968739542,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-0.00019953441968739542,-0.0001330229464582642,-0.00019953441968739542,-0.00019953441968739542,-0.0001330229464582642,-0.0001330229464582642,-0.00019953441968739542,-0.00019953441968739542,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.00019953441968739542,-0.00019953441968739542,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.00019953441968739542,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-0.00019953441968739542,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.00019953441968739542,-0.0001330229464582642,-0.0001436647821749252,4.069719598477731e-05
PIK3IP1,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.00019953441968739542,-0.0001330229464582642,-0.0001330229464582642,-0.00019953441968739542,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-0.00019953441968739542,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.00019953441968739542,-0.0001330229464582642,-6.651147322913296e-05,-0.00019953441968739542,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.00019953441968739542,-0.0001330229464582642,-0.00019953441968739542,-0.0001330229464582642,0.0,-0.0001330229464582642,-6.651147322913296e-05,-0.00019953441968739542,-0.00019953441968739542,-6.651147322913296e-05,-0.00012238111074160316,4.862166114398903e-05
CCT2,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,0.0,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,0.0,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.00011173927502494213,3.6283822273324305e-05
TMED4,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.00019953441968739542,-6.651147322913296e-05,-0.00019953441968739542,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.00010907881609577695,3.705590496091507e-05
ISG20,-0.0001330229464582642,-0.0001330229464582642,0.0,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,0.0,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,0.0,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.00019953441968739542,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001064183571666116,4.2065549187474046e-05
SYNE2,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,-0.00019953441968739542,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,0.0,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,0.0,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,0.0,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-0.0001330229464582642,0.0,-0.0001330229464582642,0.0,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-9.843698037911578e-05,4.653902410252299e-05
FCMR,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,0.0,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-8.513468573328968e-05,3.269226665099939e-05
CLEC2D,-6.651147322913296e-05,0.0,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,0.0,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-0.0001330229464582642,-6.651147322913296e-05,-6.651147322913296e-05,-6.651147322913296e-05,0.0,-0.0001330229464582642,-8.380445626870698e-05,3.7175094412988463e-05
