,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
BCL11B,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.0006064281382656151,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0004366282595512433,8.441727518827987e-05
CAMK4,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.0006064281382656151,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00042045684253082694,7.922344023555835e-05
PRKCQ.AS1,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00042045684253082694,5.483994326359607e-05
RPS18,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0003961997170002024,9.003863938273704e-05
CCL5,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.0002021427127552062,-0.0006064281382656151,-0.0006064281382656151,-0.0002021427127552062,-0.0002021427127552062,-0.0008085708510208213,-0.0008085708510208213,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.0002021427127552062,-0.0006064281382656151,-0.00040428542551041065,-0.0008085708510208213,-0.00040428542551041065,-0.0002021427127552062,-0.0006064281382656151,-0.0002021427127552062,-0.0006064281382656151,-0.00040428542551041065,0.0,-0.0002021427127552062,0.00020214271275520446,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,0.0,-0.0006064281382656151,-0.0006064281382656151,-0.00040428542551041065,-0.0006064281382656151,-0.0002021427127552062,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.00038811400848999425,0.00020944950631879682
PCED1B.AS1,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00038002829997978605,6.568860646562305e-05
CD2,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,0.0,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0003557711744491615,9.532909741299025e-05
RPLP2,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0006064281382656151,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,0.0,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,0.0,-0.0006064281382656151,-0.0002021427127552062,0.0,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0003517283201940573,0.00013292324417039477
RPS6,-0.0002021427127552062,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,0.0,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,0.0,-0.00040428542551041065,-0.0002021427127552062,0.0,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002991712148777042,0.00012289212980449274
HBA1,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,0.0,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.0002021427127552062,-0.00040428542551041065,-0.00040428542551041065,-0.0002021427127552062,-0.0002021427127552062,-0.0002021427127552062,-0.0002021427127552062,-0.0002910855063674961,0.00010817940699623704
