,genes,importance
2,CD3D,0.041026566698124
4,CD3G,0.039993715234070734
1,IL7R,0.036093512047520045
13,RPL10,0.02823102462213914
21,RPS14,0.027022044359314143
6,TSHZ2,0.024618382051909603
9,TRAC,0.02304277992936546
170,RPL13,0.021920028196672773
10,TRAT1,0.02102650024251299
117,RPL34,0.020748474135914532
5,CAMK4,0.020708353914057162
87,RPS4X,0.01908164741681373
0,CD28,0.01721519279285828
136,RPL30,0.015300481289131699
34,RPS15A,0.014355124192859116
11,LEF1,0.014258322189961831
495,RPS3,0.014159048216592751
199,LDHB,0.014117937607557461
7,INPP4B,0.014117660614919177
3,RCAN3,0.013940653729728514
205,RPS6,0.013666839152105639
16,RPS18,0.011878417102705107
496,EEF1A1,0.011809941739812115
8,BCL11B,0.010860030255535506
81,RPL14,0.009977344305000396
244,RPS3A,0.009683706509981361
149,CD3E,0.009079118939550787
120,RPL32,0.009061150387280928
171,RPS27A,0.008994851001317933
22,PRKCQ.AS1,0.00888914855931064
172,MAL,0.008356878917085487
191,RPS8,0.00816072884638741
19,KLRD1,0.008006595518850728
177,RPL18,0.007752168880845144
20,GNLY,0.007738605112860212
213,RPS2,0.007616681732429394
132,IL32,0.007178989919279555
17,RPL19,0.007100941465904092
160,RPL11,0.0070030712749620545
219,CCL5,0.0068386451323299065
126,RPLP2,0.006702044890366525
14,RPL9,0.006423232088639267
138,RPS16,0.006015189000696132
25,LEPROTL1,0.005893172089529207
148,GIMAP7,0.005710103912097409
211,RPL37,0.00559100302441513
85,RPL39,0.005427888369541733
68,CTLA4,0.005404089795698297
178,RPS25,0.0053653168301670785
226,RPSA,0.004958941388466464
116,RPL13A,0.004634008580256322
18,SARAF,0.004631181437238868
102,RPS21,0.004592141051863825
202,FYB1,0.0045271060271950955
84,TCF7,0.004474697474410948
83,RPS13,0.0044015839998143335
12,CD4,0.004349737836942331
139,CD2,0.003900286362021042
77,PCED1B.AS1,0.003816751863663746
155,RPS20,0.0037516590262411695
122,ITK,0.003738522981374499
33,ICOS,0.0037361018231037084
15,NOSIP,0.003734327764696119
86,RPL5,0.0037008893173388667
41,RTKN2,0.0036029411134468727
135,RPS29,0.0034843552071901103
128,LTB,0.0034390719978794485
212,PIM1,0.003429821972898318
200,RPLP0,0.0032900324196773923
43,ADTRP,0.003280833756247551
186,RPL12,0.002875629522868948
123,RPL38,0.0028086142940191923
271,FCRL1,0.0027371902221772085
93,RPL10A,0.002704924684919612
124,RPL22,0.0027041806260217904
157,RPL23,0.0026942001168710965
209,KLRF1,0.0026787166957971662
60,RPS28,0.0026366833967607127
494,RPL31,0.0025174647687814453
82,RPL24,0.0023954851029360704
53,RPL18A,0.002369087642897326
185,RPL7,0.0022805331383345204
298,AP3M2,0.002200351173499738
216,GZMB,0.0021659587431379066
156,TOB1,0.0021603559855340134
179,NFKBIZ,0.002132070265632592
92,SPOCK2,0.002076661496255183
99,GIMAP4,0.002006106940318532
107,MAF,0.001949532754994419
280,ARL4C,0.0019237493644042674
89,RPL27A,0.0018651912006123358
32,ARID5B,0.0018459543091019688
210,RPS23,0.0018424720545489705
420,RPS19,0.0018229930827416124
69,CD5,0.0017979379032178329
80,TOMM7,0.0017936620355943097
150,TRBC2,0.0017194746488644367
35,LPAR6,0.001715993019195832
118,RORA,0.0016910393973619785
151,FXYD5,0.0016754643041199562
59,PBXIP1,0.0016583407255842167
131,RNASET2,0.0016243470831392773
58,RACK1,0.0016154686954193947
479,GIMAP1,0.0015867474559038538
306,RPL8,0.0015547407046705873
103,MYC,0.0015530395500946417
146,EIF3E,0.0014549943796312076
220,FCGR3A,0.0014472642915799305
328,FGFBP2,0.0014471528470339314
