,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
CD247,-0.0010641835716661135,-0.0010641835716661135,-0.0009976720984369788,-0.0009976720984369788,-0.0012637179913535072,-0.0011306950448952448,-0.0009976720984369788,-0.001330229464582642,-0.001197206518124376,-0.0009976720984369788,-0.0009976720984369788,-0.001197206518124376,-0.0011306950448952448,-0.0009976720984369788,-0.0010641835716661135,-0.0010641835716661135,-0.0009976720984369788,-0.0009311606252078476,-0.0009976720984369788,-0.0009311606252078476,-0.0010641835716661135,-0.0009311606252078476,-0.0011306950448952448,-0.0009311606252078476,-0.0011306950448952448,-0.001197206518124376,-0.0011306950448952448,-0.0008646491519787164,-0.0012637179913535072,-0.0011306950448952448,-0.0010641835716661135,-0.0011306950448952448,-0.001197206518124376,-0.0010641835716661135,-0.0009976720984369788,-0.0008646491519787164,-0.0011306950448952448,-0.0007981376787495852,-0.0011306950448952448,-0.0009976720984369788,-0.0010641835716661135,-0.0008646491519787164,-0.0011306950448952448,-0.001197206518124376,-0.0011306950448952448,-0.0009976720984369788,-0.0009976720984369788,-0.0008646491519787164,-0.0009311606252078476,-0.0009976720984369788,-0.001053541735949451,0.0001147086724964956
PRF1,-0.0012637179913535072,-0.0010641835716661135,-0.0009976720984369788,-0.0009976720984369788,-0.0011306950448952448,-0.0009976720984369788,-0.0008646491519787164,-0.0010641835716661135,-0.0011306950448952448,-0.0009311606252078476,-0.001330229464582642,-0.0011306950448952448,-0.0009976720984369788,-0.0011306950448952448,-0.0007316262055204505,-0.0008646491519787164,-0.0010641835716661135,-0.0008646491519787164,-0.0011306950448952448,-0.0007981376787495852,-0.0007316262055204505,-0.0010641835716661135,-0.0010641835716661135,-0.0007981376787495852,-0.0007981376787495852,-0.0009311606252078476,-0.0009976720984369788,-0.0008646491519787164,-0.0009976720984369788,-0.0008646491519787164,-0.0011306950448952448,-0.0010641835716661135,-0.0009976720984369788,-0.0010641835716661135,-0.0008646491519787164,-0.0007981376787495852,-0.0009976720984369788,-0.0008646491519787164,-0.0011306950448952448,-0.0009311606252078476,-0.0008646491519787164,-0.0010641835716661135,-0.0011306950448952448,-0.0009976720984369788,-0.0010641835716661135,-0.0007316262055204505,-0.000598603259062188,-0.0011306950448952448,-0.001330229464582642,-0.0009311606252078476,-0.0009857000332557364,0.00015323065579387544
GZMB,-0.0008646491519787164,-0.0011306950448952448,-0.0009311606252078476,-0.001197206518124376,-0.0011306950448952448,-0.0011306950448952448,-0.0008646491519787164,-0.0009976720984369788,-0.0011306950448952448,-0.0007316262055204505,-0.0009976720984369788,-0.0010641835716661135,-0.001197206518124376,-0.0009976720984369788,-0.0007981376787495852,-0.0007316262055204505,-0.0011306950448952448,-0.0009311606252078476,-0.0006651147322913192,-0.0009976720984369788,-0.0007981376787495852,-0.0009311606252078476,-0.0009311606252078476,-0.0010641835716661135,-0.0011306950448952448,-0.0009311606252078476,-0.0006651147322913192,-0.0009311606252078476,-0.0010641835716661135,-0.0011306950448952448,-0.0008646491519787164,-0.0009311606252078476,-0.0009976720984369788,-0.0010641835716661135,-0.0007981376787495852,-0.0007981376787495852,-0.0009311606252078476,-0.0010641835716661135,-0.0010641835716661135,-0.0007981376787495852,-0.0011306950448952448,-0.0008646491519787164,-0.0010641835716661135,-0.0009311606252078476,-0.0009976720984369788,-0.000598603259062188,-0.0009976720984369788,-0.0007981376787495852,-0.001330229464582642,-0.0009311606252078476,-0.0009630861323578316,0.00015354789789699344
KLRB1,-0.0008646491519787164,-0.0009976720984369788,-0.0007981376787495852,-0.0008646491519787164,-0.0009311606252078476,-0.0008646491519787164,-0.0009976720984369788,-0.0009311606252078476,-0.0009311606252078476,-0.0008646491519787164,-0.0009976720984369788,-0.0011306950448952448,-0.0008646491519787164,-0.000598603259062188,-0.0007316262055204505,-0.0008646491519787164,-0.0010641835716661135,-0.0009311606252078476,-0.0009311606252078476,-0.0009311606252078476,-0.0008646491519787164,-0.0007316262055204505,-0.0006651147322913192,-0.0010641835716661135,-0.0007981376787495852,-0.0009976720984369788,-0.0009311606252078476,-0.0007981376787495852,-0.0007316262055204505,-0.0008646491519787164,-0.0007981376787495852,-0.0007981376787495852,-0.0009311606252078476,-0.0009311606252078476,-0.0010641835716661135,-0.0005320917858330568,-0.0008646491519787164,-0.0008646491519787164,-0.0009976720984369788,-0.0006651147322913192,-0.0011306950448952448,-0.0008646491519787164,-0.0007981376787495852,-0.0009311606252078476,-0.0007316262055204505,-0.0009976720984369788,-0.0008646491519787164,-0.0005320917858330568,-0.0007316262055204505,-0.0008646491519787164,-0.0008686398403724638,0.00013395747554671508
FGFBP2,-0.0007316262055204505,-0.0007981376787495852,-0.0006651147322913192,-0.0009976720984369788,-0.0008646491519787164,-0.0007316262055204505,-0.0007316262055204505,-0.000598603259062188,-0.0006651147322913192,-0.0009976720984369788,-0.0009311606252078476,-0.0009976720984369788,-0.0007981376787495852,-0.0007981376787495852,-0.0009311606252078476,-0.0007316262055204505,-0.0007981376787495852,-0.0007981376787495852,-0.00039906883937479085,-0.0009311606252078476,-0.0008646491519787164,-0.0006651147322913192,-0.0007981376787495852,-0.0007981376787495852,-0.0007981376787495852,-0.0006651147322913192,-0.0007981376787495852,-0.0007981376787495852,-0.0009311606252078476,-0.000598603259062188,-0.0007316262055204505,-0.0007316262055204505,-0.0008646491519787164,-0.0007981376787495852,-0.0007981376787495852,-0.0005320917858330568,-0.0007981376787495852,-0.0007981376787495852,-0.0007981376787495852,-0.0006651147322913192,-0.0009311606252078476,-0.0008646491519787164,-0.0006651147322913192,-0.0009311606252078476,-0.0008646491519787164,-0.0007316262055204505,-0.000598603259062188,-0.0007981376787495852,-0.0009976720984369788,-0.0007981376787495852,-0.00078616561356834,0.00012385429303895552
PLAC8,-0.0005320917858330568,-0.0007316262055204505,-0.0005320917858330568,-0.00046558031260392554,-0.0007316262055204505,-0.0007316262055204505,-0.00046558031260392554,-0.000598603259062188,-0.0007981376787495852,-0.0005320917858330568,-0.0007316262055204505,-0.0006651147322913192,-0.0007981376787495852,-0.00046558031260392554,-0.00046558031260392554,-0.0006651147322913192,-0.00046558031260392554,-0.000598603259062188,-0.0007316262055204505,-0.0006651147322913192,-0.000598603259062188,-0.0005320917858330568,-0.0006651147322913192,-0.0006651147322913192,-0.0005320917858330568,-0.0005320917858330568,-0.000598603259062188,-0.0005320917858330568,-0.0007316262055204505,-0.0007981376787495852,-0.0005320917858330568,-0.0007316262055204505,-0.0007316262055204505,-0.000598603259062188,-0.0006651147322913192,-0.0006651147322913192,-0.0007981376787495852,-0.0006651147322913192,-0.0007981376787495852,-0.000598603259062188,-0.000598603259062188,-0.0005320917858330568,-0.0007316262055204505,-0.000598603259062188,-0.000598603259062188,-0.0006651147322913192,-0.00039906883937479085,-0.0007981376787495852,-0.000598603259062188,-0.0005320917858330568,-0.0006278683072830061,0.00010655129707748958
TXK,-0.0005320917858330568,-0.0006651147322913192,-0.000598603259062188,-0.0006651147322913192,-0.0006651147322913192,-0.000598603259062188,-0.00039906883937479085,-0.000598603259062188,-0.0005320917858330568,-0.0007981376787495852,-0.0007316262055204505,-0.0007981376787495852,-0.0007316262055204505,-0.0005320917858330568,-0.0005320917858330568,-0.0007981376787495852,-0.0006651147322913192,-0.000598603259062188,-0.000598603259062188,-0.0005320917858330568,-0.0006651147322913192,-0.0006651147322913192,-0.0007981376787495852,-0.00046558031260392554,-0.0005320917858330568,-0.0007316262055204505,-0.0006651147322913192,-0.0006651147322913192,-0.0005320917858330568,-0.00039906883937479085,-0.000598603259062188,-0.0005320917858330568,-0.000598603259062188,-0.0006651147322913192,-0.0006651147322913192,-0.000598603259062188,-0.0006651147322913192,-0.0003325573661456596,-0.0005320917858330568,-0.0006651147322913192,-0.0006651147322913192,-0.0007981376787495852,-0.0005320917858330568,-0.0007316262055204505,-0.0006651147322913192,-0.0005320917858330568,-0.000598603259062188,-0.0007316262055204505,-0.000598603259062188,-0.0006651147322913192,-0.0006212171599600928,0.0001044124214336701
CD7,-0.000598603259062188,-0.0003325573661456596,-0.000598603259062188,-0.0005320917858330568,-0.0009311606252078476,-0.0007981376787495852,-0.0006651147322913192,-0.00046558031260392554,-0.000598603259062188,-0.00046558031260392554,-0.00039906883937479085,-0.0006651147322913192,-0.0006651147322913192,-0.00039906883937479085,-0.00046558031260392554,-0.0007981376787495852,-0.0006651147322913192,-0.0005320917858330568,-0.0005320917858330568,-0.000598603259062188,-0.0006651147322913192,-0.000598603259062188,-0.00039906883937479085,-0.00039906883937479085,-0.0006651147322913192,-0.000598603259062188,-0.0005320917858330568,-0.0005320917858330568,-0.0005320917858330568,-0.0009311606252078476,-0.0007316262055204505,-0.0006651147322913192,-0.0007316262055204505,-0.000598603259062188,-0.0008646491519787164,-0.0007316262055204505,-0.000598603259062188,-0.00019953441968739716,-0.0007981376787495852,-0.00046558031260392554,-0.0006651147322913192,-0.0005320917858330568,-0.00039906883937479085,-0.000598603259062188,-0.00046558031260392554,-0.0007316262055204505,-0.00039906883937479085,-0.00046558031260392554,-0.000598603259062188,-0.000598603259062188,-0.0005879614233455268,0.0001495310461871247
GZMM,-0.00039906883937479085,-0.0005320917858330568,-0.0005320917858330568,-0.0005320917858330568,-0.00039906883937479085,-0.0006651147322913192,-0.0005320917858330568,-0.0006651147322913192,-0.0006651147322913192,-0.0007316262055204505,-0.0005320917858330568,-0.0003325573661456596,-0.000598603259062188,-0.0005320917858330568,-0.0006651147322913192,-0.00039906883937479085,-0.0005320917858330568,-0.00039906883937479085,-0.000598603259062188,-0.0005320917858330568,-0.0006651147322913192,-0.0005320917858330568,-0.000598603259062188,-0.000598603259062188,-0.00046558031260392554,-0.0005320917858330568,-0.000598603259062188,-0.00039906883937479085,-0.0005320917858330568,-0.0007981376787495852,-0.00046558031260392554,-0.000598603259062188,-0.00046558031260392554,-0.00046558031260392554,-0.0006651147322913192,-0.00046558031260392554,-0.00039906883937479085,-0.00039906883937479085,-0.0005320917858330568,-0.00046558031260392554,-0.000598603259062188,-0.000598603259062188,-0.0007316262055204505,-0.0006651147322913192,-0.000598603259062188,-0.0005320917858330568,-0.0006651147322913192,-0.0006651147322913192,-0.00046558031260392554,-0.00046558031260392554,-0.0005480545394080478,0.00010351886376238737
CTSW,-0.0006651147322913192,-0.00046558031260392554,-0.000598603259062188,-0.0005320917858330568,-0.0003325573661456596,-0.000598603259062188,-0.00013302294645826246,-0.000598603259062188,-0.0005320917858330568,-0.0006651147322913192,-0.000598603259062188,-0.000598603259062188,-0.000598603259062188,-0.00039906883937479085,-0.00039906883937479085,-0.00046558031260392554,-0.00039906883937479085,-0.0005320917858330568,-0.0005320917858330568,-0.000598603259062188,-0.00039906883937479085,-0.00046558031260392554,-0.0005320917858330568,-0.00039906883937479085,-0.0005320917858330568,-0.00046558031260392554,-0.0002660458929165284,-0.00046558031260392554,-0.0007981376787495852,-0.0005320917858330568,-0.00046558031260392554,-0.00046558031260392554,-0.00046558031260392554,-0.000598603259062188,-0.0007316262055204505,-0.00039906883937479085,-0.00046558031260392554,-0.0002660458929165284,-0.0006651147322913192,-0.0003325573661456596,-0.00039906883937479085,-0.00046558031260392554,-0.0005320917858330568,-0.000598603259062188,-0.000598603259062188,-0.000598603259062188,-0.0003325573661456596,-0.0005320917858330568,-0.000598603259062188,-0.0006651147322913192,-0.0005054871965414034,0.00012549359670178392
