,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
SPON2,-0.0008085708510208178,-0.0016171417020416495,-0.0008085708510208178,-0.001819284414796854,-0.001819284414796854,-0.001819284414796854,-0.001819284414796854,-0.0016171417020416495,-0.0020214271275520584,-0.0010107135637760223,-0.0014149989892864312,-0.001819284414796854,-0.001819284414796854,-0.0016171417020416495,-0.0012128562765312267,-0.0014149989892864312,-0.001819284414796854,-0.0016171417020416495,-0.001819284414796854,-0.0016171417020416495,-0.0010107135637760223,-0.0014149989892864312,-0.0014149989892864312,-0.0020214271275520584,-0.0014149989892864312,-0.0016171417020416495,-0.0012128562765312267,-0.001819284414796854,-0.0014149989892864312,-0.0014149989892864312,-0.001819284414796854,-0.001819284414796854,-0.0020214271275520584,-0.0016171417020416495,-0.0014149989892864312,-0.0020214271275520584,-0.0016171417020416495,-0.0010107135637760223,-0.0016171417020416495,-0.0014149989892864312,-0.0016171417020416495,-0.0012128562765312267,-0.0012128562765312267,-0.0014149989892864312,-0.0016171417020416495,-0.0008085708510208178,-0.0012128562765312267,-0.0016171417020416495,-0.001819284414796854,-0.0016171417020416495,-0.0015322417626844578,0.00031856562794569944
GZMB,-0.0010107135637760223,-0.001819284414796854,-0.001819284414796854,-0.0014149989892864312,-0.0012128562765312267,-0.0014149989892864312,-0.0010107135637760223,-0.0012128562765312267,-0.0020214271275520584,-0.0012128562765312267,-0.0010107135637760223,-0.0014149989892864312,-0.0016171417020416495,-0.0010107135637760223,-0.0014149989892864312,-0.0012128562765312267,-0.0014149989892864312,-0.0010107135637760223,-0.0012128562765312267,-0.001819284414796854,-0.0008085708510208178,-0.0016171417020416495,-0.0012128562765312267,-0.0014149989892864312,-0.001819284414796854,-0.0016171417020416495,-0.0014149989892864312,-0.0008085708510208178,-0.0014149989892864312,-0.0014149989892864312,-0.0012128562765312267,-0.0014149989892864312,-0.0008085708510208178,-0.0016171417020416495,-0.0016171417020416495,-0.0016171417020416495,-0.0014149989892864312,-0.0010107135637760223,-0.0012128562765312267,-0.001819284414796854,-0.0012128562765312267,-0.001819284414796854,-0.0014149989892864312,-0.0008085708510208178,-0.0010107135637760223,-0.0012128562765312267,-0.0012128562765312267,-0.0016171417020416495,-0.0010107135637760223,-0.0016171417020416495,-0.00135031332120477,0.00030640461405290746
CLIC3,-0.0008085708510208178,-0.0010107135637760223,-0.0012128562765312267,-0.0012128562765312267,-0.0010107135637760223,-0.0006064281382656134,-0.0010107135637760223,-0.0010107135637760223,-0.0012128562765312267,-0.0010107135637760223,-0.0008085708510208178,-0.0012128562765312267,-0.0012128562765312267,-0.0010107135637760223,-0.0010107135637760223,-0.0012128562765312267,-0.0012128562765312267,-0.0010107135637760223,-0.0014149989892864312,-0.0012128562765312267,-0.0012128562765312267,-0.0012128562765312267,-0.0008085708510208178,-0.0008085708510208178,-0.0010107135637760223,-0.0008085708510208178,-0.0010107135637760223,-0.0010107135637760223,-0.0012128562765312267,-0.0010107135637760223,-0.0010107135637760223,-0.0012128562765312267,-0.0006064281382656134,-0.0012128562765312267,-0.0010107135637760223,-0.0012128562765312267,-0.0012128562765312267,-0.0010107135637760223,-0.0010107135637760223,-0.0012128562765312267,-0.0014149989892864312,-0.0010107135637760223,-0.0012128562765312267,-0.0012128562765312267,-0.0008085708510208178,-0.0010107135637760223,-0.0008085708510208178,-0.0006064281382656134,-0.0014149989892864312,-0.0012128562765312267,-0.0010592278148372713,0.00019623466504162612
PTGDR,-0.0012128562765312267,-0.0010107135637760223,-0.0012128562765312267,-0.0010107135637760223,-0.0006064281382656134,-0.0008085708510208178,-0.0010107135637760223,-0.0012128562765312267,-0.0008085708510208178,-0.0012128562765312267,-0.0012128562765312267,-0.0012128562765312267,-0.0012128562765312267,-0.0012128562765312267,-0.0012128562765312267,-0.0012128562765312267,-0.0010107135637760223,-0.0010107135637760223,-0.0010107135637760223,-0.0006064281382656134,-0.0012128562765312267,-0.0012128562765312267,-0.0008085708510208178,-0.0010107135637760223,-0.0010107135637760223,-0.0008085708510208178,-0.0010107135637760223,-0.0010107135637760223,-0.0012128562765312267,-0.0010107135637760223,-0.0010107135637760223,-0.0012128562765312267,-0.0012128562765312267,-0.0010107135637760223,-0.0012128562765312267,-0.0010107135637760223,-0.0012128562765312267,-0.0010107135637760223,-0.0004042854255104089,-0.0012128562765312267,-0.0010107135637760223,-0.0008085708510208178,-0.0012128562765312267,-0.0012128562765312267,-0.0012128562765312267,-0.0006064281382656134,-0.0010107135637760223,-0.0010107135637760223,-0.0012128562765312267,-0.0012128562765312267,-0.0010470992520719591,0.00019677531471417692
FGFBP2,-0.00020214271275520446,-0.0010107135637760223,-0.0008085708510208178,-0.00020214271275520446,-0.0012128562765312267,-0.0012128562765312267,-0.0008085708510208178,-0.0006064281382656134,-0.0016171417020416495,-0.0012128562765312267,-0.0010107135637760223,-0.0012128562765312267,-0.0016171417020416495,-0.0010107135637760223,-0.0012128562765312267,-0.0010107135637760223,-0.0012128562765312267,-0.0010107135637760223,-0.00020214271275520446,-0.0008085708510208178,-0.0008085708510208178,-0.0008085708510208178,-0.0010107135637760223,-0.0008085708510208178,-0.0012128562765312267,-0.0012128562765312267,-0.0010107135637760223,-0.0008085708510208178,-0.0010107135637760223,-0.0010107135637760223,-0.0010107135637760223,-0.0016171417020416495,-0.0012128562765312267,-0.0012128562765312267,-0.0006064281382656134,-0.0010107135637760223,-0.0014149989892864312,-0.0004042854255104089,-0.0014149989892864312,-0.0006064281382656134,-0.0010107135637760223,-0.0012128562765312267,-0.0008085708510208178,-0.0012128562765312267,-0.0010107135637760223,-0.0004042854255104089,-0.0010107135637760223,-0.0006064281382656134,-0.0008085708510208178,-0.0016171417020416495,-0.0009824135839902948,0.00034544527717863806
PRF1,-0.0004042854255104089,-0.0004042854255104089,-0.0010107135637760223,-0.0012128562765312267,-0.0008085708510208178,-0.0004042854255104089,-0.0008085708510208178,-0.0006064281382656134,-0.0014149989892864312,-0.0006064281382656134,-0.0006064281382656134,-0.0014149989892864312,-0.0012128562765312267,-0.0008085708510208178,-0.0012128562765312267,-0.0006064281382656134,-0.0014149989892864312,-0.0014149989892864312,-0.00020214271275520446,-0.0010107135637760223,-0.0010107135637760223,-0.0008085708510208178,-0.0006064281382656134,-0.0008085708510208178,-0.0010107135637760223,-0.0010107135637760223,-0.001819284414796854,-0.0006064281382656134,-0.0010107135637760223,-0.0010107135637760223,-0.0012128562765312267,-0.0014149989892864312,-0.0006064281382656134,-0.0012128562765312267,-0.0008085708510208178,-0.0008085708510208178,-0.0014149989892864312,-0.00020214271275520446,-0.0012128562765312267,-0.0004042854255104089,-0.0008085708510208178,-0.0006064281382656134,-0.0008085708510208178,-0.0010107135637760223,-0.0006064281382656134,-0.0008085708510208178,-0.0008085708510208178,-0.0006064281382656134,-0.0010107135637760223,-0.0008085708510208178,-0.0008894279361228999,0.0003477794730965278
PTPN12,-0.0008085708510208178,-0.0004042854255104089,-0.0010107135637760223,-0.0006064281382656134,-0.0008085708510208178,-0.0008085708510208178,-0.0008085708510208178,-0.0010107135637760223,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0010107135637760223,-0.0006064281382656134,-0.0010107135637760223,-0.0010107135637760223,-0.0010107135637760223,-0.0008085708510208178,-0.0010107135637760223,-0.0008085708510208178,-0.0010107135637760223,-0.0006064281382656134,-0.0008085708510208178,-0.0010107135637760223,-0.0006064281382656134,-0.0010107135637760223,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0008085708510208178,-0.0008085708510208178,-0.0006064281382656134,-0.0010107135637760223,-0.0010107135637760223,-0.0010107135637760223,-0.0010107135637760223,-0.0008085708510208178,-0.0008085708510208178,-0.0010107135637760223,-0.0006064281382656134,-0.0008085708510208178,-0.0010107135637760223,-0.0010107135637760223,-0.0008085708510208178,-0.0008085708510208178,-0.0008085708510208178,-0.0008085708510208178,-0.0008085708510208178,-0.0010107135637760223,-0.0008287851222963383,0.00016297266521727354
CD247,-0.0004042854255104089,-0.0004042854255104089,-0.0010107135637760223,-0.0008085708510208178,-0.0006064281382656134,-0.0012128562765312267,-0.0008085708510208178,-0.0006064281382656134,-0.0012128562765312267,-0.0010107135637760223,-0.0010107135637760223,-0.0010107135637760223,-0.0008085708510208178,-0.0012128562765312267,-0.0010107135637760223,-0.0008085708510208178,-0.0014149989892864312,-0.0012128562765312267,-0.0006064281382656134,-0.0010107135637760223,-0.00020214271275520446,-0.0010107135637760223,-0.0004042854255104089,-0.0008085708510208178,-0.0010107135637760223,-0.0008085708510208178,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0010107135637760223,-0.0010107135637760223,-0.0004042854255104089,-0.0010107135637760223,-0.0006064281382656134,-0.0008085708510208178,-0.0012128562765312267,-0.0006064281382656134,-0.0008085708510208178,-0.0004042854255104089,-0.0008085708510208178,-0.0010107135637760223,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.00020214271275520446,-0.0008085708510208178,-0.0010107135637760223,-0.0008085708510208178,-0.0008085708510208178,-0.0007964422882555056,0.00028129086374447374
RPS3,-0.0010107135637760223,-0.00020214271275520446,-0.0010107135637760223,-0.0012128562765312267,-0.0008085708510208178,-0.0004042854255104089,-0.0014149989892864312,-0.0006064281382656134,-0.0010107135637760223,-0.0006064281382656134,0.00020214271275520446,-0.0008085708510208178,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0008085708510208178,-0.0004042854255104089,-0.00020214271275520446,-0.0012128562765312267,-0.0012128562765312267,-0.0004042854255104089,-0.0012128562765312267,-0.0008085708510208178,-0.0010107135637760223,-0.0012128562765312267,-0.0012128562765312267,-0.0008085708510208178,-0.0010107135637760223,-0.00020214271275520446,-0.0012128562765312267,-0.0006064281382656134,-0.0014149989892864312,-0.0008085708510208178,-0.0014149989892864312,-0.0014149989892864312,-0.0012128562765312267,-0.0008085708510208178,-0.0010107135637760223,-0.0004042854255104089,-0.0012128562765312267,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0012128562765312267,0.0,-0.0006064281382656134,-0.00020214271275520446,-0.0008085708510208178,-0.0004042854255104089,-0.0008085708510208178,-0.0007843137254901933,0.0004015268734323054
CD7,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0008085708510208178,-0.00020214271275520446,-0.0008085708510208178,-0.0006064281382656134,-0.0010107135637760223,-0.0012128562765312267,-0.0010107135637760223,-0.0008085708510208178,-0.0010107135637760223,-0.0008085708510208178,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0012128562765312267,-0.0010107135637760223,-0.0004042854255104089,-0.0008085708510208178,-0.0004042854255104089,-0.0012128562765312267,-0.0006064281382656134,-0.0004042854255104089,-0.0008085708510208178,-0.0004042854255104089,-0.0004042854255104089,-0.0008085708510208178,-0.0006064281382656134,-0.0010107135637760223,-0.0010107135637760223,-0.0008085708510208178,-0.0010107135637760223,-0.0010107135637760223,-0.0010107135637760223,-0.0010107135637760223,-0.0008085708510208178,-0.0006064281382656134,-0.0008085708510208178,-0.0008085708510208178,-0.0004042854255104089,-0.0008085708510208178,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0007398423286840483,0.00024125374971232085
