,genes,importance
230,CD3E,0.06841736197362393
240,CD8A,0.014931749676491564
619,GZMA,0.013482542169056753
793,KLRD1,0.011522333269027109
587,GNLY,0.011444954998949814
1019,NKG7,0.010987367227888057
447,DUSP2,0.010058910409301628
90,ARL4C,0.009730021896233681
360,CTSW,0.009690539699286987
203,CCL5,0.009152807730070708
1187,PRF1,0.008680355370692894
678,HOPX,0.008674133323820417
623,GZMM,0.007984709920119532
241,CD8B,0.007654060645974442
305,CMC1,0.007289514313934468
345,CST7,0.007043933680548075
620,GZMB,0.0070197095590630015
237,CD7,0.006581257621536369
794,KLRF1,0.006303448300127093
1395,SAMD3,0.005907319026728109
715,IL2RB,0.00508465032695511
221,CD2,0.005054594519558381
223,CD247,0.004982869935513196
890,MATK,0.004900962928317141
787,KLRB1,0.004759867931793303
717,IL32,0.004631136500874847
640,HCST,0.004585656392181061
622,GZMK,0.004516033309237442
496,ETS1,0.0044709713446981
528,FGFBP2,0.004422227122783854
1387,RUNX3,0.004259141673961494
236,CD69,0.004039056776611028
1478,SLFN5,0.0037879656505274725
1237,PYHIN1,0.003732779913312691
1596,SYTL3,0.0034574810911292215
202,CCL4,0.003455053603944745
1176,PPP2R5C,0.0033315805082944783
1591,SYNE1,0.0033314264129778643
152,BTG1,0.0031515528881548315
1221,PTGDR,0.0031450570931840795
299,CLIC3,0.0030266495951262254
497,EVL,0.0030064755359613276
817,LCK,0.0029667373235036415
1370,RPS3,0.002849973937038986
1534,SPON2,0.0028264214503422214
718,IL7R,0.002804437677032354
1300,RNF125,0.002721522876687038
626,H1.4,0.002716359336093772
1802,XCL2,0.0026303784152283015
1736,TXK,0.002587652469516941
549,FYN,0.002513675015769461
67,AREG,0.0025092399027881055
174,CALM1,0.0024678290927300207
1082,PARP8,0.0024306636048773865
1125,PIK3R1,0.002385977062204395
1087,PCED1B.AS1,0.0023820887781411536
1701,TRBC1,0.002252084011162472
1838,ZFP36L2,0.002235854163527658
523,FCGR3A,0.002179459531770351
838,LINC02446,0.0021715767761496174
621,GZMH,0.0021708311750368837
1592,SYNE2,0.0021317417187818543
233,CD52,0.0021253934098852765
265,CEP78,0.0021055848675569006
960,MYBL1,0.0021028478927465335
865,LYAR,0.00205670195069835
1354,RPL34,0.0020556914323045495
873,MALAT1,0.0020458666430963443
1353,RPL3,0.0020279493090577016
1368,RPS27A,0.0020249746519476306
1367,RPS27,0.0020121755406483123
1465,SLC25A37,0.0019374706962471697
1456,SKAP1,0.0019208073072579063
1369,RPS29,0.001812923184857182
1131,PLAAT4,0.0018094276473565015
458,EEF1A1,0.0017925680472667858
1372,RPS4X,0.001782217335869041
1737,TXNIP,0.0016971821030255132
1702,TRBC2,0.0016239502699861303
242,CD96,0.0015989268575601321
1668,TMIGD2,0.0015490025497499112
1346,RPL14,0.0015458228303051908
7,ABHD17A,0.001524345302933677
1343,RPL10,0.001478594429595619
1692,TRAC,0.001433714525715421
419,DIP2A,0.0014331010911699485
1362,RPS18,0.001430377120986654
869,MACF1,0.001420775258874994
368,CXCR4,0.0014173878414998075
756,JUN,0.001403899105951829
1646,TLE5,0.0013884951175658874
629,H3.3B,0.0013861701364165505
863,LY6E,0.001376675431315118
106,ATM,0.0013398617832620415
1327,RP11.489E7.4,0.0013050167045752757
1132,PLAC8,0.001294074544870914
164,C1orf21,0.0012697407200606243
656,HLA.F,0.001250546323117927
1421,SEPTIN7,0.0012464867286741744
701,IFITM1,0.0012463737876675196
1269,RBM39,0.0012381935600093627
1371,RPS3A,0.0012250371605632385
1364,RPS21,0.0012134819585324528
1705,TRGC2,0.0011973064232680777
1595,SYTL2,0.0011965783372428435
1467,SLC38A1,0.0011942482146975772
1703,TRDC,0.0011656620433675158
597,GPATCH8,0.0011652433560537952
1373,RPS6,0.001162889373846825
840,LITAF,0.0011396058524105013
655,HLA.E,0.0011364609204742428
1195,PRMT2,0.0011141518332768465
1344,RPL10A,0.0011080710125016325
1365,RPS23,0.0010991893028479977
1366,RPS25,0.0010829830049319373
238,CD81,0.0010762002495054788
1374,RPS7,0.001074517852583855
1375,RPSA,0.0010702450614740557
795,KLRG1,0.0010527023499649468
1357,RPL5,0.00105260465307072
460,EFHD2,0.0010435742424362885
625,H1.3,0.0010305944112334068
737,ISG20,0.001030309840332283
1190,PRKCH,0.0010269169827121446
1317,RORA,0.0010179531850478603
410,DGKZ,0.000996104021659063
1541,SRGN,0.0009795910421141227
184,CASP8,0.00097825158583882
716,IL2RG,0.0009721739977707835
892,MBP,0.0009710487196622333
1231,PTPRC,0.0009703054782836016
1352,RPL27A,0.0009675408234739809
657,HMGB1,0.00096090597374859
1349,RPL23A,0.0009593957173343455
1813,YPEL1,0.0009502485887778998
1347,RPL15,0.0009433216263533948
1358,RPL6,0.0009307238360014014
235,CD63,0.0009175549715426695
1350,RPL24,0.0009142783741066259
1071,OXNAD1,0.0008976904624293568
401,DDX5,0.0008941725875898649
788,KLRC1,0.0008939942731151318
1224,PTMA,0.0008907038869764164
694,ID2,0.0008856688999826623
834,LINC01871,0.0008786588889265584
1109,PFN1,0.0008674494070460059
1029,NOP53,0.0008673437398173924
562,GAS5,0.0008582456185011886
459,EEF1B2,0.0008552438575985685
1359,RPL7A,0.0008550854499450493
751,JAK1,0.0008479041885507292
783,KLF2,0.0008430820803505011
956,MTATP6P1,0.0008368541962920172
214,CCSER2,0.0008358200621169258
139,BIN2,0.0008270455600648116
1355,RPL35,0.0008126609873175823
1250,RAP1B,0.0008058330217712656
338,CRTAM,0.0007982916400691959
0,A2M.AS1,0.0007972224811451618
22,ADGRG1,0.0007873867064105617
1356,RPL36AL,0.0007852488779319883
12,ACAP1,0.0007813411602293088
155,BTN3A2,0.0007742632747833195
186,CBLB,0.0007720952708340597
1228,PTPN4,0.0007685434203753966
1012,NFKBIA,0.0007654027202627748
1816,YWHAZ,0.0007641801512728294
654,HLA.C,0.0007562523909762298
879,MAP3K8,0.000755289123240211
1085,PAXX,0.000750240307181391
604,GPR65,0.0007476640526016273
161,C12orf75,0.0007444663553181078
1435,SH2D1A,0.0007386772716116907
395,DDX24,0.0007321718975660709
1351,RPL26,0.0007145132580750909
952,MSN,0.0007068035806228777
882,MAPK1,0.0007030924241708208
697,IER2,0.0007003171934920523
295,CLEC2D,0.0006961113986629779
1833,ZEB2,0.0006932201520531258
137,BHLHE40,0.0006929540505239987
1672,TNFAIP3,0.0006891394158982151
666,HNRNPA2B1,0.0006889689789141998
93,ARPC5L,0.0006871395801468652
1556,SRSF7,0.0006807218031977397
219,CD160,0.0006699632009029054
1817,ZAP70,0.0006681836020616577
681,HSP90AA1,0.0006680534547247353
1619,TCF7,0.0006666686649193716
