,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
PDHB,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.0020258620689655085,0.00035017406916534156
ANXA2,-0.0032327586206896547,-0.001077586206896547,-0.002155172413793094,0.0010775862068965608,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.002155172413793094,0.0,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,0.0,-0.001077586206896547,0.0,-0.002155172413793094,-0.002155172413793094,0.0,0.0010775862068965608,-0.002155172413793094,0.0,-0.002155172413793094,-0.002155172413793094,-0.0032327586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,0.0,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.002155172413793094,-0.0013362068965517182,0.0009284766908852578
PCED1B-AS1,0.0,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,0.0,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,0.0,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,0.0,-0.0012931034482758564,0.0006095748113677106
PSMA5,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.0012931034482758564,0.0004310344827586188
DAAM1,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,0.0,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,0.0,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,0.0,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.0032327586206896547,-0.001077586206896547,-0.001077586206896547,-0.0012499999999999948,0.0005846836192349353
SLC25A1,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.0012068965517241326,0.0003501740691653416
SDHD,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,0.0,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.0011422413793103397,0.00033457273052284387
NIF3L1,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.0011422413793103397,0.0002559125449792643
PNPLA6,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,0.0,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,0.0,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.0011422413793103397,0.00039797813173748513
IL27RA,-0.001077586206896547,-0.002155172413793094,-0.002155172413793094,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,0.0,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,0.0,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,0.0,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,0.0,-0.001077586206896547,-0.001077586206896547,-0.002155172413793094,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.001077586206896547,-0.0011422413793103397,0.0005012803167936619
