,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
GPR183,-0.011029411764705885,-0.003676470588235295,-0.00735294117647059,-0.00735294117647059,-0.00735294117647059,-0.003676470588235295,-0.011029411764705885,-0.00735294117647059,-0.011029411764705885,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.00735294117647059,-0.00735294117647059,-0.00735294117647059,-0.003676470588235295,-0.00735294117647059,-0.011029411764705885,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.011029411764705885,-0.003676470588235295,-0.011029411764705885,0.0,-0.003676470588235295,-0.00735294117647059,-0.00735294117647059,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.00735294117647059,-0.00735294117647059,-0.00735294117647059,-0.003676470588235295,-0.00735294117647059,-0.0061764705882352946,0.002593410601257118
COTL1,-0.003676470588235295,0.0,0.0,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.011029411764705885,-0.00735294117647059,-0.00735294117647059,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.011029411764705885,0.0,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.011029411764705885,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,0.0,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,-0.011029411764705885,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.004632352941176471,0.002923661081186919
IL4R,-0.003676470588235295,-0.011029411764705885,-0.00735294117647059,0.003676470588235295,-0.011029411764705885,0.0,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,0.0,-0.003676470588235295,-0.00735294117647059,0.0,-0.011029411764705885,-0.003676470588235295,-0.003676470588235295,0.0,0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.003676470588235295,-0.011029411764705885,-0.00735294117647059,0.0,-0.00735294117647059,-0.00735294117647059,0.0,-0.00735294117647059,0.0,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.011029411764705885,-0.00735294117647059,-0.011029411764705885,-0.003676470588235295,-0.00735294117647059,0.003676470588235295,0.003676470588235295,0.0,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,0.0,-0.003676470588235295,0.003676470588235295,-0.011029411764705885,-0.00735294117647059,-0.003970588235294118,0.004462938501615741
FCER2,0.0,0.0,0.0,-0.003676470588235295,0.0,0.0,0.0,-0.011029411764705885,0.0,0.0,-0.00735294117647059,-0.003676470588235295,0.0,-0.00735294117647059,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,0.003676470588235295,-0.00735294117647059,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.00735294117647059,-0.011029411764705885,0.003676470588235295,-0.00735294117647059,0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.00735294117647059,-0.00735294117647059,-0.00735294117647059,0.0,0.0,-0.00735294117647059,-0.003676470588235295,-0.00735294117647059,-0.003823529411764706,0.0036735282343519993
ANK3,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.003602941176470589,0.00116027454691614
CD70,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.0036029411764705887,0.00116027454691614
HHAT,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.0035294117647058833,0.0007204381596421113
COL4A4,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.0034558823529411762,0.0008731133887527881
TNFRSF13B,0.0,0.003676470588235295,-0.003676470588235295,0.0,0.003676470588235295,0.003676470588235295,-0.00735294117647059,-0.00735294117647059,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.011029411764705885,-0.003676470588235295,0.0,0.003676470588235295,-0.003676470588235295,0.003676470588235295,-0.003676470588235295,0.003676470588235295,-0.00735294117647059,-0.003676470588235295,0.0,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.00735294117647059,0.0,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,0.0,-0.00735294117647059,-0.0033823529411764713,0.003514059748631919
NCOA7,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.00735294117647059,-0.00735294117647059,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,0.0,-0.00735294117647059,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.00735294117647059,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,0.0,0.0,0.0,-0.00735294117647059,0.0,-0.003676470588235295,0.0,-0.00735294117647059,-0.00735294117647059,-0.003676470588235295,-0.003676470588235295,0.0,-0.00735294117647059,-0.0033823529411764713,0.0025300956667772437
EHD1,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003382352941176471,0.0009974014681066571
TFEC,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003308823529411765,0.0011029411764705884
ITGAL,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,0.0,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.0031617647058823526,0.0012756876156542261
CAPN2,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,0.0,-0.003676470588235295,0.0,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.0031617647058823526,0.0012756876156542261
RP5.1171I10.5,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,-0.003676470588235295,0.0,-0.003676470588235295,-0.003676470588235295,-0.0031617647058823526,0.0012756876156542261
