,genes,importance
1772,TCL1A,0.029728022155178047
1929,YBX3,0.029300360992402127
71,AIM2,0.02586955105565472
696,IGHD,0.025145275478731972
1825,TNFRSF13B,0.018521189085415356
347,CRIP1,0.01488913681266826
697,IGHG1,0.013330479125963093
1616,SESN1,0.013219385909819154
314,CLECL1,0.01152014893419301
97,ANXA2,0.010716210797575069
334,COTL1,0.010425918947808333
919,MARCKS,0.010104309648028323
698,IGHG2,0.009812113739224288
264,CD82,0.009295965675671822
819,LDHB,0.008928226762613263
254,CD27,0.008539441734941556
1205,PVT1,0.00774835857951192
617,GPR183,0.0076224196929784716
700,IGHG4,0.007606541534514156
541,FCER2,0.007393141103038339
1719,SSPN,0.007330446889825153
241,CCDC50,0.007298964194746162
1002,NCOA7,0.007270732919497846
924,MCOLN2,0.007169895885448194
46,ACP5,0.00706407167400828
824,LGALS1,0.006898772341588583
1883,UBE2J1,0.006777831935979652
1905,VASP,0.006463700778465234
251,CD1C,0.006388417210083154
734,IL4R,0.006174693837297894
1191,PSMB9,0.006099674017494179
1065,OSBPL10,0.005933389767486926
221,CAPG,0.00569919856596497
422,DANCR,0.005554394175505317
117,ARHGAP25,0.005304579706134414
1136,PLEK,0.004680218775680729
111,APLP2,0.004617329599163391
996,NAPSB,0.004550620600363388
1603,SEC11C,0.004402464363191923
339,CPNE5,0.004385252536393093
1530,RP5.1171I10.5,0.004364521425889907
1093,PCED1B.AS1,0.004183029601511966
1936,ZBTB16,0.004160857523450217
756,ITGB1,0.003999810667475167
1795,TKT,0.003876053619563508
768,JPT1,0.003703366337276801
855,LINC01781,0.0036274477452592313
695,IGHA2,0.0035633679238748894
90,ANK3,0.0035475350926550977
261,CD70,0.0033847320986574066
944,MIDN,0.003262797820835101
1896,USP12,0.0032544793341640456
1027,NLRC5,0.003179271608565285
148,ATXN1,0.003148930570075317
1159,PPFIBP2,0.0030917735633922455
160,BACH2,0.003060889856713557
896,LRRK2,0.003001778187450624
443,DOCK10,0.0029516155685500255
174,BIN1,0.002932773396278633
1059,ODC1,0.0029184181379907814
699,IGHG3,0.0028825475966754357
222,CAPN2,0.002817480873884502
421,DAAM1,0.002740208470143364
