,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
IGHD,-0.00033255736614566,-0.00033255736614566,-0.000399068839374793,-0.000399068839374793,-0.00033255736614566,-0.000399068839374793,-0.00033255736614566,-0.000266045892916528,-0.000399068839374793,-0.000399068839374793,-0.000399068839374793,-0.000399068839374793,-0.000399068839374793,-0.000266045892916528,-0.000399068839374793,-0.00033255736614566,-0.000399068839374793,-0.00033255736614566,-0.00033255736614566,-0.000399068839374793,-0.000399068839374793,-0.00033255736614566,-0.000399068839374793,-0.00033255736614566,-0.000266045892916528,-0.000399068839374793,-0.000399068839374793,-0.000399068839374793,-0.000399068839374793,-0.000399068839374793,-0.000266045892916528,-0.000399068839374793,-0.00033255736614566,-0.000399068839374793,-0.00033255736614566,-0.00033255736614566,-0.000399068839374793,-0.000399068839374793,-0.00033255736614566,-0.000399068839374793,-0.00033255736614566,-0.000266045892916528,-0.000399068839374793,-0.000399068839374793,-0.000399068839374793,-0.000399068839374793,-0.000399068839374793,-0.000266045892916528,-0.000399068839374793,-0.00033255736614566,-0.000363152643831061,4.69538661242087e-05
IGHM,-0.000266045892916528,-0.000133022946458265,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000199534419687397,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000199534419687397,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000133022946458265,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000199534419687397,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000199534419687397,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000133022946458265,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000199534419687397,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000199534419687397,-0.000266045892916528,-0.000266045892916528,-0.000250083139341537,3.69465952686084e-05
TLR10,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-0.000133022946458265,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-0.000133022946458265,-6.6511473229133e-05,-6.6511473229133e-05,-0.000133022946458265,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-0.000133022946458265,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-0.000133022946458265,-6.6511473229133e-05,-6.6511473229133e-05,-0.000133022946458265,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-0.000133022946458265,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-0.000133022946458265,-6.6511473229133e-05,-6.6511473229133e-05,-7.71533089457941e-05,2.46310635124058e-05
EBF1,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,0
NXPH4,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,0
NIPAL2,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,0
CECR7,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,0
CELSR1,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,0
JCHAIN,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,0,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,0,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,0,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.2520784835385e-05,1.59559652465646e-05
ITM2C,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,0,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,0,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,0,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.6511473229133e-05,-6.2520784835385e-05,1.59559652465646e-05
