,genes,importance
276,AIM2,0.022249739597187287
2265,IGHG2,0.01502830385831014
6240,TNFRSF13B,0.011883174769392164
993,CLECL1,0.00973987085719478
519,BANK1,0.009350881461011899
3169,MS4A1,0.008070830338263052
795,CD1C,0.006759995782263877
559,BLK,0.006520196153633801
2130,HLA.DPB1,0.006282411255773118
3958,RALGPS2,0.0061763519004574986
832,CD74,0.005918449681158429
3498,OSBPL10,0.005860457965171115
6241,TNFRSF13C,0.005802611862731194
833,CD79A,0.005783450618223832
2264,IGHG1,0.0056766303562400785
2988,MARCKS,0.005570997442412047
756,CCDC50,0.005071283974060998
6579,YBX3,0.00489000174112361
5924,SPIB,0.004595963873762741
2134,HLA.DQB1,0.0045733069464349765
3264,NAPSB,0.004486553725423539
817,CD37,0.004232071797684731
1785,FCRL2,0.004137298658949568
2261,IGHD,0.004026298975090645
2777,LINC01857,0.004022546126925006
5967,SSPN,0.003943361234783611
2771,LINC01781,0.0038092557083008326
3566,PAX5,0.003795475298737712
2136,HLA.DRA,0.00374201273098875
834,CD79B,0.0037239262816535315
553,BHLHE41,0.0036739700312439535
2128,HLA.DPA1,0.003497610203929073
1612,EML6,0.0034483894210277717
193,ACP5,0.003415178073246739
6164,TLR10,0.0034134026444065085
1999,GPR183,0.0034133467413803094
1033,COBLL1,0.00339713796768554
5446,RPS18,0.0033474962676119345
2266,IGHG3,0.0033417550450483956
2132,HLA.DQA1,0.0032593144497831427
5493,RPS8,0.0031963061622023504
3522,P2RX5,0.003116183787718846
2709,LINC00926,0.003111323338776688
5289,RPL11,0.003003248199754448
799,CD22,0.0030004914828102394
2267,IGHG4,0.002978225608621527
3012,MCOLN2,0.002903837753100449
2922,LTB,0.0028998191177415757
2259,IGHA1,0.002886475476303202
838,CD82,0.002854643450376576
1041,COL4A4,0.002827753117056568
5297,RPL13A,0.002752479907267295
6502,VPREB3,0.0026843598822845136
2137,HLA.DRB1,0.002650785791075613
5354,RPL27A,0.002578527313456565
1681,EZR,0.0024797194867414492
3772,POU2AF1,0.0024624220998155357
606,BTG1,0.002400705973438348
830,CD70,0.0022836794802779475
804,CD27,0.0022765354436613547
