,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
VCAN,-0.000798137678749583,-0.000199534419687395,-0.000731626205520452,-0.000731626205520452,-0.000598603259062188,-0.000665114732291319,-0.000864649151978716,-0.000665114732291319,-0.000133022946458264,-0.000798137678749583,-0.000731626205520452,-0.000199534419687395,-0.000465580312603924,-0.000598603259062188,-0.00033255736614566,-0.000864649151978716,-0.000465580312603924,-0.000798137678749583,-0.000199534419687395,-0.000731626205520452,-0.000731626205520452,-0.000598603259062188,-0.000665114732291319,-0.000864649151978716,-0.000665114732291319,-0.000133022946458264,-0.000798137678749583,-0.000731626205520452,-0.000199534419687395,-0.000465580312603924,-0.000598603259062188,-0.00033255736614566,-0.000864649151978716,-0.000465580312603924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000393747921516461,0.000334544070114894
CTSS,-0.00033255736614566,-0.000399068839374793,-0.000266045892916528,-0.00033255736614566,-0.000399068839374793,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000399068839374793,-6.65114732291312e-05,-0.000266045892916528,-0.000199534419687395,-0.000133022946458264,-0.000199534419687395,-6.65114732291312e-05,-0.000465580312603924,-0.00033255736614566,-0.00033255736614566,-0.000399068839374793,-0.000266045892916528,-0.00033255736614566,-0.000399068839374793,-0.000266045892916528,-0.000266045892916528,-0.000266045892916528,-0.000399068839374793,-6.65114732291312e-05,-0.000266045892916528,-0.000199534419687395,-0.000133022946458264,-0.000199534419687395,-6.65114732291312e-05,-0.000465580312603924,-0.00033255736614566,0,0,-6.65114732291312e-05,0,0,0,0,0,0,0,0,-6.65114732291312e-05,0,0,0,0,-0.000188892583970735,0.000156335890838988
LYZ,6.6511473229133e-05,-6.65114732291312e-05,-0.000266045892916528,-0.000133022946458264,-0.000266045892916528,-0.000199534419687395,0,-0.000199534419687395,-6.65114732291312e-05,-0.000133022946458264,-0.00033255736614566,-0.00033255736614566,0,-0.000266045892916528,-0.000199534419687395,-0.00033255736614566,-6.65114732291312e-05,6.6511473229133e-05,-6.65114732291312e-05,-0.000266045892916528,-0.000133022946458264,-0.000266045892916528,-0.000199534419687395,0,-0.000199534419687395,-6.65114732291312e-05,-0.000133022946458264,-0.00033255736614566,-0.00033255736614566,0,-0.000266045892916528,-0.000199534419687395,-0.00033255736614566,-6.65114732291312e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000111739275024942,0.000128493646432852
SHTN1,-6.65114732291312e-05,-6.65114732291312e-05,-0.000199534419687395,-0.000199534419687395,-0.000199534419687395,-0.000199534419687395,-0.000199534419687395,-0.000199534419687395,-0.000199534419687395,-6.65114732291312e-05,-0.000133022946458264,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-0.000199534419687395,-0.000133022946458264,-0.000199534419687395,-6.65114732291312e-05,-6.65114732291312e-05,-0.000199534419687395,-0.000199534419687395,-0.000199534419687395,-0.000199534419687395,-0.000199534419687395,-0.000199534419687395,-0.000199534419687395,-6.65114732291312e-05,-0.000133022946458264,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-0.000199534419687395,-0.000133022946458264,-0.000199534419687395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00010109743930828,8.52398073230753e-05
ADAP2,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,0,0,0,0,0,0,0,0,0,0,0,-6.65114732291312e-05,0,0,0,-7.7153308945793e-05,5.59871326223681e-05
FMN1,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.18323910874624e-05,5.6755871221242e-05
TBXAS1,-6.65114732291312e-05,0,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,0,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,0,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,0,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.38510142999666e-05,5.85103292329445e-05
MARCHF1,-6.65114732291312e-05,0,0,-6.65114732291312e-05,-0.000133022946458264,0,-6.65114732291312e-05,-0.000199534419687395,-0.000199534419687395,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-0.000199534419687395,-0.000133022946458264,-6.65114732291312e-05,-6.65114732291312e-05,0,0,-6.65114732291312e-05,-0.000133022946458264,0,-6.65114732291312e-05,-0.000199534419687395,-0.000199534419687395,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-0.000199534419687395,-0.000133022946458264,-6.65114732291312e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.38510142999665e-05,6.97707502659394e-05
TNFAIP2,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-6.65114732291312e-05,-6.65114732291312e-05,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-6.65114732291312e-05,0,-0.000133022946458264,0,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-6.65114732291312e-05,-6.65114732291312e-05,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-6.65114732291312e-05,-0.000133022946458264,-6.65114732291312e-05,0,-0.000133022946458264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.8530096441636e-05,5.48138165807347e-05
LRP1,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-0.000199534419687395,0,-6.65114732291312e-05,-6.65114732291312e-05,6.6511473229133e-05,0,-6.65114732291312e-05,-6.65114732291312e-05,-0.000199534419687395,-6.65114732291312e-05,-6.65114732291312e-05,-6.65114732291312e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291312e-05,-0.000199534419687395,0,-6.65114732291312e-05,-6.65114732291312e-05,6.6511473229133e-05,0,-6.65114732291312e-05,-6.65114732291312e-05,-0.000199534419687395,-6.65114732291312e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.58696375124706e-05,6.76687368909904e-05
