,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
THBS1,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00019001414998989294,4.800623443314302e-05
SHTN1,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00018192844147968477,6.0642813826561595e-05
CD163,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00016171417020416427,8.085708510208212e-05
CTSS,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,0.00020214271275520532,-0.00020214271275520532,0.0,-0.0004042854255104102,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.0004042854255104102,-0.00020214271275520532,-0.00020214271275520532,-0.0004042854255104102,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,-0.0004042854255104102,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.0001617141702041642,0.00012128562765312312
SH3BGRL3,-0.00020214271275520532,0.0,0.0,0.0,0.0,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00011319991914291498,0.00010034100380829485
TMSB10,-0.00020214271275520532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,0.0,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00010107135637760266,0.00010107135637760265
RPS16,-0.00020214271275520532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,0.0,0.0,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,-8.894279361229035e-05,0.00010034100380829486
GPX1,0.0,0.0,0.0,0.0,0.00020214271275520532,-0.00020214271275520532,0.0,0.0,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,0.00020214271275520532,0.0,0.00020214271275520532,0.0,0.0,-0.00020214271275520532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,0.00020214271275520532,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,-4.851425106124928e-05,0.00011828371811868047
SKAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,0.0,0.0,0.0,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,0.0,0.0,0.0,-0.00020214271275520532,-4.042854255104107e-05,8.085708510208214e-05
TRBC1,0.0,0.0,-0.00020214271275520532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020214271275520532,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,0.0,-0.00020214271275520532,0.0,-0.00020214271275520532,0.0,0.0,-3.2342834040832854e-05,7.410674259075551e-05
