,genes,importance
3046,VCAN,0.029952587719056577
597,CST3,0.023603678631589332
1439,LYZ,0.023420256876129336
1290,KCTD12,0.023283178127692462
622,CTSS,0.022273641297691594
400,CD163,0.018838903126971337
2070,PSAP,0.017252288481829473
2781,THBS1,0.01638743187287113
2373,S100A10,0.016377594052307327
71,AIF1,0.016369529076204127
1612,MS4A6A,0.016368842757568173
575,CPVL,0.016322352711826492
982,GASK1B,0.01584650691541485
2252,RNASE2,0.013668238287062756
1445,MAFB,0.01362066016671829
922,FGL2,0.013303603394462552
1369,LGALS1,0.012612159299614066
397,CD14,0.012413451449760669
908,FCN1,0.012185697326877055
1566,MPEG1,0.01197282561085344
383,CCDC88A,0.011321748997427888
618,CTSB,0.011036175592277262
1526,MGST1,0.010615096250846232
410,CD302,0.0104790608647169
85,ALDH2,0.010478529330800663
2376,S100A4,0.010408293975651623
494,CLEC7A,0.010314338447980019
2379,S100A9,0.010133970739927061
2204,RBP7,0.009689772146410673
2872,TNFSF13B,0.0089624518845404
551,COTL1,0.008823843586926252
455,CFD,0.008564061308854298
2374,S100A11,0.008503320517999307
412,CD36,0.008189462230566902
118,ANXA2,0.007796431731426967
194,ASGR1,0.007761493316786964
1964,PLBD1,0.007514906324553128
1985,PLXDC2,0.007330530298130997
1428,LST1,0.007313370005524038
2961,TYMP,0.007183570728668788
2805,TLR4,0.007150138880272186
2378,S100A8,0.007100082702232364
598,CSTA,0.007074262036223801
2483,SH3BGRL3,0.006991854407017584
935,FLT3,0.006917952655973472
2292,RP11.1143G9.4,0.006573114096045334
1065,GRN,0.006466202717558888
120,ANXA5,0.006252233295846394
1413,LRP1,0.00620556292331033
1473,MARCHF1,0.006181610787929488
1558,MNDA,0.006177415484979895
2395,SAT1,0.006146083883609903
1274,JDP2,0.006031354825351643
2377,S100A6,0.005767618775983754
2800,TKT,0.0057309942949717654
3055,VIM,0.005585619627677531
2514,SLC11A1,0.005494708876495993
2555,SLC7A7,0.005469772179786721
819,EMILIN2,0.00541386810565858
905,FCGRT,0.0053116428490614775
1056,GPX1,0.005131212335246634
1380,LILRB2,0.005110328100724003
325,C5AR1,0.00500845658886495
2491,SHTN1,0.004937619607592523
2388,SAP30,0.004919751366332533
424,CD93,0.004679588439297879
2778,TGFBI,0.0045973784475017215
1213,IGSF6,0.004056098272360152
645,CYP1B1,0.004053323673225661
2639,SPI1,0.004003208682163553
140,APLP2,0.003937112418354987
640,CYBB,0.003924717051736371
1429,LTA4H,0.003875912700502922
2860,TMSB10,0.00382924644329355
440,CEBPD,0.003707453271329565
570,CPPED1,0.0036177401937716527
2726,SYNE2,0.0034428604992383233
623,CTSZ,0.003430862594946828
38,ADAMTS2,0.0034288518001222585
411,CD33,0.0034041733666894305
2782,THBS1.IT1,0.0033794972791587304
1694,NCF2,0.0033593722648832154
2804,TLR2,0.003314735105532217
1370,LGALS2,0.003272832307269551
709,DMXL2,0.0031853872095291584
295,BRI3,0.0030631332051862157
2502,SIRPB1,0.003000467798554855
947,FPR1,0.002836087937819229
2375,S100A12,0.0027728846025393186
2937,TSPO,0.0026999003241096092
2795,TIMP2,0.002661289205042879
1789,NPC2,0.0026516137847878225
737,DPYSL2,0.0026453018518594745
2962,TYROBP,0.002613987647565223
976,GAPDH,0.002596083783294028
1316,KLF10,0.0025194944010311013
1421,LRRK2,0.0024405201982381835
336,CALM2,0.0024171517684483243
1031,GNLY,0.0023732723311501672
620,CTSD,0.002352136579429381
67,AHNAK,0.0023355826885115096
33,ADA2,0.0022389257246376855
1773,NKG7,0.0021952020212700984
195,ASGR2,0.0021728821138628546
736,DPYD,0.0020837619225909498
2864,TNFAIP2,0.0020080878844607585
2261,RNF130,0.0020057143297190997
420,CD74,0.0019828127150513745
1329,KLRD1,0.0019516895379052864
985,GCA,0.0019426560804352067
345,CAPG,0.0019340421583465379
2157,RAB31,0.0019160862779129674
2453,SERPINA1,0.001914944991490743
578,CREB5,0.00191435693210145
68,AHR,0.0018326231323438258
1244,IRAK3,0.001784225708741571
1677,NAIP,0.0017478284364041748
490,CLEC12A,0.0017335638089021805
1924,PGD,0.001718167646083749
1405,LMO2,0.0016878375966584448
321,C3AR1,0.0016828076456913339
2386,SAMHD1,0.0016804925683113353
2336,RPS16,0.0016801845041968014
1086,GZMA,0.001669618665470105
1351,LAPTM5,0.0016146546445613716
769,EEF1A1,0.0015498747879782392
1381,LILRB3,0.001519933510403127
1201,IFI30,0.001508838864597656
