,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
NALT1,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005198938992042467,7.42705570291781e-05
LRATD2,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005092838196286498,0.00010395712436215131
ITM2C,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.000498673740053053,0.00012598771445133133
BNC2,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.001061007957559687,0.0,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.001061007957559687,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.001061007957559687,-0.001061007957559687,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,0.0005305039787798366,-0.0005305039787798435,-0.001061007957559687,-0.0005305039787798435,-0.0005305039787798435,-0.0004456233421750687,0.0003246060167804437
HELLS,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,0.0,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,0.0005305039787798366,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.00043501326259947183,0.00022977621037355723
BIRC3,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0005305039787798366,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,0.0,-0.0004137931034482781,0.00024403183023872748
CDR2,-0.0005305039787798435,0.0,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,0.0005305039787798366,-0.0005305039787798435,0.0,0.0,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.001061007957559687,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0004137931034482781,0.00026609944199436586
P2RY10,-0.0005305039787798435,-0.0005305039787798435,0.0,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,0.0005305039787798366,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0005305039787798366,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0003819628647214876,0.0002815172235845437
RAB3IP,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,0.0,0.0,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,0.0,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,0.0005305039787798366,0.0,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.00038196286472148746,0.0002607576812189824
LEF1,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,0.0005305039787798366,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,0.0,0.0,0.0005305039787798366,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,0.0,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.0005305039787798435,-0.00036074270557029386,0.0002894043861429365
