,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
CD3E,0.2657824933687,0.268435013262599,0.26737400530504,0.253580901856764,0.257824933687003,0.270557029177719,0.2657824933687,0.272679045092838,0.264190981432361,0.26737400530504,0.258885941644562,0.26631299734748,0.280636604774536,0.268965517241379,0.261007957559682,0.251458885941645,0.262599469496021,0.258885941644562,0.261007957559682,0.281697612732096,0.263660477453581,0.254111405835544,0.263660477453581,0.26525198938992,0.26737400530504,0.253050397877984,0.261538461538462,0.268435013262599,0.268435013262599,0.268435013262599,0.26684350132626,0.272679045092838,0.262599469496021,0.26631299734748,0.26684350132626,0.255702917771883,0.268965517241379,0.270557029177719,0.26631299734748,0.259416445623342,0.26790450928382,0.278514588859416,0.261007957559682,0.26631299734748,0.272148541114058,0.268435013262599,0.249336870026525,0.268965517241379,0.271087533156499,0.244031830238727,0.264859416445623,0.0074214933152969
NCR1,0.0875331564986737,0.0880636604774536,0.0870026525198939,0.0827586206896552,0.0843501326259947,0.080106100795756,0.0907161803713528,0.0811671087533156,0.0917771883289125,0.0854111405835544,0.0896551724137931,0.0848806366047745,0.086472148541114,0.0875331564986737,0.0816976127320955,0.0949602122015915,0.0843501326259947,0.0938992042440318,0.0885941644562334,0.0870026525198939,0.0891246684350133,0.0822281167108753,0.0827586206896552,0.0875331564986737,0.0854111405835544,0.0981432360742706,0.0816976127320955,0.086472148541114,0.0907161803713528,0.0928381962864721,0.0891246684350133,0.0843501326259947,0.0785145888594165,0.093368700265252,0.0891246684350133,0.0870026525198939,0.0901856763925729,0.0870026525198939,0.0907161803713528,0.0923076923076923,0.080106100795756,0.0907161803713528,0.0848806366047745,0.0928381962864721,0.0811671087533156,0.0822281167108753,0.0875331564986737,0.080106100795756,0.0816976127320955,0.0912466843501326,0.0869814323607427,0.00448992608876652
CD8A,0.0281167108753316,0.0328912466843501,0.0286472148541114,0.0291777188328912,0.0339522546419098,0.0249336870026525,0.0281167108753316,0.0297082228116711,0.0254641909814324,0.0270557029177719,0.0244031830238727,0.0275862068965517,0.0281167108753316,0.0275862068965517,0.0270557029177719,0.0249336870026525,0.03342175066313,0.0297082228116711,0.0254641909814324,0.0254641909814324,0.0302387267904509,0.0286472148541114,0.0281167108753316,0.023342175066313,0.0344827586206896,0.0302387267904509,0.0318302387267905,0.0302387267904509,0.0270557029177719,0.0350132625994695,0.0307692307692308,0.0286472148541114,0.0254641909814324,0.0238726790450928,0.0291777188328912,0.0275862068965517,0.0222811671087533,0.026525198938992,0.0339522546419098,0.0270557029177719,0.0254641909814324,0.0291777188328912,0.0270557029177719,0.0281167108753316,0.0275862068965517,0.0249336870026525,0.0297082228116711,0.0307692307692308,0.0302387267904509,0.0244031830238727,0.0282758620689655,0.00299954804376567
PDE3B,0,0.000530503978779837,0.00212201591511936,0.000530503978779837,0,0,-0.000530503978779844,0.000530503978779837,0,0.000530503978779837,0.000530503978779837,0.000530503978779837,0,0.00106100795755968,0.000530503978779837,0.00159151193633952,0.000530503978779837,0.00159151193633952,0.000530503978779837,0.000530503978779837,0.00159151193633952,0,0.000530503978779837,0.00159151193633952,0.000530503978779837,-0.000530503978779844,0.00106100795755968,0.000530503978779837,0.00212201591511936,0.000530503978779837,0.00159151193633952,0.000530503978779837,0.00106100795755968,0.00212201591511936,0.00106100795755968,0,0.000530503978779837,0.000530503978779837,0.00106100795755968,0.000530503978779837,0.000530503978779837,0.000530503978779837,0.00159151193633952,0.00106100795755968,0.00106100795755968,0,0.00106100795755968,0.000530503978779837,0.00106100795755968,0.000530503978779837,0.000721485411140581,0.000631895852048878
CHST2,0.000530503978779837,-0.000530503978779844,0.00106100795755968,0.00106100795755968,0,0.00159151193633952,0.00159151193633952,0.000530503978779837,0,0.00212201591511936,0.00318302387267904,0.00212201591511936,-0.00106100795755969,0.0026525198938992,0.00159151193633952,0.00159151193633952,-0.000530503978779844,0.000530503978779837,0.00106100795755968,0.00371352785145888,-0.000530503978779844,0.00159151193633952,0.000530503978779837,0,0.00212201591511936,-0.00159151193633952,0.00106100795755968,0.00371352785145888,0.00318302387267904,0.00212201591511936,0.00106100795755968,0.00318302387267904,0.000530503978779837,0.00371352785145888,0.00159151193633952,0.00159151193633952,0.00159151193633952,0.00159151193633952,0.00159151193633952,0.0026525198938992,0.00212201591511936,0.00159151193633952,0.00106100795755968,0.00318302387267904,0,0.00159151193633952,0.0026525198938992,0.00212201591511936,0.00106100795755968,0.0026525198938992,0.00144297082228117,0.00125466936956986
CISH,0,0.000530503978779837,0.00106100795755968,0.000530503978779837,0.000530503978779837,0.000530503978779837,0.000530503978779837,0.00106100795755968,0.000530503978779837,0.000530503978779837,0.000530503978779837,0,0,0.000530503978779837,0.000530503978779837,0,0.000530503978779837,0.000530503978779837,0.00106100795755968,0.000530503978779837,0.000530503978779837,0.000530503978779837,0.000530503978779837,0,0.000530503978779837,0.000530503978779837,0,0.00106100795755968,0,0.000530503978779837,0.000530503978779837,0.00106100795755968,0.000530503978779837,0.000530503978779837,0.000530503978779837,0.000530503978779837,0.000530503978779837,0.000530503978779837,0.000530503978779837,0.000530503978779837,0.000530503978779837,0.000530503978779837,0.00106100795755968,0.000530503978779837,0,0.00106100795755968,0.000530503978779837,0.000530503978779837,0.000530503978779837,0.00106100795755968,0.000530503978779838,0.000303145142857143
RETREG1,0,0,0,0,0,0,0,0,-0.000530503978779844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06100795755969e-05,7.50245951693176e-05
MEF2C,0,0,0,0,0,0,-0.000530503978779844,0,0,0.000530503978779837,0,0,0,-0.000530503978779844,0,0.00106100795755968,0,0,0,0,0,0.00106100795755968,0,0.000530503978779837,0,0,0,0,0.000530503978779837,0,0,0,0.000530503978779837,0.000530503978779837,0.000530503978779837,0.000530503978779837,0,0.000530503978779837,0,0,0,0.000530503978779837,0,0,0,0.000530503978779837,0.00106100795755968,0,0,0,0.000148541114058354,0.000339603749884386
SH2D1B,0.00159151193633952,0.0026525198938992,0.00159151193633952,0.0026525198938992,0.00318302387267904,0.00106100795755968,0.00159151193633952,0.00318302387267904,0.00318302387267904,0.00106100795755968,0,0.00318302387267904,0.00106100795755968,0.00106100795755968,0.00159151193633952,0.000530503978779837,0.00318302387267904,0.0026525198938992,0.00212201591511936,0.00318302387267904,0.00106100795755968,0.0026525198938992,0.00159151193633952,0.00106100795755968,0.00424403183023873,0.00106100795755968,0.00106100795755968,-0.00159151193633952,0.00318302387267904,0.0026525198938992,0.00212201591511936,0.00318302387267904,0.00212201591511936,0.00477453580901856,0.00424403183023873,0.00212201591511936,0.00212201591511936,0.00318302387267904,-0.00106100795755969,0.000530503978779837,0.00371352785145888,-0.00106100795755969,0.00159151193633952,0.00106100795755968,0.000530503978779837,0.00159151193633952,0.0026525198938992,0.00371352785145888,0.00318302387267904,0.00371352785145888,0.00202652519893899,0.00138790328283781
RAMP1,0.00159151193633952,0.000530503978779837,0.000530503978779837,0,0.000530503978779837,0.000530503978779837,0.000530503978779837,0,0.00106100795755968,0.0026525198938992,0.000530503978779837,0.000530503978779837,0.00212201591511936,0.00212201591511936,0.000530503978779837,0.000530503978779837,0.00159151193633952,0.00106100795755968,0.00106100795755968,0,0.00106100795755968,0.00106100795755968,0.00106100795755968,0.000530503978779837,0,0.000530503978779837,0.00106100795755968,0,0.000530503978779837,0,0.00106100795755968,0.00106100795755968,0.000530503978779837,0,0.000530503978779837,0.00159151193633952,0.000530503978779837,0.00159151193633952,0.000530503978779837,0,0.00106100795755968,0.00106100795755968,0.00159151193633952,0.00106100795755968,0.00212201591511936,0.00106100795755968,0.000530503978779837,0.00106100795755968,0.00106100795755968,0.00106100795755968,0.00085941644562334,0.000623937954862868
