,genes,importance
101,CD3E,0.40457914703034703
394,NCR1,0.12980636506268886
108,CD8A,0.026156968487543005
294,IL7R,0.01717884963605953
100,CD3D,0.01374822483170354
265,GZMK,0.012786123989485271
791,TRAC,0.010555802012434
102,CD3G,0.009980355172906732
460,PTGDS,0.00888568524092066
109,CD8B,0.007460721997117929
715,RUNX2,0.005744409299440692
755,SPTSSB,0.005250124938409559
792,TRAT1,0.004933666930618054
81,CAMK4,0.004665465107540754
256,GPR183,0.004535064225148847
107,CD84,0.004460454890772882
430,PDE3B,0.0044188643464766015
296,INPP4B,0.004350834310291999
473,RCAN3,0.004074503093801307
105,CD5,0.0035657722868159465
776,THEMIS,0.0033879132138912586
43,ANO9,0.003260299244257323
790,TRABD2A,0.003254933882151202
784,TNFSF8,0.00316884834893644
97,CD27,0.003105834577794774
410,NSG1,0.00265168019023147
389,NAP1L2,0.002579322764731291
763,STMN3,0.0025704518918498224
428,PCNX2,0.0024613981492535154
326,LINC00649,0.0024439726442902774
753,SOCS3,0.002345802638435144
465,PZP,0.002337913797663867
40,ANK3,0.00230455350191264
727,SESN3,0.00219020327362205
174,CYB561,0.0020450323319159787
441,PLB1,0.002042178914330703
431,PDE4B,0.0019535775976393353
255,GPR171,0.0018916895200770977
173,CXCR3,0.0018046681853462446
733,SIT1,0.0017996718412278622
323,LINC00239,0.0017950852801916447
347,LINC02446,0.0015915514670204018
408,NR3C2,0.0015152784824447195
387,MYC,0.0015117581547869868
312,KLRA1P,0.0015021201190658876
99,CD33,0.001497439268539957
820,WDR86.AS1,0.001480144162084919
361,MAL,0.0014580280886032828
362,MAN1C1,0.0014493835640700464
399,NFE4,0.0014439568110309775
397,NELL2,0.0014254736142291712
311,KIR2DL1,0.0014096331976031816
732,SIRPG,0.0013428122275577407
424,PBX4,0.0013306871092429806
179,DAPK1,0.001324165606508258
86,CCDC141,0.001305215075476438
343,LINC02273,0.0012990661155220296
95,CCR7,0.0012897515807535898
404,NPDC1,0.0012694967663107945
233,FRS3,0.0012663622167045558
2,ABCD2,0.0012604462131770378
0,AASS,0.0012516390770513162
476,RETREG1,0.001227054151725872
90,CCNA2,0.0011980064205902574
1,AATK,0.0011953040988853612
804,TSPAN18,0.0011543333892007467
451,PRDM8,0.0011305798683806801
284,ICOS,0.0010878664917336163
75,C4orf19,0.0010838158462932277
329,LINC00944,0.0010688889273286518
140,CPNE2,0.0010631334118691924
126,CFH,0.0010257805703007584
196,DRC3,0.0010221914380926008
320,LAG3,0.001013530564464344
616,RP11.567M16.6,0.0010089870614414264
302,JAKMIP1,0.0010031368334169877
833,ZDHHC23,0.0009913322740000689
469,RASSF8,0.0009757664430694196
802,TSNARE1,0.0009670458963956691
184,DGKH,0.0009663837797232207
36,ACSM3,0.0009654093637428609
61,BHLHE40.AS1,0.0009578296722045052
785,TNIP3,0.0009525165274453177
177,CYP4F29P,0.0009513837809292752
434,PERP,0.0009464246423711712
789,TPRG1,0.000945735232083305
277,HNRNPA1P34,0.0009357880905768798
564,RP11.326C3.2,0.0009321242666804294
118,CDKN3,0.000929761886390332
219,FAM131A,0.0009102815483210898
98,CD28,0.0008960485517174486
433,PEAR1,0.0008861965367398826
764,STYK1,0.0008807920784513099
3,ABCF2.H2BE1,0.0008799898574319944
443,PLCL1,0.0008675408281203091
47,AQP3,0.0008659741867895269
71,C19orf18,0.0008611098775546063
472,RBPMS2,0.0008538731544132665
