,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
NKG7,-0.0008646491519787164,-0.0007981376787495852,-0.0006651147322913227,-0.000598603259062188,-0.0008646491519787164,-0.000598603259062188,-0.0007981376787495852,-0.00046558031260392554,-0.000598603259062188,-0.00046558031260392554,-0.000598603259062188,-0.00046558031260392554,-0.0006651147322913227,-0.0006651147322913227,-0.00019953441968739716,-0.0008646491519787164,-0.0007316262055204539,-0.0007981376787495852,-0.0011306950448952448,-0.0005320917858330568,-0.0007981376787495852,-0.0007981376787495852,-0.00046558031260392554,-0.000598603259062188,-0.0008646491519787164,-0.0003990688393747943,-0.0003990688393747943,-0.0006651147322913227,-0.0006651147322913227,-0.0007316262055204539,-0.0005320917858330568,-0.0007316262055204539,-0.00046558031260392554,-0.0006651147322913227,-0.0007316262055204539,-0.0008646491519787164,-0.0005320917858330568,-0.0003990688393747943,-0.0007981376787495852,-0.0005320917858330568,-0.0006651147322913227,-0.000598603259062188,-0.0006651147322913227,-0.0003990688393747943,-0.0006651147322913227,-0.0005320917858330568,-0.00019953441968739716,-0.0009311606252078511,-0.0007316262055204539,-0.0005320917858330568,-0.0006385101429996685,0.00018044110364151016
CD247,-0.0006651147322913227,-0.000598603259062188,-0.0006651147322913227,-0.000598603259062188,-0.0007316262055204539,-0.00046558031260392554,-0.0007981376787495852,-0.00046558031260392554,-0.000598603259062188,-0.00046558031260392554,-0.00046558031260392554,-0.0005320917858330568,-0.0003990688393747943,-0.00046558031260392554,-0.0003325573661456596,-0.0006651147322913227,-0.0007316262055204539,-0.00046558031260392554,-0.00046558031260392554,-0.000598603259062188,-0.000598603259062188,-0.0006651147322913227,-0.000598603259062188,-0.0005320917858330568,-0.0006651147322913227,-0.00046558031260392554,-0.0005320917858330568,-0.0003990688393747943,-0.0007316262055204539,-0.000598603259062188,-0.0005320917858330568,-0.0005320917858330568,-0.00046558031260392554,-0.00046558031260392554,-0.0003990688393747943,-0.000598603259062188,-0.0005320917858330568,-0.0003990688393747943,-0.0006651147322913227,-0.0005320917858330568,-0.0006651147322913227,-0.00046558031260392554,-0.000598603259062188,-0.0005320917858330568,-0.000598603259062188,-0.0005320917858330568,-0.0003325573661456596,-0.0005320917858330568,-0.0006651147322913227,-0.0005320917858330568,-0.0005507149983372142,0.00010561720381126297
CST7,-0.0006651147322913227,-0.000598603259062188,-0.0003990688393747943,-0.00046558031260392554,-0.000598603259062188,-0.00046558031260392554,-0.0003990688393747943,-0.0005320917858330568,-0.000598603259062188,-0.00046558031260392554,-0.000598603259062188,-0.0005320917858330568,-0.0005320917858330568,-0.000598603259062188,-0.0003325573661456596,-0.000598603259062188,-0.000598603259062188,-0.000598603259062188,-0.0005320917858330568,-0.0003990688393747943,-0.0003990688393747943,-0.00046558031260392554,-0.0007316262055204539,-0.00013302294645826593,-0.00046558031260392554,-0.0003325573661456596,-0.0002660458929165284,-0.0005320917858330568,-0.0003990688393747943,-0.0003990688393747943,-0.00046558031260392554,-0.0005320917858330568,-0.0003325573661456596,-0.0003990688393747943,-0.0003990688393747943,-0.0005320917858330568,-0.0006651147322913227,-0.0005320917858330568,-0.0003325573661456596,-0.0005320917858330568,-0.00046558031260392554,-0.00046558031260392554,-0.00046558031260392554,-0.00046558031260392554,-0.000598603259062188,-0.0003990688393747943,-0.0003990688393747943,-0.0003325573661456596,-0.0005320917858330568,-0.00046558031260392554,-0.0004788826072497515,0.00011208712701265509
CD7,-0.0003990688393747943,-0.0003990688393747943,-0.0005320917858330568,-0.0003325573661456596,-0.00046558031260392554,-0.00046558031260392554,-0.0005320917858330568,-0.00046558031260392554,-0.0005320917858330568,-0.0003990688393747943,-0.000598603259062188,-0.0002660458929165284,-0.00046558031260392554,-0.0003990688393747943,-0.00019953441968739716,-0.0003990688393747943,-0.00046558031260392554,-0.0005320917858330568,-0.0005320917858330568,-0.00046558031260392554,-0.00046558031260392554,-0.0003325573661456596,-0.0003990688393747943,-0.0003325573661456596,-0.0007981376787495852,-0.00046558031260392554,-0.0005320917858330568,-0.000598603259062188,-0.0005320917858330568,-0.000598603259062188,-0.0003325573661456596,-0.00046558031260392554,-0.000598603259062188,-0.0003325573661456596,-0.00046558031260392554,-0.0003325573661456596,-0.000598603259062188,-0.0002660458929165284,-0.0005320917858330568,-0.00046558031260392554,-0.0006651147322913227,-0.00013302294645826593,-0.000598603259062188,-0.0003325573661456596,-0.000598603259062188,-0.0002660458929165284,-0.0002660458929165284,-0.0006651147322913227,-0.0006651147322913227,-0.0003990688393747943,-0.00045759893581642916,0.0001327832892686961
KLRB1,-0.00046558031260392554,-0.0003990688393747943,-0.00046558031260392554,-0.0003325573661456596,-0.00046558031260392554,-0.0005320917858330568,-0.00046558031260392554,-0.0003990688393747943,-0.0005320917858330568,-0.0005320917858330568,-0.00046558031260392554,-0.0003325573661456596,-0.00046558031260392554,-0.00046558031260392554,-0.0003325573661456596,-0.00046558031260392554,-0.000598603259062188,-0.00046558031260392554,-0.000598603259062188,-0.0005320917858330568,-0.00046558031260392554,-0.0005320917858330568,-0.0003325573661456596,-0.00046558031260392554,-0.0005320917858330568,-0.00013302294645826593,-0.0002660458929165284,-0.0005320917858330568,-0.0005320917858330568,-0.0006651147322913227,-0.0003990688393747943,-0.0003990688393747943,-0.0003990688393747943,-0.0002660458929165284,-0.00046558031260392554,-0.00046558031260392554,-0.000598603259062188,-0.0003990688393747943,-0.0005320917858330568,-0.0007316262055204539,-0.0003325573661456596,-0.00046558031260392554,-0.0005320917858330568,-0.0005320917858330568,-0.0002660458929165284,-0.00046558031260392554,-0.00019953441968739716,-0.000598603259062188,-0.0003990688393747943,-0.0003325573661456596,-0.0004509477884935161,0.000114654668343287
PRF1,-0.0005320917858330568,-0.00046558031260392554,-0.00046558031260392554,-0.00013302294645826593,-0.0003990688393747943,-0.0003325573661456596,-0.0005320917858330568,-0.0003325573661456596,-0.000598603259062188,-0.0003325573661456596,-0.0003325573661456596,-0.00013302294645826593,-0.0002660458929165284,-0.0002660458929165284,-0.0002660458929165284,-0.00046558031260392554,-0.0007316262055204539,-0.00046558031260392554,-0.0005320917858330568,-0.0003325573661456596,-0.0003325573661456596,-0.00046558031260392554,-0.00019953441968739716,-0.0002660458929165284,-0.00046558031260392554,-0.0003990688393747943,-0.0002660458929165284,-0.0003325573661456596,-0.0003990688393747943,-0.0006651147322913227,-0.0002660458929165284,-0.0003325573661456596,-0.00013302294645826593,-0.0002660458929165284,-0.0006651147322913227,-0.0003325573661456596,-0.0002660458929165284,-0.0003325573661456596,-0.00019953441968739716,-0.00046558031260392554,-0.00046558031260392554,-0.0002660458929165284,-0.0003325573661456596,-0.00019953441968739716,-0.0005320917858330568,-0.0003990688393747943,-6.65114732291347e-05,-0.0002660458929165284,-0.0005320917858330568,-0.0003325573661456596,-0.0003671433322248095,0.00014403381638724763
IL2RB,-0.0003325573661456596,-0.0003990688393747943,-0.00046558031260392554,-0.0003990688393747943,-0.0003990688393747943,-0.0003325573661456596,-0.0003990688393747943,-0.0003325573661456596,-0.0003325573661456596,-0.0002660458929165284,-0.0002660458929165284,-0.0003325573661456596,-0.0003990688393747943,-0.0003990688393747943,-0.00019953441968739716,-0.0003990688393747943,-0.0003990688393747943,-0.0003990688393747943,-0.0003325573661456596,-0.0002660458929165284,-0.0003990688393747943,-0.0003990688393747943,-0.0003325573661456596,-0.0003325573661456596,-0.0003990688393747943,-0.0003325573661456596,-0.0003325573661456596,-0.0003990688393747943,-0.00046558031260392554,-0.0003325573661456596,-0.0003990688393747943,-0.00046558031260392554,-0.00019953441968739716,-0.0003990688393747943,-0.0003325573661456596,-0.0003990688393747943,-0.0002660458929165284,-0.0003325573661456596,-0.0003325573661456596,-0.0003990688393747943,-0.0003990688393747943,-0.0002660458929165284,-0.0003990688393747943,-0.00046558031260392554,-0.0003990688393747943,-0.0003990688393747943,-0.0002660458929165284,-0.00046558031260392554,-0.00046558031260392554,-0.0003325573661456596,-0.00036315264383106186,6.545215616969828e-05
AREG,-0.0003990688393747943,-0.00046558031260392554,-0.0003325573661456596,-0.00019953441968739716,-0.0005320917858330568,-0.0003325573661456596,-0.0005320917858330568,-0.00019953441968739716,-0.0003990688393747943,-0.00019953441968739716,-0.0002660458929165284,-0.00013302294645826593,-0.000598603259062188,-0.00046558031260392554,-0.0003990688393747943,-0.0005320917858330568,-0.0003990688393747943,-0.0003325573661456596,-0.00046558031260392554,-0.00019953441968739716,-0.00046558031260392554,-0.0002660458929165284,-0.0002660458929165284,-0.00013302294645826593,-0.0003325573661456596,-0.0003990688393747943,-0.0005320917858330568,-0.0002660458929165284,-0.0003990688393747943,-0.0003990688393747943,-0.0003990688393747943,-0.00019953441968739716,-0.0002660458929165284,-0.0003990688393747943,-0.0003325573661456596,-0.0003990688393747943,-0.0005320917858330568,-0.00019953441968739716,-0.0003990688393747943,-0.0003325573661456596,-0.00019953441968739716,-0.0003325573661456596,-0.0003990688393747943,-0.00046558031260392554,-0.0005320917858330568,-0.00046558031260392554,-0.00013302294645826593,-0.0003990688393747943,-0.00046558031260392554,-0.0002660458929165284,-0.000359161955437314,0.00012045740123894138
GNLY,-0.000598603259062188,-0.0002660458929165284,-0.0005320917858330568,-0.00019953441968739716,-0.0003325573661456596,-0.00019953441968739716,-0.00046558031260392554,-6.65114732291347e-05,-0.00046558031260392554,-0.00019953441968739716,-0.0003325573661456596,-0.00013302294645826593,-0.0003990688393747943,-0.00019953441968739716,-6.65114732291347e-05,-0.0003325573661456596,-0.0003325573661456596,-0.0003990688393747943,-0.0007316262055204539,-0.00046558031260392554,-0.0005320917858330568,-0.0007316262055204539,-0.0002660458929165284,-0.0002660458929165284,-0.0003325573661456596,-0.0002660458929165284,-0.0003325573661456596,-0.0005320917858330568,-0.0003325573661456596,-0.0003990688393747943,-0.00013302294645826593,-0.0003990688393747943,-0.0002660458929165284,-0.0005320917858330568,-0.000598603259062188,-0.0003990688393747943,-0.0007316262055204539,0.0,-0.0003990688393747943,-0.00019953441968739716,-0.0007981376787495852,0.0,-0.0002660458929165284,-6.65114732291347e-05,-0.00019953441968739716,-0.0002660458929165284,-0.00013302294645826593,-0.0005320917858330568,-0.0003990688393747943,-0.0003990688393747943,-0.0003485201197206528,0.00018978976337358754
PTGDR,-0.0003325573661456596,-0.0003325573661456596,-0.00019953441968739716,-0.00013302294645826593,-0.0002660458929165284,-0.0002660458929165284,-0.0002660458929165284,-0.0002660458929165284,-0.0003990688393747943,-0.00013302294645826593,-0.0002660458929165284,-0.0002660458929165284,-0.0002660458929165284,-0.0003325573661456596,-0.00013302294645826593,-0.0003325573661456596,-0.0003990688393747943,-0.0003325573661456596,-0.0003325573661456596,-0.0002660458929165284,-0.0003325573661456596,-0.0003325573661456596,-0.0003325573661456596,-0.0003325573661456596,-0.0002660458929165284,-0.0003325573661456596,-0.0003325573661456596,-0.00019953441968739716,-0.0002660458929165284,-0.0002660458929165284,-0.0003325573661456596,-0.0003325573661456596,-0.0003325573661456596,-0.0002660458929165284,-0.0003325573661456596,-0.0003325573661456596,-0.0003990688393747943,-0.00019953441968739716,-0.0003325573661456596,-0.0003325573661456596,-0.0003325573661456596,-0.0003325573661456596,-0.0003325573661456596,-0.0003990688393747943,-0.0002660458929165284,-0.0003325573661456596,-0.0002660458929165284,-0.0003990688393747943,-0.0003325573661456596,-0.0003325573661456596,-0.000300631858995677,6.41275466215838e-05
