,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
CYBA,-0.00020214271275520446,-0.0004042854255104089,-0.00020214271275520446,-0.0006064281382656134,0.0,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0012128562765312267,-0.0010107135637760223,-0.0006064281382656134,-0.0004042854255104089,-0.0008085708510208178,-0.0010107135637760223,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0004042854255104089,-0.00020214271275520446,-0.0010107135637760223,-0.00020214271275520446,-0.0006064281382656134,-0.00020214271275520446,-0.0004042854255104089,0.00020214271275520446,-0.00020214271275520446,-0.0008085708510208178,-0.0006064281382656134,-0.0008085708510208178,-0.00020214271275520446,-0.0010107135637760223,-0.0004042854255104089,-0.0008085708510208178,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0008085708510208178,-0.0006064281382656134,-0.0004042854255104089,-0.0010107135637760223,-0.00020214271275520446,-0.0006064281382656134,-0.00020214271275520446,0.0,-0.0012128562765312267,-0.00020214271275520446,-0.0005579138872043643,0.0003197690710860743
APOL6,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0008085708510208178,-0.0004042854255104089,-0.0008085708510208178,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0005498281786941561,0.00011463470288059653
SELENOT,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.00020214271275520446,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0005215281989084275,0.00011499060160362111
METRNL,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0008085708510208178,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.00020214271275520446,0.0,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,0.0,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0008085708510208178,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00046088538508186615,0.00016191618673540095
CALM1,-0.0008085708510208178,-0.0004042854255104089,-0.00020214271275520446,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,0.0,-0.0004042854255104089,-0.00020214271275520446,-0.0008085708510208178,0.0,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.00020214271275520446,0.0,-0.0004042854255104089,-0.00020214271275520446,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,0.0,-0.0008085708510208178,-0.0010107135637760223,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,0.0,-0.0006064281382656134,-0.0008085708510208178,-0.00020214271275520446,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,0.0,-0.0008085708510208178,-0.0004042854255104089,-0.0008085708510208178,-0.0006064281382656134,0.0,-0.0006064281382656134,-0.00020214271275520446,-0.00020214271275520446,-0.0004406711138063457,0.0002702671504080567
PTGDS,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0003961997170002007,9.003863938273704e-05
NCAM1,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,0.0,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0003719425914695762,8.441727518827987e-05
TMIGD2,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.00020214271275520446,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,0.0,-0.0006064281382656134,0.0,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.00020214271275520446,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.00020214271275520446,-0.0004042854255104089,-0.0003719425914695762,0.00013012716344799698
RAB29,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.00020214271275520446,-0.0004042854255104089,-0.0003719425914695762,7.410674259075519e-05
ATP2B4,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.000363856882959368,8.085708510208178e-05
