,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
RPS3,-0.0004042854255104089,-0.001414998989286445,-0.0006064281382656134,-0.0010107135637760362,-0.00020214271275520446,-0.0016171417020416495,-0.0020214271275520584,-0.0008085708510208178,-0.001414998989286445,-0.0010107135637760362,-0.0016171417020416495,0.0,-0.0016171417020416495,-0.0010107135637760362,-0.0006064281382656134,-0.0012128562765312406,-0.0016171417020416495,-0.001414998989286445,-0.0006064281382656134,-0.0012128562765312406,-0.001414998989286445,-0.001819284414796854,-0.0004042854255104089,-0.0008085708510208178,-0.0012128562765312406,-0.0010107135637760362,-0.0012128562765312406,-0.0012128562765312406,-0.001414998989286445,-0.001414998989286445,-0.001819284414796854,-0.0012128562765312406,-0.001819284414796854,-0.0006064281382656134,-0.001819284414796854,-0.0010107135637760362,-0.0016171417020416495,-0.0006064281382656134,-0.002223569840307263,-0.001819284414796854,-0.0008085708510208178,-0.001414998989286445,-0.001819284414796854,-0.0016171417020416495,-0.002627855265817672,-0.001819284414796854,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.001208813422276132,0.0005550501732118704
RPL14,-0.0006064281382656134,-0.0010107135637760362,-0.0006064281382656134,-0.0008085708510208178,0.0004042854255104089,-0.001414998989286445,-0.0008085708510208178,-0.0008085708510208178,-0.0008085708510208178,-0.0008085708510208178,-0.0006064281382656134,0.00020214271275520446,-0.0008085708510208178,-0.0010107135637760362,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0004042854255104089,-0.0008085708510208178,-0.001414998989286445,-0.0004042854255104089,-0.0008085708510208178,-0.0008085708510208178,-0.0008085708510208178,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0004042854255104089,-0.0004042854255104089,-0.0008085708510208178,-0.0012128562765312406,-0.0010107135637760362,-0.0012128562765312406,-0.0004042854255104089,-0.0010107135637760362,-0.0012128562765312406,-0.0008085708510208178,-0.0010107135637760362,-0.0010107135637760362,-0.0010107135637760362,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0010107135637760362,-0.0012128562765312406,-0.0010107135637760362,-0.0006064281382656134,0.0,-0.0012128562765312406,-0.0004042854255104089,-0.000751970891449365,0.00035942770601808086
RUNX3,-0.0008085708510208178,-0.0012128562765312406,0.0,-0.0016171417020416495,0.0,0.0,-0.0008085708510208178,-0.0008085708510208178,-0.0006064281382656134,-0.0008085708510208178,0.0,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.00020214271275520446,-0.0012128562765312406,-0.0010107135637760362,-0.0004042854255104089,-0.0006064281382656134,-0.00020214271275520446,-0.0004042854255104089,-0.0006064281382656134,-0.00020214271275520446,-0.0012128562765312406,-0.0008085708510208178,-0.0008085708510208178,-0.0012128562765312406,-0.0006064281382656134,-0.0008085708510208178,-0.0010107135637760362,-0.0010107135637760362,-0.0006064281382656134,-0.0006064281382656134,-0.00020214271275520446,-0.0008085708510208178,-0.0006064281382656134,-0.0010107135637760362,-0.0004042854255104089,-0.0008085708510208178,-0.0008085708510208178,-0.0010107135637760362,-0.0006064281382656134,-0.0012128562765312406,-0.0008085708510208178,-0.0006064281382656134,-0.0010107135637760362,-0.0006064281382656134,-0.0010107135637760362,-0.0006751566606023865,0.00036745519894528737
RPL23A,-0.00020214271275520446,-0.0008085708510208178,-0.0010107135637760362,-0.0006064281382656134,-0.00020214271275520446,-0.0006064281382656134,-0.0012128562765312406,-0.0006064281382656134,-0.0008085708510208178,-0.0004042854255104089,-0.0010107135637760362,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0010107135637760362,-0.0006064281382656134,-0.0008085708510208178,-0.0004042854255104089,-0.0008085708510208178,-0.0012128562765312406,-0.0006064281382656134,-0.00020214271275520446,-0.0010107135637760362,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0004042854255104089,-0.0008085708510208178,-0.0004042854255104089,-0.0004042854255104089,-0.0010107135637760362,-0.0008085708510208178,-0.001414998989286445,-0.0008085708510208178,-0.0012128562765312406,-0.0008085708510208178,-0.0006064281382656134,-0.0008085708510208178,-0.00020214271275520446,-0.0004042854255104089,-0.0006064281382656134,-0.00020214271275520446,-0.0006064281382656134,-0.0008085708510208178,-0.0010107135637760362,-0.0004042854255104089,-0.00020214271275520446,-0.0006064281382656134,0.0,-0.0010107135637760362,-0.0006549423893268655,0.00031976907108607856
IL2RB,-0.0010107135637760362,-0.0010107135637760362,-0.0006064281382656134,-0.0010107135637760362,-0.00020214271275520446,-0.0006064281382656134,-0.0004042854255104089,-0.0008085708510208178,-0.0006064281382656134,-0.0006064281382656134,-0.00020214271275520446,-0.0006064281382656134,-0.001414998989286445,-0.0006064281382656134,-0.0004042854255104089,-0.0008085708510208178,-0.0006064281382656134,-0.0010107135637760362,-0.0008085708510208178,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0008085708510208178,-0.0004042854255104089,-0.0010107135637760362,-0.0010107135637760362,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.00020214271275520446,-0.0006064281382656134,-0.0008085708510208178,-0.0012128562765312406,-0.0008085708510208178,-0.00020214271275520446,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0010107135637760362,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0010107135637760362,-0.0004042854255104089,-0.0006347281180513447,0.00028302867391449105
EVL,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0008085708510208178,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.00020214271275520446,-0.0010107135637760362,-0.0006064281382656134,-0.0004042854255104089,-0.0008085708510208178,-0.0008085708510208178,-0.0008085708510208178,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0008085708510208178,-0.0004042854255104089,-0.00020214271275520446,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.00062259955528603,0.00015574174476861322
MAP3K8,-0.0006064281382656134,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0008085708510208178,-0.0006064281382656134,-0.0008085708510208178,-0.0004042854255104089,-0.0010107135637760362,-0.0008085708510208178,0.0,-0.0006064281382656134,-0.0004042854255104089,-0.0010107135637760362,-0.00020214271275520446,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0008085708510208178,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0008085708510208178,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0008085708510208178,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0004042854255104089,-0.0005740853042247812,0.00020359293813647383
RPL6,-0.00020214271275520446,0.0,-0.0004042854255104089,-0.0008085708510208178,-0.0004042854255104089,-0.0006064281382656134,-0.0010107135637760362,-0.00020214271275520446,-0.001414998989286445,-0.0008085708510208178,-0.0006064281382656134,0.0,-0.0008085708510208178,-0.0008085708510208178,-0.00020214271275520446,-0.0012128562765312406,-0.0008085708510208178,-0.0004042854255104089,-0.0006064281382656134,-0.0012128562765312406,-0.0006064281382656134,-0.0008085708510208178,-0.00020214271275520446,-0.0006064281382656134,-0.0008085708510208178,0.0,-0.0012128562765312406,-0.0004042854255104089,-0.00020214271275520446,-0.0010107135637760362,-0.0008085708510208178,-0.0008085708510208178,0.00020214271275520446,-0.00020214271275520446,-0.0006064281382656134,-0.0006064281382656134,-0.0010107135637760362,0.00020214271275520446,-0.0008085708510208178,-0.0004042854255104089,-0.0006064281382656134,-0.00020214271275520446,-0.0008085708510208178,-0.00020214271275520446,-0.0006064281382656134,-0.00020214271275520446,-0.0006064281382656134,-0.0006064281382656134,-0.0010107135637760362,-0.00020214271275520446,-0.0005659995957145746,0.00037491887994727126
SSR2,-0.0006064281382656134,-0.00020214271275520446,-0.0010107135637760362,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.00020214271275520446,-0.00020214271275520446,-0.0004042854255104089,-0.0006064281382656134,-0.0008085708510208178,-0.0008085708510208178,-0.0006064281382656134,0.0,-0.0004042854255104089,-0.0008085708510208178,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0010107135637760362,-0.0008085708510208178,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0008085708510208178,-0.0008085708510208178,-0.0004042854255104089,-0.0004042854255104089,0.0,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0006064281382656134,-0.0005174853446533239,0.00022567674529133433
MBP,-0.0008085708510208178,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0006064281382656134,-0.0004042854255104089,-0.00020214271275520446,-0.0008085708510208178,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,0.0,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.00020214271275520446,-0.00020214271275520446,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0008085708510208178,-0.0006064281382656134,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0004042854255104089,-0.0006064281382656134,-0.0008085708510208178,-0.0004042854255104089,-0.00020214271275520446,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0004042854255104089,-0.0006064281382656134,-0.0008085708510208178,-0.0004810996563573866,0.00017571306902850741
