,genes,importance
726,GZMB,0.02207482791824986
1336,PRF1,0.02130804324522685
687,GNLY,0.019057767809036355
1153,NKG7,0.01764583632936451
1122,NCR1,0.017338320901512997
725,GZMA,0.015460985305568413
348,CLIC3,0.015141627570814529
912,KLRD1,0.01503105805684115
287,CD7,0.014743811008272226
276,CD247,0.014214384181284108
913,KLRF1,0.013707991265117162
784,HOPX,0.013477350355303638
907,KLRB1,0.012707424903266382
620,FGFBP2,0.012528644868028531
414,CTSW,0.012294748528245034
116,ARL4C,0.011401574954725498
728,GZMM,0.010663234540471677
1736,SPON2,0.010312983835723023
1571,RUNX3,0.009842373303408666
826,IL2RB,0.009527935300085822
396,CST7,0.008996119431707026
613,FCGR3A,0.008018060966049472
1399,PYHIN1,0.007803451740430926
253,CCL5,0.007672680407220203
252,CCL4,0.007408415419862328
1579,SAMD3,0.007116456422208449
353,CMC1,0.007102227393803572
6,ABHD17A,0.006511584620518615
519,DUSP2,0.0060829256822785924
90,AREG,0.005916196232823623
1952,TXK,0.00590539997583197
310,CEP78,0.00540604309253885
1102,MYOM2,0.005220517202776897
1380,PTGDR,0.005183939860611992
1883,TMIGD2,0.004944547366413391
1024,MATK,0.004691343215083995
1675,SLFN5,0.004620477175268805
580,ETS1,0.004532397367099553
688,GNPTAB,0.00444854567305675
204,C1orf21,0.004021140244519855
744,HCST,0.0038937949655019413
1123,NCR3,0.003797992969189899
702,GPATCH8,0.0034167811862360047
215,CALM1,0.0032654105940925693
32,ADGRG1,0.0032381438696832956
1225,PCED1B.AS1,0.003176923745016219
612,FCER1G,0.0031013779880505223
1802,SYNE1,0.0030284293042524986
582,EVL,0.0030240366920640115
286,CD69,0.0030205548891325345
1438,RBM39,0.00291870603761378
676,GK5,0.0028983824339014626
484,DIP2A,0.0027143572471719146
1808,SYTL3,0.0026911239851010503
1948,TTC38,0.0026817931684162974
647,FYN,0.002574361375140203
2038,ZAP70,0.002547703606409755
1092,MYBL1,0.0025365787274269787
1389,PTPN4,0.002515309043399741
1575,S1PR5,0.0024680514493040494
1633,SH2D1B,0.0024359478417836874
270,CD160,0.0024194480089450385
1556,RPS3,0.0023946238372184892
1651,SKAP1,0.002341375458797717
1614,SEPTIN7,0.0023187929386684868
1324,PPP2R5C,0.0023094484753617066
712,GSAP,0.002303036205095736
734,H3.3B,0.002297862779284156
1803,SYNE2,0.002267008421871293
190,BTG1,0.0022117313434858307
1279,PLAC8,0.002135324893643614
1554,RPS27,0.002092332120166776
1954,TYROBP,0.002075217828205353
532,EEF1A1,0.0020360387463390704
1278,PLAAT4,0.002018121194385498
1347,PRMT2,0.0019897888726793525
534,EFHD2,0.001955180895473661
1027,MBP,0.0019384084901473554
762,HLA.E,0.00192619361654192
84,APOBEC3G,0.0019087670750477762
1471,RNF125,0.0019033811400863726
1006,MALAT1,0.001872532035755634
759,HLA.A,0.001841025375108952
1219,PARP8,0.0017552272246894667
1860,TLE5,0.0016517945896348464
334,CHST2,0.001647647370552017
230,CBLB,0.0016233843179395424
1555,RPS27A,0.0016100727978781732
1516,RP11.489E7.4,0.0016069062563941997
810,IFITM1,0.0015911318015015606
867,JAK1,0.001578866522406955
1342,PRKCH,0.0015671963319205643
846,IRF1,0.0015478004018543681
250,CCL3,0.0015435615035446612
997,LY6E,0.0015361382365409134
763,HLA.F,0.0014740917814587797
201,C12orf75,0.0014723405347291676
937,LCK,0.001470324854524207
462,DDX5,0.0014495746757882551
1356,PRSS23,0.001437666387613927
1559,RPSA,0.0014352717456671026
871,JUN,0.001432088504090106
1545,RPL10A,0.0014138363622685892
426,CYBA,0.0014106536873492183
1544,RPL10,0.0013702745839351935
998,LYAR,0.0013644210044492639
816,IGFBP7,0.0013576686499290618
515,DTHD1,0.0013248495194804013
307,CEMIP2,0.001309409313192825
173,BIN2,0.0012851135038284914
1826,TBX21,0.0012636315465597433
1015,MAPK1,0.0012543043783829848
1317,PPP1R15A,0.0012193550985355119
1043,METRNL,0.0011897300440553951
1953,TXNIP,0.0011854685969288604
706,GPR65,0.0011515574661487282
53,AKR1C3,0.0011440408728826726
1775,STAT4,0.001132124578155798
828,IL32,0.0011282269190215758
1549,RPL3,0.001102288177118862
971,LITAF,0.001092283249343937
2033,YPEL1,0.0010866901588250939
731,H1.4,0.0010466377810436007
1002,MACF1,0.001038740920002363
1547,RPL14,0.0010337298396240102
717,GSTP1,0.0010200676795716008
1842,TGFBR3,0.0010199965575531818
1558,RPS7,0.0009515598094735185
1481,RNF213,0.0009419783740497761
421,CX3CR1,0.0009389640117651455
1338,PRKACB,0.0009264618139303126
1081,MSN,0.0009182620270159172
860,ITGB2,0.0009096725886619954
1425,RASSF1,0.0009017601572366772
616,FCRL6,0.0008957883645118929
981,LPCAT1,0.000880981816059036
1745,SRGN,0.0008667124712637746
1548,RPL23A,0.0008661788185275446
1550,RPL6,0.0008544019981906459
1913,TRBC1,0.0008543158313904748
1254,PFN1,0.0008534724307304376
1807,SYTL2,0.0008489022594503457
1793,SUN2,0.0008477566010400983
273,CD2,0.0008292976217673958
685,GNG2,0.0008265380142721847
805,IER2,0.0008233720491424499
422,CXCR4,0.0008145740542033229
119,ARPC2,0.0008112621434555816
1332,PRDM1,0.0008083243792366488
467,DENND2D,0.0008052616506639716
855,ITGAL,0.0007973642093049457
289,CD96,0.0007963678749522558
1417,RAP1B,0.0007935345465859316
758,HIPK2,0.0007694532877355307
827,IL2RG,0.000766037113902635
1031,MCTP2,0.000761881994085861
1385,PTPN12,0.0007573668412646363
1992,UTRN,0.0007493615012413864
1836,TFDP2,0.000744439111528151
908,KLRC1,0.0007381550683780032
730,H1.3,0.0007325851992388382
1350,PRPF4B,0.000716401307993646
285,CD63,0.0007083510155822637
2056,ZEB2,0.0007006216080813206
52,AKNA,0.0006994536193129552
288,CD81,0.0006954005824150467
1551,RPL7A,0.0006947334218163236
2037,YWHAZ,0.0006899632556505481
1221,PAXX,0.000686360568989593
