,genes,importance
3,GNLY,0.04122649651623653
2,NKG7,0.03366885915187298
4,PRF1,0.03312162555660719
27,GZMB,0.03200396023415314
12,GZMA,0.02849708727383185
0,NCR1,0.027913400940361224
346,CD7,0.025046780389206186
17,ARL4C,0.020635240895113937
5,SPON2,0.020359784612606516
278,HOPX,0.019967164041349007
62,CD247,0.01956467694066127
47,KLRB1,0.0190879959972559
341,IL2RB,0.0190751851362279
275,GZMM,0.01867814787756062
18,CST7,0.016053475798470027
390,SAMD3,0.014348872572294917
327,RUNX3,0.01271249328761264
46,DUSP2,0.012657556897809933
19,PYHIN1,0.010897959230679828
312,CCL5,0.009848382929012054
9,CMC1,0.009646056770791488
237,ADGRG1,0.008858125501022492
307,SYNE2,0.007791783768060749
49,ABHD17A,0.0076276501902974095
254,SLFN5,0.006945941884346702
249,EVL,0.005703365165861633
11,SH2D1B,0.005661197095527021
1,RPS3,0.005643142677043144
300,MYBL1,0.005532523044662723
16,MYOM2,0.005085878775355485
15,CD69,0.00507581445525554
286,PCED1B.AS1,0.004762349413170339
146,S1PR5,0.004747655431822321
10,H3.3B,0.0045923555737691635
8,EEF1A1,0.004538750567207424
363,GNPTAB,0.00423766033543421
7,RPS27,0.004179949112597148
74,NCR3,0.004009034665385213
402,JAK1,0.003988735888736041
222,PTPN4,0.00379241425108084
228,CD160,0.0037363694541990376
152,RNF125,0.0036725102918381625
35,ZAP70,0.003628960709582117
319,PLAAT4,0.003583098852313035
383,CCL3,0.003474635102027437
418,PRKCH,0.003393380339250327
50,RPS27A,0.003329290607844677
304,IRF1,0.003167164740197345
351,MALAT1,0.003008693021190113
302,CEMIP2,0.0030027181624868184
13,RPL10,0.002922899595141474
250,IL32,0.002859514084598371
262,MACF1,0.002834444847918618
345,RPL23A,0.0026954326694128
353,PPP2R5C,0.0026124192522205885
45,BTG1,0.0026081540137044205
77,TXNIP,0.002547406484513538
29,H1.4,0.002546601959638723
256,RPL6,0.0025370624572228994
54,JUN,0.002517934075134864
425,LY6E,0.002442287276026539
208,DTHD1,0.0024225382148945537
42,GPR65,0.002392784751315522
39,RPL14,0.0023145530963199434
348,GNG2,0.0022773153879541486
61,CD2,0.002191065393461083
21,DDX5,0.0021827606946910817
218,ID2,0.002145913903895648
33,RPS7,0.0021394779301014983
342,ATM,0.0020942163464328666
298,PARP8,0.0020936962723968173
343,ITGB2,0.002042189013467816
51,MBP,0.0020362675036472784
362,LITAF,0.0019483077688770502
94,IER2,0.0019113401989645006
86,LCK,0.0018836815580376251
6,RPL7A,0.0017785672666339393
285,SUN2,0.0017094154845745731
65,ARPC2,0.001681174342342926
382,NCL,0.001640007777304106
52,NOP53,0.0016082536430095952
73,DOK2,0.0015773539724465628
281,PRKACB,0.0015698819533906184
357,PTMA,0.001540157482848135
467,PRPF4B,0.001523388977495269
118,PIK3R1,0.0015046231728054907
376,LCP1,0.0014975668977297006
257,AKNA,0.0014935342043339783
182,KLRC1,0.0014434976919854173
330,HLA.B,0.0014112873373887758
524,STAT4,0.0013875353143800156
28,NPM1,0.0013746552495459126
161,ARHGAP9,0.0013373139551078504
386,ARHGDIB,0.001328285905443241
564,BTN3A2,0.0013246439063720142
164,CORO1A,0.0013238285716118269
32,STK4,0.0013214684672860804
337,TLN1,0.00131927000282481
264,DUSP1,0.0013164143285838885
82,SPN,0.0012861315867480315
96,NCALD,0.0012805710915000735
124,TRBC2,0.0012650007368531248
297,DDX3X,0.0012632781383094423
317,IQGAP1,0.001259275270922441
108,GFOD1,0.0012316148435550748
186,TRDC,0.0012228932603576069
421,EDF1,0.0012117099054095944
38,MCTP2,0.001197526473661006
229,ACTN4,0.0011934825279923589
130,MTATP6P1,0.0011932817165623113
14,HNRNPA1,0.0011913086041667814
471,CDC42SE1,0.0011851689412531073
301,CCND3,0.0011847876525639773
175,CD47,0.0011778278374772405
55,CCNL1,0.0011769440453772001
292,PCSK7,0.001164200910278578
336,HNRNPA3,0.0011637447196555938
326,OXNAD1,0.0011620621746734163
287,BHLHE40,0.001161752888751426
34,BZW1,0.0011570454992691625
314,HNRNPU,0.0011514097473601062
426,NDUFB7,0.0011481076387169767
315,OSTF1,0.0011436997698602023
279,MAP3K8,0.001141586636989894
489,LPCAT1,0.0011389337995108774
316,MYL12A,0.0011259040872542098
344,TMA7,0.0011195296306214435
20,TBC1D10C,0.0011120747069501276
318,TAF7,0.001109284060308261
414,SUMO2,0.0010923240758111655
122,HNRNPDL,0.001091510942822624
78,SRRM2,0.0010846141698136894
325,C12orf75,0.001080627606222409
361,DDX17,0.0010775540718005686
310,CAMK4,0.0010732504993586306
88,CYTH1,0.0010727823652094367
115,ITGAL,0.001069906657752877
189,HINT1,0.001069320133959728
205,SLC38A1,0.0010617531507943452
356,SNRPD2,0.0010614754536003373
220,SRSF7,0.0010606397173118242
290,PNISR,0.0010580829931142596
269,PPP1CA,0.0010567958159423024
328,SRRM1,0.0010556924757120353
40,EIF4A2,0.0010485932684151814
87,BCLAF1,0.00103699516305356
123,N4BP2L2,0.0010286280925980518
406,CARD16,0.001022483447324565
415,TGOLN2,0.0010112496342761126
384,SUB1,0.0010090892869920878
305,ANKRD11,0.001007651994843298
352,ARL6IP5,0.0009995985044859489
282,SRSF11,0.0009937715728304032
324,TRA2B,0.0009870450384881428
207,SIGIRR,0.000983002934192973
177,SFPQ,0.0009808864930889066
59,SP100,0.0009807418665615938
373,TRAPPC10,0.0009784065958368317
338,YBX3,0.0009736594267825787
36,ZRANB2,0.0009654019511793949
340,TRIR,0.0009651995646617929
322,ATRX,0.0009627403531203898
334,HSPA5,0.0009566674920338298
41,SSR2,0.0009552530568654039
365,STK17A,0.0009487278947267189
291,PSME1,0.000940484484830263
30,DDX24,0.0009390478612626051
266,KLF13,0.0009307937441589254
374,CD164,0.0009307285264215519
102,SLFN13,0.0009191855627832728
435,ITGAM,0.0009191762636478378
104,DNAJC1,0.0009174656297426528
368,AKAP9,0.0009149207273803455
473,STK10,0.0009119109871750817
