,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
IGHM,-0.000465580312603924,-0.000266045892916528,-0.000399068839374793,-0.00033255736614566,-0.000465580312603924,-0.00033255736614566,-0.000399068839374793,-0.00033255736614566,-0.000465580312603924,-0.00033255736614566,-0.000465580312603924,-0.000399068839374793,-0.000399068839374793,-0.000399068839374793,-0.000399068839374793,-0.000532091785833056,-0.000399068839374793,-0.000465580312603924,-0.000266045892916528,-0.000399068839374793,-0.00033255736614566,-0.000465580312603924,-0.00033255736614566,-0.000399068839374793,-0.00033255736614566,-0.000465580312603924,-0.00033255736614566,-0.000465580312603924,-0.000399068839374793,-0.000399068839374793,-0.000399068839374793,-0.000399068839374793,-0.000532091785833056,-0.000399068839374793,-0.000465580312603924,-0.000266045892916528,-0.000399068839374793,-0.00033255736614566,-0.000465580312603924,-0.00033255736614566,-0.000399068839374793,-0.00033255736614566,-0.000465580312603924,-0.00033255736614566,-0.000465580312603924,-0.000399068839374793,-0.000399068839374793,-0.000399068839374793,-0.000399068839374793,-0.000532091785833056,-0.000399068839374792,6.58292862394934e-05
CD79A,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.000266045892916528,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.000266045892916528,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.000266045892916528,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.000266045892916528,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.000266045892916528,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.000266045892916528,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.00033255736614566,-0.000324575989358165,2.18331042673306e-05
IGHD,-0.00033255736614566,-0.000199534419687396,-0.000266045892916528,-0.000199534419687396,-0.000399068839374793,-0.00033255736614566,-0.000399068839374793,-0.000133022946458264,-0.000399068839374793,-0.000199534419687396,-0.000399068839374793,-0.000465580312603924,-0.00033255736614566,-0.000199534419687396,-0.00033255736614566,-0.000399068839374793,-0.000399068839374793,-0.00033255736614566,-0.000199534419687396,-0.000266045892916528,-0.000199534419687396,-0.000399068839374793,-0.00033255736614566,-0.000399068839374793,-0.000133022946458264,-0.000399068839374793,-0.000199534419687396,-0.000399068839374793,-0.000465580312603924,-0.00033255736614566,-0.000199534419687396,-0.00033255736614566,-0.000399068839374793,-0.000399068839374793,-0.00033255736614566,-0.000199534419687396,-0.000266045892916528,-0.000199534419687396,-0.000399068839374793,-0.00033255736614566,-0.000399068839374793,-0.000133022946458264,-0.000399068839374793,-0.000199534419687396,-0.000399068839374793,-0.000465580312603924,-0.00033255736614566,-0.000199534419687396,-0.00033255736614566,-0.000399068839374793,-0.000315264383106086,9.67208983272595e-05
SRGN,-0.000133022946458264,-0.000199534419687396,-0.000266045892916528,-0.000199534419687396,-0.000266045892916528,-0.000199534419687396,-0.000199534419687396,-0.000266045892916528,-0.000199534419687396,-0.000133022946458264,-0.000266045892916528,-6.65114732291321e-05,-0.000133022946458264,-0.000199534419687396,-0.000199534419687396,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000199534419687396,-0.000266045892916528,-0.000199534419687396,-0.000266045892916528,-0.000199534419687396,-0.000199534419687396,-0.000266045892916528,-0.000199534419687396,-0.000133022946458264,-0.000266045892916528,-6.65114732291321e-05,-0.000133022946458264,-0.000199534419687396,-0.000199534419687396,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000199534419687396,-0.000266045892916528,-0.000199534419687396,-0.000266045892916528,-0.000199534419687396,-0.000199534419687396,-0.000266045892916528,-0.000199534419687396,-0.000133022946458264,-0.000266045892916528,-6.65114732291321e-05,-0.000133022946458264,-0.000199534419687396,-0.000199534419687396,-0.000133022946458264,-0.000188892583970735,5.75771102001734e-05
GABPB1-AS1,-0.000133022946458264,-0.000133022946458264,-0.000199534419687396,-0.000199534419687396,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000199534419687396,-0.000199534419687396,-6.65114732291321e-05,-6.65114732291321e-05,-0.000133022946458264,-6.65114732291321e-05,-0.000199534419687396,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000199534419687396,-0.000199534419687396,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000199534419687396,-0.000199534419687396,-6.65114732291321e-05,-6.65114732291321e-05,-0.000133022946458264,-6.65114732291321e-05,-0.000199534419687396,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000199534419687396,-0.000199534419687396,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000199534419687396,-0.000199534419687396,-6.65114732291321e-05,-6.65114732291321e-05,-0.000133022946458264,-6.65114732291321e-05,-0.000199534419687396,-0.00014100432324576,4.58447929376781e-05
CD74,-0.000199534419687396,-0.000199534419687396,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000199534419687396,-6.65114732291321e-05,-0.000199534419687396,-6.65114732291321e-05,-0.000199534419687396,-0.000133022946458264,-0.000199534419687396,-0.000133022946458264,-0.000199534419687396,-0.000199534419687396,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000199534419687396,-6.65114732291321e-05,-0.000199534419687396,-6.65114732291321e-05,-0.000199534419687396,-0.000133022946458264,-0.000199534419687396,-0.000133022946458264,-0.000199534419687396,-0.000199534419687396,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000199534419687396,-6.65114732291321e-05,-0.000199534419687396,-6.65114732291321e-05,-0.000199534419687396,-0.000133022946458264,-0.000199534419687396,-0.000137013634852012,5.44336950445248e-05
TCF4,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000199534419687396,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000199534419687396,-0.000199534419687396,-0.000199534419687396,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000199534419687396,-0.000133022946458264,3.0046820848196e-05
CD52,-6.65114732291321e-05,-0.000199534419687396,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000199534419687396,-0.000199534419687396,-0.000199534419687396,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000199534419687396,-6.65114732291321e-05,-6.65114732291321e-05,-0.000199534419687396,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000199534419687396,-0.000199534419687396,-0.000199534419687396,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000199534419687396,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000130362487529099,4.44855334152488e-05
FCRL1,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000199534419687396,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000199534419687396,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000199534419687396,-0.000125041569670768,3.19119304931288e-05
LINC00926,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000199534419687396,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000199534419687396,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000199534419687396,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-0.000133022946458264,-6.65114732291321e-05,-6.65114732291321e-05,-0.000125041569670768,3.19119304931288e-05
