,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
CD74,-0.0010107135637760258,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.0010107135637760258,-0.0010107135637760258,-0.000606428138265616,-0.0008085708510208213,-0.0010107135637760258,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.0010107135637760258,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.0010107135637760258,-0.0010107135637760258,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,-0.0010107135637760258,-0.0010107135637760258,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.0010107135637760258,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.0007883565797453004,0.00014716211621751586
MS4A1,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.0010107135637760258,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.0010107135637760258,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.0007600565999595718,0.00010354759227706243
BTG1,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.0010107135637760258,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.00020214271275520532,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,0.0,-0.000606428138265616,-0.0008085708510208213,-0.00020214271275520532,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.00040428542551041065,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.0006508995350717611,0.00018654169387603533
LAPTM5,-0.000606428138265616,-0.0010107135637760258,-0.00040428542551041065,-0.00040428542551041065,-0.0008085708510208213,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0010107135637760258,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.0010107135637760258,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.0010107135637760258,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.0008085708510208213,-0.00040428542551041065,-0.0008085708510208213,-0.000606428138265616,-0.00040428542551041065,-0.0008085708510208213,-0.00040428542551041065,-0.000606428138265616,-0.00020214271275520532,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,0.0002021427127552052
CD22,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0005821710127349914,8.708574581984246e-05
RPL18A,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.0005781281584798872,0.00013414724093824195
HLA.DRA,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.0008085708510208213,-0.0008085708510208213,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00020214271275520532,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0005740853042247832,0.00012368755642432476
IGHM,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.0010107135637760258,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00020214271275520532,-0.0008085708510208213,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,0.0,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00020214271275520532,-0.000606428138265616,-0.000606428138265616,-0.000570042449969679,0.0001700403545163784
TXNIP,-0.00040428542551041065,-0.0008085708510208213,-0.00040428542551041065,-0.0008085708510208213,-0.000606428138265616,-0.00020214271275520532,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.00020214271275520532,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,0.0,-0.00040428542551041065,-0.0008085708510208213,0.0,-0.000606428138265616,-0.0008085708510208213,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.0010107135637760258,-0.00020214271275520532,-0.000606428138265616,-0.0008085708510208213,-0.000606428138265616,-0.000606428138265616,-0.0005538710329492626,0.00020539132073386774
CD37,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.0008085708510208213,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.00020214271275520532,-0.0008085708510208213,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.00020214271275520532,-0.00040428542551041065,-0.000606428138265616,-0.00020214271275520532,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.0008085708510208213,-0.0010107135637760258,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0005215281989084298,0.00015704810672775453
