,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
IGHM,-0.0008085708510208204,-0.001212856276531231,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.0008085708510208204,-0.0010107135637760258,-0.000606428138265616,-0.0008085708510208204,-0.000606428138265616,-0.0008085708510208204,-0.000606428138265616,-0.0008085708510208204,-0.00040428542551041065,-0.0008085708510208204,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208204,-0.00040428542551041065,-0.000606428138265616,-0.0008085708510208204,-0.00040428542551041065,-0.0010107135637760258,-0.0008085708510208204,-0.00040428542551041065,-0.0008085708510208204,-0.00020214271275520532,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.0010107135637760258,-0.00040428542551041065,-0.0008085708510208204,-0.0010107135637760258,-0.0008085708510208204,-0.0008085708510208204,-0.0008085708510208204,-0.0008085708510208204,-0.0008085708510208204,-0.0010107135637760258,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208204,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208204,-0.000606428138265616,-0.0008085708510208204,-0.0008085708510208204,-0.000703456640388114,0.00019904643016116692
IGHD,-0.000606428138265616,-0.0008085708510208204,-0.0008085708510208204,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.0008085708510208204,-0.000606428138265616,-0.0010107135637760258,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.0008085708510208204,-0.00040428542551041065,-0.000606428138265616,-0.0008085708510208204,-0.00040428542551041065,-0.0008085708510208204,-0.00020214271275520532,-0.00040428542551041065,-0.000606428138265616,-0.0008085708510208204,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.0008085708510208204,-0.00020214271275520532,-0.000606428138265616,-0.0008085708510208204,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.0008085708510208204,-0.00040428542551041065,-0.0008085708510208204,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.0005821710127349912,0.00017454645761004958
TNFRSF13C,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.0005619567414594708,8.373687154723264e-05
LAPTM5,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.000606428138265616,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,0.0,-0.00020214271275520532,-0.000606428138265616,-0.00020214271275520532,-0.00020214271275520532,-0.00040428542551041065,-0.000606428138265616,-0.00020214271275520532,-0.00040428542551041065,-0.00020214271275520532,-0.00020214271275520532,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.00020214271275520532,-0.00040428542551041065,-0.0008085708510208204,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.000606428138265616,-0.00020214271275520532,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.0004244996967859311,0.0001679123481487382
AFF3,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.000606428138265616,-0.00040428542551041065,-0.00020214271275520532,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.00020214271275520532,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.00020214271275520532,-0.00040428542551041065,-0.00020214271275520532,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.0008085708510208204,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00041237113402061874,0.00012101580389808587
BCL11A,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0008085708510208204,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00041237113402061874,6.955589461930562e-05
RPS18,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.0004042854255104106,4.042854255104107e-05
CD37,-0.000606428138265616,-0.00040428542551041065,-0.000606428138265616,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.0008085708510208204,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00020214271275520532,-0.00020214271275520532,-0.000606428138265616,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00020214271275520532,-0.00040428542551041065,-0.0003921568627450983,0.00013656232669540764
OSBPL10,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00038407115423489015,6.064281382656159e-05
IGHG3,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.000606428138265616,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.000606428138265616,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00038002829997978605,8.708574581984246e-05
RPL3,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.000606428138265616,-0.00020214271275520532,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00020214271275520532,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00040428542551041065,-0.00037194259146957774,8.441727518828023e-05
