,genes,importance
1692,IGHD,0.03245302568731135
4240,TCL1A,0.029046621682387364
1699,IGHM,0.02524709103036571
612,CD79A,0.02315781158390394
611,CD74,0.020533575905746494
598,CD37,0.01983911121996349
2033,LINC00926,0.01662766281292725
2343,MS4A1,0.016250700370945247
4356,TNFRSF13C,0.015941781933265144
1592,HLA.DRA,0.015648221518763984
1298,FCER2,0.015014700582049782
156,AFF3,0.014805666805193124
583,CD22,0.01477498326771195
1307,FCRL1,0.0127178033422138
359,BANK1,0.01198034371661745
613,CD79B,0.011584543146831192
1583,HLA.DPA1,0.011294759090792155
1585,HLA.DPB1,0.010982578558911108
373,BCL11A,0.01014356270882716
2592,P2RX5,0.009951086852760936
2471,NIBAN3,0.009861061071833264
1731,IGKC,0.00965852383934176
1589,HLA.DQB1,0.00939438167705034
1813,IRF8,0.009273272518410097
4586,VPREB3,0.008403280227049132
2920,RALGPS2,0.007195998061129198
4153,STAG3,0.007031263922215049
1593,HLA.DRB1,0.0069729810390484
3886,SESN1,0.006875863523024944
1587,HLA.DQA1,0.006619005223694754
3682,RPL18A,0.006255057165839517
783,COL19A1,0.006067380329039275
2633,PAX5,0.006045440439463609
394,BLK,0.006009947052297463
781,COBLL1,0.005618602938141202
1309,FCRL5,0.005540881406377298
2101,LINC02397,0.004969828626401722
3759,RPS27,0.004896385316148865
429,BTG1,0.004825422020213256
395,BLNK,0.0045224534554730985
3675,RPL13,0.004501059670582539
949,CXCR4,0.004416514102131094
4185,SWAP70,0.0043325362794058185
112,ADAM28,0.004323884024403131
4388,TP53INP1,0.004234538159200646
2250,MEF2C,0.004216261771102823
431,BTLA,0.00412201799157515
1308,FCRL2,0.004073168197373028
1581,HLA.DOA,0.0039663050477286525
2453,NETO1,0.0039530223368148265
605,CD52,0.003775428974219899
2748,PLPP5,0.0037503274984227266
505,CARMIL1,0.003739969231485908
4171,STRBP,0.0037040927810436898
614,CD83,0.0036675062597392605
3737,RPLP2,0.0034454008303966034
4115,SPIB,0.0033429054192926294
1963,LAPTM5,0.0032128660071702986
1101,EBF1,0.0031589593287184273
1742,IGLC3,0.0031428183747229115
3709,RPL34,0.0030107405129367873
3773,RPS5,0.003004091660346663
1445,GNG7,0.0029849367322394744
3757,RPS23,0.0029453075571805763
1580,HLA.DMB,0.0028270631613578523
1888,KHDRBS2,0.0028185796173140665
3684,RPL19,0.0027795346108728403
3676,RPL13A,0.002756019330972433
2595,P2RY10,0.0027270849771329716
1239,FAM177B,0.0026889737413748065
3733,RPL9,0.0026653111880943826
392,BIRC3,0.002642855652333699
3668,RPL11,0.0026337105391982763
378,BCL7A,0.0026151137387774546
4453,TSPAN13,0.0025802410628381024
4174,STX7,0.002536217886056653
1553,HCST,0.002524890980663026
1778,IL4R,0.002518945075834817
3774,RPS6,0.00246910487000074
356,BACH2,0.0024549883364079813
3704,RPL32,0.002439502321355435
1741,IGLC2,0.002358211856736899
1831,ITPR1,0.0022712352445717447
3751,RPS19,0.002248171621590348
3765,RPS29,0.0022412829198524093
1302,FCGR2B,0.002184671989962853
4505,TXNIP,0.00213912587185314
723,CIITA,0.0021344439248567244
3780,RPS8,0.0021310585694555286
4133,SRGN,0.0021075208327222613
1305,FCMR,0.0020429597664167105
4294,TLE1,0.0020365996876101525
3750,RPS18,0.0019567714668213224
3732,RPL8,0.001954593301491789
3760,RPS27A,0.001890168542723764
1684,IFT57,0.0018196629059792594
4237,TCF4,0.0018090172740622243
3809,S100A10,0.001808459071718816
1311,FCRLA,0.0018034159624265085
2631,PAWR,0.001790152583515754
3823,SAMHD1,0.0017770638255310077
1348,FOXP1,0.0017219076807745276
1261,FAM30A,0.001662970158795946
1433,GLO1,0.0016342063585199833
3681,RPL18,0.0016286819935627456
4508,TYROBP,0.0015761474633584599
2217,MARCHF1,0.0015324912956944606
4616,WFDC21P,0.0015297617269803196
2173,LTB,0.0014746581175433778
3755,RPS21,0.00145549671760871
581,CD200,0.0014214067019545423
3764,RPS28,0.001409081332000925
271,ARHGAP24,0.001406048903100646
3714,RPL37,0.0014049987545368123
2767,PNOC,0.0014011015364421386
3184,RP11.164H13.1,0.0013970582606443042
4156,STAP1,0.0013785235030018693
1846,JUND,0.0013734858304845783
1695,IGHG1,0.001371503808312871
4021,SLC9A7,0.001366968555947563
2713,PKIG,0.0013634811771637138
497,CAMK2D,0.0013478583262652609
2531,NT5E,0.0013446967933457255
227,ANXA1,0.0013313445892829759
2060,LINC01480,0.0013160049509590148
3768,RPS3A,0.0013021366498296642
1985,LGALS1,0.0012790162248255727
1371,FYB1,0.0012577451221009483
2655,PDE4B,0.0012576847632092807
4211,TAPT1,0.0012351992808774233
3754,RPS20,0.0012162608853767078
1696,IGHG2,0.001209531352346331
3770,RPS4X,0.0011980933465161531
2899,RAB30,0.0011980553487832757
1380,GABPB1.AS1,0.0011809037670621968
4756,ZNF318,0.0011502372922657113
2639,PCDH9,0.001137346803915745
3700,RPL29,0.0011150023073488076
603,CD40,0.0011095231366030675
1579,HLA.DMA,0.0010952205609132766
228,ANXA2,0.001090900154666628
1663,ICOSLG,0.0010889205772711937
