,genes,importance
0,IGHD,0.07271881288720025
1,TCL1A,0.06763806214701676
2,IGHM,0.05763024016028193
4,CD74,0.04120014326259564
11,AFF3,0.03970614668371571
6,LINC00926,0.037695227371713685
7,MS4A1,0.03746366087347423
3,CD79A,0.033217024126532255
5,CD37,0.03283017559648471
8,TNFRSF13C,0.025725383702687937
9,HLA.DRA,0.025229609935694144
14,BANK1,0.023746332579237077
10,FCER2,0.021791433762695454
13,FCRL1,0.019094405377109245
16,HLA.DPA1,0.019074367273431543
12,CD22,0.016326786271112084
22,HLA.DQB1,0.01625367928798945
25,RALGPS2,0.01289410236101951
17,HLA.DPB1,0.011370464549738337
15,CD79B,0.010408098743995314
20,NIBAN3,0.009658624095660276
24,VPREB3,0.009299845684626565
19,P2RX5,0.00908858741050069
21,IGKC,0.00883113632807363
32,PAX5,0.008539404772760958
38,BTG1,0.007717796700594258
29,HLA.DQA1,0.0075782160481859834
18,BCL11A,0.007516203341453153
28,SESN1,0.007507491880940591
36,LINC02397,0.007402714634559762
30,RPL18A,0.007038445536736095
33,BLK,0.0068951270171228336
26,STAG3,0.006558699852275303
43,ADAM28,0.006375706292465553
31,COL19A1,0.006306193291065687
41,CXCR4,0.006023443359654314
44,TP53INP1,0.005779762825995079
23,IRF8,0.004015088495842528
34,COBLL1,0.00392781341367285
57,LAPTM5,0.0038421913551521525
131,IGHG2,0.0035238029879293086
37,RPS27,0.00329224744374132
27,HLA.DRB1,0.0031572504836861917
40,RPL13,0.003057058834041074
89,SRGN,0.0030315542609277274
156,MARCKS,0.0030219553309797915
172,MIDN,0.0030060889978916977
126,LGALS1,0.002993783055917815
86,TXNIP,0.002788822632959582
50,CD52,0.0026912179345434275
39,BLNK,0.0026430205045038383
97,S100A10,0.0026175035050873285
118,IGHG1,0.002564740266182283
53,STRBP,0.002487140073862454
140,ANXA2,0.0024325851747901686
49,NETO1,0.002372143056421187
117,JUND,0.002338128053975175
64,HLA.DMB,0.0022747371356738517
167,EML6,0.002207283897052379
51,PLPP5,0.0022014490927174117
46,BTLA,0.002191794154466909
35,FCRL5,0.002105811714757157
77,IL4R,0.0020184146291456952
92,RPS18,0.002004282915729034
158,CCDC50,0.001942317052897561
48,HLA.DOA,0.001895642960900965
70,RPL9,0.001791180771349526
63,RPS23,0.00172126119768351
168,TKT,0.0017094144451022127
174,CD1C,0.001692341576366223
161,NKG7,0.0016758023593232505
101,FOXP1,0.0016649803607784364
82,ITPR1,0.0016600469779534963
52,CARMIL1,0.001657653017598481
76,HCST,0.0016206354000987445
153,TMEM123,0.0015986534147871881
81,IGLC2,0.0015884071455163652
79,BACH2,0.001571659939889537
55,RPLP2,0.0015571611948110296
90,FCMR,0.0015558221597879094
83,RPS19,0.0015339037895883932
132,RPS4X,0.0015278575850528376
230,JCHAIN,0.001481874003465159
100,SAMHD1,0.0014663504212928632
54,CD83,0.0014627894580838804
72,RPL11,0.0014349671641843142
67,RPL13A,0.0014278585895209194
171,ADGRE5,0.0014148246365610151
88,RPS8,0.0014062819119475684
233,GPR183,0.0013988549053072037
105,TYROBP,0.0013909560989827869
208,PIK3IP1,0.0013614373324984026
42,SWAP70,0.001352370034473692
94,RPS27A,0.0013358033770381312
98,FCRLA,0.0013325502465098926
151,FCER1G,0.0013199458450882118
144,TSC22D3,0.001319008956971173
69,FAM177B,0.0013078154251317338
123,ANXA1,0.0013053279607861104
254,COL4A4,0.0012589975047059253
45,MEF2C,0.001246141001043686
75,STX7,0.0012457729419422746
121,CAMK2D,0.0012282906543147293
157,USP12,0.0012181029360328849
192,RPS3,0.0012168020818626515
56,SPIB,0.0011895989492793958
162,MCL1,0.0011697008394972908
135,ZNF318,0.0011628749841805079
268,NCK2,0.001153548842383702
84,RPS29,0.0011168593978992127
221,OSBPL10,0.0010782318661912461
47,FCRL2,0.0010614719841735138
134,GABPB1.AS1,0.0010526382554279358
145,RPL39,0.001048622568211971
154,REL,0.0010458545873047464
108,LTB,0.0010410648494204346
80,RPL32,0.0010361531039015475
178,MALAT1,0.001035947108706289
184,GLRX,0.0010225834626459139
136,PCDH9,0.0010128425153444734
222,JUN,0.0010073600596025155
183,LYST,0.0010020344638923726
106,MARCHF1,0.0009815583346915193
273,PTPN1,0.0009730563929843417
216,RPL3,0.0009672213058669757
93,RPL8,0.000966655504797936
91,TLE1,0.0009571591060503506
164,KLRD1,0.0009520308445153774
73,BCL7A,0.0009409743454037684
193,PIP4K2A,0.0009321620099797961
236,RPS2,0.0009305991603642175
104,RPL18,0.0009283969500658908
190,GNLY,0.0009215446383089724
60,RPL34,0.0009200588988217933
59,IGLC3,0.0009185988378268705
68,P2RY10,0.0009146117023907555
129,TAPT1,0.0009134982685923262
103,GLO1,0.0009132627195218755
224,NOP53,0.0009126602163596923
272,EZR,0.0009099291190094894
96,TCF4,0.0009023469253446256
274,NOTCH2,0.0008916462505975972
149,EFHD2,0.0008866383432618161
235,CDC42EP3,0.0008842888323881769
246,LINC01781,0.0008660015004336308
214,NAPSB,0.0008633876133285879
143,RPL27A,0.0008597479748036848
219,CAPN2,0.000856596659527872
166,LINC01857,0.0008554655646636108
213,RPL38,0.0008545630815875999
155,RPS13,0.0008455834888509593
62,GNG7,0.000845134101577192
210,CD3D,0.0008424336293207679
211,RPL12,0.0008308929215222096
261,IGHG3,0.0008227646232894854
276,ANXA4,0.0008199485036630563
188,EBLN3P,0.0008165796568074709
66,RPL19,0.0008127454248116452
173,RPL36,0.0008056546210591644
269,ITGAL,0.0008032482676469398
137,RPL29,0.0008006132785377802
264,SP100,0.0007922325527611208
111,RPS28,0.0007849895965723957
61,RPS5,0.0007844607859266994
189,RPL15,0.0007783155036359101
152,RPS16,0.0007771070747896098
125,RPS3A,0.0007764571342771605
65,KHDRBS2,0.0007681964629743619
78,RPS6,0.000751366322170614
107,WFDC21P,0.0007487034678932125
165,CD7,0.0007483254557115159
250,ZBTB16,0.0007426906949080834
275,CIRBP,0.0007421488061638699
245,AREG,0.0007416014005308527
197,CTSW,0.0007366256375497825
206,RPL35,0.0007318090526888398
226,SP140L,0.0007169264261870691
112,ARHGAP24,0.0007130110511097124
109,RPS21,0.0007095985003213955
270,LY9,0.000708812087561809
200,NCF2,0.0007081563986555102
255,SNHG7,0.0007014651700177138
238,RPL37A,0.0007010060531678226
212,RPL10A,0.0006875030342648268
128,PDE4B,0.0006872608342998594
194,UVRAG,0.0006801456468369361
113,RPL37,0.0006785790886815561
243,ITGB2,0.000677471926808561
278,RPS25,0.0006750207919493208
169,RPSA,0.0006719681845921815
279,ITGAM,0.0006687481676896378
71,BIRC3,0.0006677323283047013
185,CDCA7L,0.0006637874648704185
251,OPTN,0.000662845940947642
202,POU2F2,0.0006611248240755635
186,CTSD,0.0006578651515699736
74,TSPAN13,0.0006546092723027106
207,PLEKHA2,0.0006328206478262676
241,SNX2,0.0006314871114581034
127,FYB1,0.0006305249998765266
263,ZCCHC7,0.0006145663446168503
99,PAWR,0.0006091033902628735
130,RPS20,0.0006089179924844693
265,RPL23,0.0005965473158511518
139,HLA.DMA,0.0005912803219714297
147,RNASE6,0.0005900229079788577
223,RPLP0,0.0005789350375315908
239,RPS10,0.0005750299215903144
257,RCSD1,0.0005712970973236128
159,RPL23A,0.0005704445026505727
218,GZMB,0.0005663565011034801
58,EBF1,0.0005652114211755589
277,RPL7A,0.0005630225964887866
201,UGT8,0.0005604184333025893
248,HOPX,0.0005585829654272056
242,DUSP2,0.0005573608876038354
227,RP11.796E2.4,0.0005565409437945695
181,IQGAP2,0.0005482920873296394
256,TXN,0.0005428390216565733
232,RPL5,0.0005408255569368908
133,RAB30,0.0005340597228523464
148,PHACTR1,0.000533308462088176
260,AIDA,0.0005324618320143412
280,POU2AF1,0.0005266657900537417
203,GDF7,0.0005105037946646299
120,PKIG,0.0005055062566846813
215,SNX29,0.0005024923517160249
95,IFT57,0.0004956303813674974
122,NT5E,0.0004939306562577639
220,MICAL3,0.0004906836681129773
163,AAK1,0.00048043372313500814
142,GIMAP7,0.0004699590422693196
102,FAM30A,0.00045576171211430524
267,DOK2,0.0004525080330969933
175,IL32,0.0004509978097066899
199,PLEKHF2,0.00044985796998236706
196,SEL1L3,0.0004420685256120207
110,CD200,0.00043857426998711026
141,ICOSLG,0.00043508630560588186
114,PNOC,0.0004277468972841136
198,C16orf74,0.00042726418306895383
176,ID2,0.0004251039044220733
180,CST7,0.0004111537943871997
225,GNA12,0.0004090976027773966
244,WEE1,0.00040611176711308824
124,LINC01480,0.0004049510875540914
249,PRF1,0.0003990769172582097
177,PLEKHG1,0.00039687098878552244
217,CD72,0.0003889194426020075
85,FCGR2B,0.0003883124278352039
87,CIITA,0.0003877487095327834
195,SNX22,0.0003859569372293261
179,DRAM2,0.00038167509091356237
116,STAP1,0.00037109316280282235
119,SLC9A7,0.0003681383664481404
228,DENND5B,0.0003642539324609641
262,IFITM1,0.00035229296996552243
240,GAB1,0.00034573617711474764
209,ABCB4,0.0003345647903236912
160,HLA.DOB,0.00033377385482378217
187,CD19,0.0003320908680412583
138,CD40,0.0003211621771259305
258,RP11.297B17.3,0.0003188733397115215
271,HVCN1,0.00030342410704809007
247,P2RY14,0.00030264294885482224
266,GZMM,0.00029813973368085956
204,CD3E,0.00027873739038031606
150,RUBCNL,0.00027428135920899526
170,SLFN5,0.0002662812479146901
229,CD247,0.00026124510097453766
182,GIMAP4,0.00025344081205007173
237,BCL11B,0.00023712876758203583
146,TCL6,0.0002310011625036285
252,AGPAT5,0.00022102505381200047
231,C12orf42,0.00021979975958113932
