,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
AQP9,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.252078483538417e-05,1.579559971671158e-05
B4GALT5,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.119055537080153e-05,1.8044110364151048e-05
ALPL,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-0.0001330229464582642,0.0,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,0.0,-6.65114732291321e-05,-0.0001330229464582642,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-5.853009644163624e-05,2.865401959233527e-05
SERPINA1,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-5.853009644163624e-05,2.161367051449543e-05
NAMPT,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-5.7199866977053604e-05,2.307861865367142e-05
SORL1,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-5.586963751247096e-05,2.438350885244214e-05
FCGR3B,-6.65114732291321e-05,-0.0001330229464582642,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-0.0001330229464582642,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,0.0,-6.65114732291321e-05,0.0,-6.65114732291321e-05,0.0,0.0,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-0.0001330229464582642,-0.0001330229464582642,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-5.453940804788832e-05,3.688839274722198e-05
CSF3R,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,0.0,-6.65114732291321e-05,0.0,0.0,0.0,0.0,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-4.921849018955775e-05,2.9174209776470014e-05
RPS8,0.0,0.0,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,0.0,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,0.0,-6.65114732291321e-05,0.0,0.0,0.0,-6.65114732291321e-05,-6.65114732291321e-05,0.0,0.0,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-4.12371134020619e-05,3.228376747459025e-05
RPL13A,0.0,0.0,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,0.0,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,0.0,-6.65114732291321e-05,0.0,0.0,0.0,-6.65114732291321e-05,0.0,0.0,0.0,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,0.0,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-6.65114732291321e-05,-3.990688393747926e-05,3.258383429043141e-05
