,genes,importance
782,S100A9,0.041291438971737746
781,S100A8,0.0360489177699449
62,ARG1,0.0339044231508014
237,CYSTM1,0.030639085483393592
640,PGLYRP1,0.030410126035918018
783,S100P,0.030331441973190394
52,ANXA3,0.028798918857709972
43,ALOX5AP,0.028543474252159494
324,GCA,0.02767123333914816
164,CDA,0.021677584726150455
150,CD24,0.017995625617882136
726,RGL4,0.0178213603990661
235,CYP4F3,0.017438248260700003
534,MMP8,0.015006129640154799
698,PYGL,0.014705312034016012
535,MMP9,0.013585856972924347
604,OLFM4,0.01351376614557913
571,NCF4,0.013252466978443391
126,CA4,0.01313500985209249
851,SRGN,0.012971866045450834
130,CAMP,0.012633663986433905
94,BASP1,0.011152595312125365
400,IFITM2,0.010463774478152471
778,S100A12,0.010079681556714683
620,PADI4,0.010041925372480802
171,CEACAM8,0.009979824586833804
110,BPI,0.009697822623236752
543,MSRB1,0.009465402180888368
148,CD177,0.009084143862425337
296,FCGR3B,0.008745392330038407
211,CRISP3,0.008271668640406729
33,AHNAK,0.008084489823741665
464,LCN2,0.008043387052409689
776,S100A10,0.007783217811057116
45,ALPL,0.0074528465585455795
99,BCL2A1,0.007346236225117766
563,NAMPT,0.00660950987353056
497,LTF,0.0064266624404136705
185,CKAP4,0.006343890170335886
363,H3.3A,0.006325562560515093
536,MNDA,0.0062388817855931625
724,RFLNB,0.006067497741600278
777,S100A11,0.00574369084916995
23,ADGRG3,0.005717308879034544
388,HP,0.005531519863432807
526,MGAM,0.005419625769571925
877,TCN1,0.005287192038630371
949,VCAN,0.005212547933925751
5,ABHD5,0.005042821345675226
723,RETN,0.004882479876501783
761,RPL3,0.004836850233808332
954,VNN2,0.004713470477569056
312,FPR1,0.004638109379938141
331,GMFG,0.004433665781503736
193,CMTM2,0.004111860537535265
315,FYN,0.003977823670663076
864,STXBP2,0.0038707978999446063
888,TLE5,0.0038510647716231573
770,RTN3,0.003815877476703256
213,CSF3R,0.0037470478159975034
158,CD69,0.0036702907548115493
65,ARL4C,0.003437054497436624
760,RPL23A,0.003349678671614156
609,ORM1,0.0033119345755198413
758,RPL10A,0.0032549801012095327
356,GYG1,0.0032446208509843513
861,STOM,0.0032119112701372195
549,MXD1,0.003060890446910124
511,MARCHF1,0.0030123229614938333
940,UGCG,0.002988728275905271
180,CHIT1,0.002985558472328195
294,FCER1G,0.0029274343126326585
131,CAP1,0.0028904425826378932
1,ABCA13,0.0028446025337063815
764,RPS5,0.002776698759357227
71,ARPC5,0.002647253029029172
49,ANP32A,0.002576641292087071
323,GASK1B,0.002511448554649048
455,KLRD1,0.0024812893936859513
206,CPNE3,0.0024707752993686203
923,TSPO,0.002434632147945769
413,IL1R2,0.002349646242992821
200,COL17A1,0.002346959905143817
160,CD81,0.0023024342319769913
931,TXN,0.002284870382240723
516,MCEMP1,0.0022042210179205393
385,HMGN3,0.0021337272486406525
873,TALDO1,0.002092815080175241
503,LYZ,0.0020839918439895288
240,DEFA3,0.0020609019592696775
359,GZMA,0.0020497320754473245
266,EMB,0.0020438878049055054
227,CTSS,0.0020177690467286184
316,G0S2,0.0019682224800264218
387,HOPX,0.0019509368221961262
170,CEACAM6,0.0019113539081102512
539,MS4A3,0.0018327359775441193
529,MIR223HG,0.0016644984784342696
707,RAB27A,0.0016589883914540004
15,ACTN1,0.0016329217698864027
159,CD7,0.0015758499170619496
167,CEACAM1,0.0015489694019762516
965,YBX3,0.0015138619388374468
383,HMGB2,0.0015087012952746004
944,USP10,0.001498457727560201
209,CR1,0.0014741226415755401
60,AQP9,0.0014230399019886794
762,RPL4,0.001336315370410155
893,TMEM154,0.0013357015157226693
915,TRIB1,0.0013271064509596216
258,EEF1B2,0.0013263531311525048
241,DEFA4,0.0013216571305793663
681,PROK2,0.0013060144587982764
393,HSPA1A,0.0013031238275815974
151,CD247,0.0013030861377275132
677,PRF1,0.0013029848010989336
763,RPLP0,0.0012890865298468472
901,TNFRSF10C,0.0012637308132732801
93,B4GALT5,0.0012167976836885285
532,MME,0.0011710583490870605
384,HMGN2,0.0011591791635852126
341,GPI,0.0011355411474262354
759,RPL22,0.0011353918989004635
208,CPVL,0.001131669254172324
584,NIBAN1,0.001117622467836502
533,MMP25,0.001114075293684795
964,YBX1,0.0011001739693866019
792,SDCBP,0.0010992748434032339
774,RUNX3,0.001078090223136213
360,GZMB,0.0010766133057571845
509,MAPK14,0.0010484220482037104
650,PLAAT4,0.001047061301850557
75,ASGR1,0.0010418336253411598
303,FGFBP2,0.0010386560345446395
12,ACSL1,0.001036625054497084
7,ABTB1,0.001026006563958333
184,CITED4,0.0010177488991638141
326,GIMAP7,0.0010080467060048241
699,PYHIN1,0.0010048991523835397
618,P2RY13,0.0010045631298055526
456,KLRF1,0.0009985646292006273
739,RNF149,0.0009975084749595364
953,VNN1,0.0009852366435814052
786,SAMD3,0.0009488942433133615
492,LSP1,0.0009467768482702521
259,EEF2,0.0009240568198664147
453,KLRB1,0.0009188971002631676
411,IL18R1,0.0009118540724066581
113,BTF3,0.0009104719186010958
807,SHTN1,0.0008922619873312416
603,OLAH,0.0008886978854653608
641,PGS1,0.0008849372463872065
409,IKZF3,0.000884854615233021
821,SLC2A3,0.0008716783365849426
431,IVNS1ABP,0.0008520826027938182
700,QPCT,0.0008467413748118573
25,ADSS2,0.0008089560533960151
930,TXK,0.0008028537243550662
351,GSN,0.0008002857472331164
20,ADAMTS2,0.0007912224755912166
484,LPCAT2,0.0007878315327247004
447,KIF1B,0.0007837673063252255
810,SKAP1,0.0007833471002835118
149,CD2,0.0007794718293326692
380,HLA.DPB1,0.0007731787286231174
832,SLFN5,0.0007435481691157068
329,GLRX5,0.0007387922421228714
462,LBH,0.0007305512501237045
636,PFKFB2,0.00071993678248391
486,LRG1,0.0007068697830836684
179,CHI3L1,0.0006901142815433074
295,FCGR2A,0.0006896312259080067
231,CXCR2,0.0006707485212219133
487,LRP1,0.0006577253310660334
76,ASGR2,0.0006484418104457623
427,ITGA4,0.0006415253743609049
397,IER3,0.0006145167517934163
310,FOLR3,0.000607865632693366
560,NABP1,0.0005949870825718973
319,GADD45A,0.0005877112905155776
859,STEAP4,0.0005810531304124337
927,TUBA4A,0.0005809161148422106
882,THBS1.IT1,0.0005789940757791104
483,LITAF,0.0005743282030225095
934,UBB,0.0005687990272791004
574,NEAT1,0.000540639667911543
376,HIF1A,0.0005366709113510776
153,CD3E,0.0005352319117966338
424,IRF8,0.0005252068745774479
708,RAB31,0.0005229918846083575
911,TRBC2,0.0005177628508213961
174,CEBPE,0.0005172704336073949
691,PTGDR,0.0005106636196930427
635,PEPD,0.0005101745260779829
910,TRBC1,0.0005027306072434131
818,SLC16A7,0.0005017459831026715
881,TGFBI,0.0004955377117129229
166,CDKN2D,0.0004934975172263301
