,genes,importance
2328,MZB1,0.030672671766523666
1647,HSP90B1,0.028090563635598666
2856,PPIB,0.026745662910125298
1816,JCHAIN,0.024992069314824266
3780,SUB1,0.02161378421879144
1695,IGHA1,0.018503645684640354
3996,TNFRSF17,0.017292453994227762
3423,SEC11C,0.01664240151278821
921,DERL3,0.013412878920611075
3751,SSR3,0.012579572928265231
1715,IGKC,0.011710239040051841
3995,TNFRSF13B,0.011647587461522444
4131,TXNDC5,0.01134483192135746
1694,IGF1,0.011237470503482032
1940,LMAN1,0.010115205134864773
1387,GLDC,0.009707473598659805
3012,PYCR1,0.009463074560915129
2316,MYBL2,0.009412312351975836
550,CDC6,0.008845502737326602
2318,MYDGF,0.008493085965765207
1829,KCNN3,0.007661189503857651
3216,RP11.1070N10.3,0.007600366968169172
3415,SDF2L1,0.00750519482477296
441,CADM1,0.00745774669785372
2673,PDIA6,0.007231251842714609
1450,GPRC5D,0.0068861629547142846
3252,RP11.480C16.1,0.00660135719991565
11,ABCB9,0.006428466345942158
334,BHLHE41,0.006345823489111865
2544,NUGGC,0.0061291460394031225
4368,ZBTB32,0.006003090943956528
346,BMP8B,0.0057835601614775155
2671,PDIA4,0.00567324050065665
3723,SRM,0.005616444816763959
2021,MANF,0.005225275699078854
3435,SEC61B,0.004970328377396264
1696,IGHA2,0.004931590416826369
443,CALR,0.00489258011260121
772,CPNE5,0.004846026439193177
1789,IRF4,0.004795483225950386
380,BUB1,0.004520855621823709
339,BIRC5,0.004440763313769011
2844,POU2AF1,0.004415409337923141
630,CHAC2,0.004388154121907213
1807,ITM2C,0.004332452488356993
1301,FKBP11,0.004287866198549229
3697,SPCS2,0.004095554751022735
1697,IGHG1,0.003943051247329664
1651,HSPA5,0.003925485330692384
3492,SHCBP1,0.003656004834766466
4065,TRIP13,0.0036489290454803577
4326,XBP1,0.003606838406724263
1377,GGH,0.0035450029205763072
3333,RRBP1,0.0035298098463894803
3228,RP11.16E12.2,0.0035006913444881344
913,DENND5B,0.0034800293874461814
1724,IGLC3,0.0034668583777599693
4137,TYMS,0.0033117607031203284
1400,GMPPB,0.0032725853221298867
2324,MYO1D,0.003173530527839
3524,SLC1A4,0.003171218059064605
2726,PHGDH,0.0031462192310081107
2609,OXCT2,0.0031055633782737
191,AQP3,0.0030245460916361344
548,CDC45,0.0029613937473942724
650,CHPF,0.00293599343532675
2642,PBK,0.0028921167912168244
3920,TK1,0.0028817798165973615
381,BUB1B,0.0028682032689315248
524,CD27,0.0028474852393327254
2055,MCM10,0.002770434427471745
4440,ZWINT,0.0027454974389283797
1723,IGLC2,0.002720267934634126
719,COBLL1,0.002688244844177541
1656,HSPD1,0.0025346791518237465
1210,FABP5,0.002521304100777434
3063,RAN,0.0024532033223004747
1727,IGLL5,0.002395814191866856
1532,H3C8,0.002370094696270888
1012,DTL,0.00236035889972018
2632,PARM1,0.002310536381112669
554,CDCA5,0.0022984225622868196
1037,E2F8,0.0022983378279067073
1699,IGHG3,0.0022842053158052865
35,AC104024.1,0.00227372045406079
4127,TXNDC11,0.0022088800348833222
539,CDC20,0.0022000904129529696
1116,ELL2,0.00216720518338782
1573,HDLBP,0.0021605705852921413
3434,SEC61A1,0.002096771992961868
1663,HYOU1,0.0020864210473320478
3522,SLC17A9,0.0020723698028368015
3848,TCF4,0.0020071375420986303
2971,PSME2,0.002004436977764975
2892,PRDX4,0.00197806249168425
2930,PSAT1,0.001971257826891013
2615,P4HB,0.0019678084801272215
4391,ZFP36L2,0.001952854742800607
1700,IGHG4,0.0019455513304292593
1013,DTNB.AS1,0.0019113271515944256
2491,NPIPB6,0.001891857909822473
239,ASPM,0.0018862033689316879
4020,TPD52,0.0018765680801833338
3752,SSR4,0.0018730426861133394
577,CDKN3,0.0018187223146133207
4077,TROAP,0.0018168128086474588
3572,SLC38A5,0.0017774100724489343
4084,TSC22D3,0.0017446282503376014
1683,IFITM2,0.0017440592152618997
1702,IGHM,0.001741988012273751
337,BIK,0.0016856122302927991
