,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,mean_importance,std_importance
LIMS1,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,0.0
RGS10,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,0.0
PARVB,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,0.0
NFIB,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,0.0
VIM,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,0.0,-6.651147322913199e-05,-6.651147322913199e-05,0.0,0.0,-6.651147322913199e-05,0.0,-6.651147322913199e-05,-6.651147322913199e-05,0.0,0.0,0.0,0.0,0.0,0.0,-6.651147322913199e-05,-6.651147322913199e-05,0.0,0.0,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,-6.651147322913199e-05,0.0,-6.651147322913199e-05,-6.651147322913199e-05,0.0,0.0,-6.651147322913199e-05,0.0,-6.651147322913199e-05,-6.651147322913199e-05,0.0,0.0,-6.651147322913199e-05,0.0,0.0,-6.651147322913199e-05,0.0,-6.651147322913199e-05,0.0,0.0,0.0,0.0,-3.3255736614565994e-05,3.3255736614565994e-05
TPM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.651147322913199e-05,-1.3302294645826398e-06,9.311606252078478e-06
CAVIN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.651147322913199e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3302294645826398e-06,9.311606252078478e-06
LTBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.651147322913199e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3302294645826398e-06,9.311606252078478e-06
TPM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.651147322913199e-05,-1.3302294645826398e-06,9.311606252078478e-06
PGRMC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.651147322913199e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3302294645826398e-06,9.311606252078478e-06
